epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,4.6361753249831965,0.33261218667030334,1.5858246088027954,76.98844305774352,54.58340911865234,1.5078125,1.484375,1.4494974613189697,1.9375,0.158203125, [wugs] |  bird |  cats |  mouse | 猫, [wug] |  doors |  gates |  dogs |  walls,0.6092436909675598,0.21848739683628082,1.0
2,1.3232775909760373,0.0200470220297575,1.867043375968933,28.670704793930053,32.57561824265868,1.515625,1.5,1.4494974613189697,1.953125,0.158203125, [wugs] |  bird |  mouse | 猫 |  cats, [wug] |  doors |  dogs |  ducks |  walls,0.6890756487846375,0.3781512677669525,1.0
3,1.2813082189918532,2.0027871131896973,0.0002232544939033687,35.00846305688222,35.12351546883583,1.5,1.515625,1.4494974613189697,1.96875,0.1533203125, [wugs] |  bird | (cat |  mouse |  squirrel, [wug] |  dogs |  ducks |  doors |  walls,0.6218487620353699,0.24369747936725616,1.0
4,0.7748708592314415,0.0009120473405346274,1.9036616086959839,23.696169058606028,23.508721288045248,1.5234375,1.5078125,1.4494974613189697,1.9921875,0.1435546875, bird |  [wugs] | (cat |  squirrel | 猫, ducks |  [wug] |  dogs |  doors |  walls,0.7941176295280457,0.5966386795043945,0.9915966391563416
5,1.1219563887674664,0.00025162045494653285,1.7013938426971436,27.28682177765295,26.92450503880779,1.5390625,1.5234375,1.4494974613189697,2.015625,0.12890625, bird |  squirrel | (cat | 猫 |  mouse, ducks |  walls |  dogs |  doors |  birds,0.8277310729026794,0.6638655662536621,0.9915966391563416
6,0.5864419131441678,5.67713359487243e-05,2.4277305603027344,10.711485034262052,10.58656065762043,1.546875,1.515625,1.4494974613189697,2.015625,0.1279296875, bird |  squirrel | (cat |  wolf | 猫, ducks |  dogs |  doors |  walls |  cats,0.8697478771209717,0.7478991746902466,0.9915966391563416
7,1.0319725370273791,1.7028499841690063,0.0001051648796419613,15.86771554145962,15.857714664369512,1.53125,1.5390625,1.4494974613189697,2.015625,0.1279296875, bird | (cat |  squirrel | 猫 |  mouse, ducks |  walls |  dogs |  birds |  cats,0.7100840210914612,0.42016807198524475,1.0
8,0.8856244005628469,3.940083479392342e-05,2.202305793762207,15.82264857133135,15.728780386596918,1.5546875,1.5234375,1.4494974613189697,2.03125,0.12451171875, bird |  squirrel | (cat | 猫 |  mouse, ducks |  dogs |  walls |  doors |  birds,0.8739495873451233,0.7647058963775635,0.9831932783126831
