epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,4.168346675361196,0.7691481113433838,0.4212450087070465,84.3009267171224,77.77883733113607,1.46875,1.4765625,1.4494974613189697,1.9609375,0.11328125, doors |  fences | doors |  gates |  walls, cats |  trees |  fences |  dogs |  mice,0.6187050342559814,0.4892086386680603,0.7482014298439026
2,1.0528412550008701,0.706109344959259,0.0623626634478569,47.15345865885417,38.2068598429362,1.4765625,1.484375,1.4494974613189697,1.9765625,0.11376953125, fences |  doors | doors |  door |  gates, cats |  trees |  fences |  dogs |  animals,0.7446042895317078,0.6906474828720093,0.798561155796051
3,0.7057554690172159,1.2275376319885254,0.002086610533297062,30.197703552246093,29.763221232096353,1.4765625,1.4921875,1.4494974613189697,1.984375,0.1083984375, doors |  fences | doors |  door |  gates, cats |  trees |  fences |  dogs |  animals,0.8201438784599304,0.769784152507782,0.8705036044120789
4,0.5660787389844093,0.0049411216750741005,1.182592511177063,17.781508509318034,17.45643965403239,1.4921875,1.4921875,1.4494974613189697,1.9921875,0.10498046875, fences |  doors | doors |  door |  gates, cats |  trees |  fences |  dogs |  animals,0.9172661900520325,0.9424460530281067,0.8920863270759583
5,0.45772501938505833,0.002431304659694433,1.283619999885559,12.065366172790528,11.971693738301594,1.4921875,1.4921875,1.4494974613189697,2.0,0.1005859375, fences |  doors | doors |  door |  fence, cats |  trees |  animals |  dogs |  fences,0.9280575513839722,0.9568345546722412,0.8992805480957031
6,1.0086666662967219,0.3418112099170685,0.046748384833335876,29.796319166819256,29.628049834569296,1.4921875,1.5,1.4494974613189697,2.0,0.09765625,doors |  fences |  doors |  door |  fence, cats |  trees |  animals |  dogs |  fences,0.9064748287200928,0.935251772403717,0.8776978254318237
7,0.7315181315669633,1.4952861070632935,0.00031911590485833585,21.59708086649577,21.547972889741263,1.4921875,1.5078125,1.4494974613189697,2.015625,0.09375,doors |  doors |  fences |  door |  gates, cats |  trees |  animals |  dogs |  fences,0.9136690497398376,0.8992805480957031,0.9280575513839722
8,0.8109523630697519,1.2631232738494873,0.0006790916086174548,20.90072543621063,20.813048203786213,1.4921875,1.5,1.4494974613189697,2.015625,0.09375,doors |  fences |  doors |  door |  gates, cats |  trees |  animals |  dogs |  fences,0.9208633303642273,0.9136690497398376,0.9280575513839722
9,0.21167068571555017,0.0001884167577372864,1.7448750734329224,5.63140336672465,5.527689615885417,1.5,1.4921875,1.4494974613189697,2.015625,0.09228515625, fences | doors |  doors |  door |  fence, cats |  trees |  animals |  dogs |  fences,0.9208633303642273,0.9640287756919861,0.8776978254318237
10,1.2506386127796532,0.013374356552958488,0.5633476376533508,31.60076634089152,31.574704591433207,1.5,1.5,1.4494974613189697,2.03125,0.08935546875,doors |  fences |  doors |  door |  fence, cats |  trees |  animals |  dogs |  fences,0.9496402740478516,0.9640287756919861,0.935251772403717
