epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.0017642400925979018,3.1790947914123535,54.344313557942705,51.562646484375,1.078125,1.078125,1.0794202089309692,1.4296875,0.119140625, |  | עניינ | 낢 | 켭, |  |  trees |  frogs |  cars,0.5071942210197449,0.971222996711731,0.04316546767950058
2,,0.14201685786247253,0.026467135176062584,42.63943888346354,42.57656364440918,1.078125,1.078125,1.0794202089309692,1.4609375,0.07958984375, |  | 켭 | walls | �, |  |  trees |  puppies |  frogs,0.5251798629760742,0.8201438784599304,0.23021583259105682
3,,0.0001896550675155595,1.4718835353851318,14.563966369628906,14.57803722023964,1.078125,1.078125,1.0794202089309692,1.4921875,0.04833984375, |  | 켭 | � | �, trees |  birds |  puppies |  cars | ,0.5107913613319397,0.971222996711731,0.050359711050987244
4,,4.1721352317836136e-05,1.3914599418640137,19.478433197604804,18.663832982381184,1.078125,1.0859375,1.0794202089309692,1.5234375,0.00927734375, |  | 켭 | مفه | walls, puppies |  birds |  trees |  cars |  bikes,0.5215827226638794,0.971222996711731,0.07194244861602783
5,,0.003581582335755229,0.07185376435518265,8.659167822791884,7.437506580352784,1.078125,1.078125,1.0794202089309692,1.5390625,-0.0147705078125, |  | walls | مفه | 켭, puppies |  birds |  cars |  | ,0.6007194519042969,0.8561151027679443,0.34532374143600464
6,,0.0007272306247614324,0.07061614841222763,7.298569283386072,6.833593877156575,1.078125,1.078125,1.0794202089309692,1.5625,-0.04638671875, |  | walls | עניינ |  walls, puppies |  birds |  trees |  kittens |  cars,0.6007194519042969,0.8848921060562134,0.316546767950058
7,,1.1780927181243896,1.0883318282139953e-05,6.317113507166766,6.4703559239991595,1.078125,1.078125,1.0794202089309692,1.59375,-0.08837890625,walls |  |  |  walls |  dragon, puppies |  kittens |  birds |  babies |  trees,0.5467625856399536,0.26618704199790955,0.8273381590843201
8,,0.0005139517597854137,0.0017594571691006422,15.91897754271825,15.957970708111922,1.078125,1.078125,1.0794202089309692,1.609375,-0.11376953125, |  |  dragon | مفه | 켭, birds | 两位 |  puppies |  kittens |  trees,0.6582733988761902,0.8345323801040649,0.48201438784599304
9,,0.011302493512630463,0.00020567206956911832,0.6828315645456314,0.6969859361648559,1.078125,1.078125,1.0794202089309692,1.6171875,-0.12255859375, |  dragon |  | 大门 | walls, birds | 两位 |  puppies |  kittens |  babies,0.6690647602081299,0.6402877569198608,0.6978417038917542
10,,8.594895916758105e-06,0.33038657903671265,0.43724286851162714,0.3436950047810872,1.078125,1.0859375,1.0794202089309692,1.6328125,-0.142578125, |  |  dragon | مفه |  whale,两位 |  birds |  puppies |  babies |  kittens,0.6115108132362366,0.9640287756919861,0.2589927911758423
11,,0.006403263658285141,0.14236170053482056,0.9170224518980983,0.8654847403367361,1.078125,1.078125,1.0794202089309692,1.6640625,-0.1904296875, dragon |  |  |  whale |  lizard,两位 |  birds |  puppies |  kittens |  babies,0.6474820375442505,0.935251772403717,0.35971224308013916
12,,0.001007599988952279,6.834707892267033e-05,5.399544698396252,5.349223971366882,1.078125,1.078125,1.0794202089309692,1.6796875,-0.21875, dragon |  lizard |  whale |  | ,两位 |  birds |  puppies |  kittens |  cats,0.7446042895317078,0.769784152507782,0.7194244861602783
13,,8.700956823304296e-05,0.011883862316608429,0.14162204935370634,0.12433316707611083,1.078125,1.078125,1.0794202089309692,1.6875,-0.2236328125, dragon |  lizard | مفه |  whale | ,两位 |  birds |  puppies |  kittens |  cats,0.7661870718002319,0.8129496574401855,0.7194244861602783
14,,6.8514549639076e-05,0.003338736016303301,0.05381711193088753,0.05088532716035843,1.078125,1.0859375,1.0794202089309692,1.6953125,-0.2294921875, dragon |  lizard |  | مفه | ,两位 |  birds |  puppies |  kittens |  cats,0.7841726541519165,0.8705036044120789,0.6978417038917542
15,,0.0009596878662705421,0.00011069155152654275,2.339743486242757,2.273927582676212,1.0859375,1.078125,1.0794202089309692,1.7421875,-0.298828125, dragon |  lizard | 魔龙 |  Dragon |  whale,两位 |  birds |  двух |  puppies |  kittens,0.7877697944641113,0.7122302055358887,0.8633093237876892
16,,0.0005173596437089145,0.00017741062038112432,0.06635127659343804,0.036760966976483664,1.078125,1.078125,1.0794202089309692,1.7421875,-0.298828125, dragon |  lizard | 魔龙 |  Dragon |  whale,两位 |  birds |  двух |  puppies |  cats,0.7949640154838562,0.7338129281997681,0.8561151027679443
17,,4.005386472272221e-06,0.061869435012340546,0.04890646487474441,0.0389731714501977,1.0859375,1.078125,1.0794202089309692,1.7421875,-0.30078125, dragon |  lizard |  Dragon | 魔龙 | 삵,两位 |  birds |  двух |  deux |  puppies,0.798561155796051,0.9064748287200928,0.6906474828720093
18,,4.187536978861317e-05,0.00016048333782237023,0.30797440056036673,0.30773225860563497,1.078125,1.078125,1.0794202089309692,1.7734375,-0.35546875, dragon |  lizard |  Dragon |  whale | 魔龙,两位 |  двух |  birds |  deux | two,0.8309352397918701,0.8633093237876892,0.798561155796051
