epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,4.6806067331383625,0.8190292716026306,0.05313190445303917,79.08475393870225,67.99992329279581,1.484375,1.4921875,1.4494974613189697,1.984375,0.1103515625, gates |  door |  wolves |  bird |  birds, cats |  doors |  dogs |  Doors |  walls,0.8529411554336548,0.7310924530029297,0.9747899174690247
2,1.11781431889558,0.011953883804380894,1.509778380393982,40.02430925369263,36.924473698933916,1.5,1.4921875,1.4494974613189697,2.0,0.10205078125, gates |  door |  bird |  wolves | 猫咪, cats |  doors |  dogs |  Doors |  walls,0.8697478771209717,0.7394958138465881,1.0
3,0.9804404590700263,0.0035509667359292507,1.4559102058410645,24.667405263582864,23.912401707967124,1.5078125,1.5,1.4494974613189697,2.015625,0.095703125, gates |  door |  bird |  wolves | 猫咪, cats |  doors |  dogs |  Doors |  walls,0.8655462265014648,0.7310924530029297,1.0
4,1.3146498295656952,1.3077499866485596,0.001487915636971593,32.01920132386343,31.233022483267025,1.5078125,1.515625,1.4494974613189697,2.046875,0.0859375, door |  gates |  bird | _door | 猫咪, cats |  doors |  dogs |  walls |  Doors,0.819327712059021,0.6386554837226868,1.0
5,0.8616827237262593,2.413271427154541,1.813509879866615e-05,26.61199177996168,26.497065648436546,1.515625,1.5234375,1.4494974613189697,2.0625,0.07421875, door |  gates |  bird | _door | 猫咪, cats |  doors |  dogs |  walls |  frogs,0.756302535533905,0.5126050710678101,1.0
6,0.9276553717254501,0.0005508939502760768,1.3015066385269165,15.901516183445892,15.770005016991247,1.53125,1.515625,1.4494974613189697,2.0625,0.07421875, door |  gates |  bird | 猫咪 | _door, cats |  doors |  dogs |  walls |  Doors,0.8907563090324402,0.7815126180648804,1.0
7,1.2473372498473614,1.651557445526123,0.00012474521645344794,25.388881632906852,25.277723126113415,1.5234375,1.5234375,1.4494974613189697,2.078125,0.06884765625, door |  gates |  bird | _door | 猫咪, cats |  doors |  dogs |  walls |  frogs,0.7941176295280457,0.5882353186607361,1.0
8,1.1998905147067849,0.9029589295387268,0.0022893757559359074,21.065226857918606,21.03482659260432,1.5234375,1.5234375,1.4494974613189697,2.078125,0.0673828125, door |  gates |  bird | _door | 猫咪, cats |  doors |  dogs |  walls |  frogs,0.8025209903717041,0.605042040348053,1.0
9,0.9301122938797294,5.770123971160501e-05,2.0033154487609863,17.634951855366428,17.617984348287184,1.5390625,1.515625,1.4494974613189697,2.09375,0.0654296875, door |  gates |  bird | 猫咪 | _door, cats |  doors |  dogs |  walls |  frogs,0.8991596698760986,0.848739504814148,0.9495798349380493
10,1.447292242510272,1.500910997390747,0.00014636314881499857,26.684678263156396,26.646693960390984,1.53125,1.53125,1.4494974613189697,2.09375,0.060546875, door |  gates |  bird | _door | 猫咪, cats |  doors |  dogs |  walls |  frogs,0.8109243512153625,0.6218487620353699,1.0
11,1.150899911687721,2.7218427931074984e-05,2.2057292461395264,25.93142365999811,25.907235856850942,1.546875,1.5234375,1.4494974613189697,2.09375,0.058837890625, door |  gates |  bird | 猫咪 | _door, cats |  doors |  dogs |  walls |  frogs,0.924369752407074,0.8991596698760986,0.9495798349380493
