epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.08262624591588974,0.2430398017168045,70.3717454512914,65.9543955485026,1.078125,1.078125,1.0794202089309692,1.4453125,0.09814453125, |  | ᗗ | ㋴ | 꿏, |  |  birds | 뮹 |  women,0.5378151535987854,0.16806723177433014,0.9075630307197571
2,,1.2162798643112183,0.012910190038383007,24.199686686197918,24.785026041666665,1.078125,1.078125,1.0794202089309692,1.4765625,0.06884765625, |  | ᗗ | ㋴ | 꿏, |  |  birds | ᎒ |  dogs,0.5252100825309753,0.05042016878724098,1.0
3,,0.08771838992834091,0.019390877336263657,22.06262111683706,22.36451893647512,1.078125,1.078125,1.0794202089309692,1.5078125,0.0233154296875, |  | ᗗ | ㋴ | 꿏, birds |  |  |  dogs |  women,0.5546218752861023,0.11764705926179886,0.9915966391563416
4,,0.0004099056532140821,1.7197685241699219,7.49857458366702,7.53851905365785,1.078125,1.078125,1.0794202089309692,1.5234375,0.003204345703125, |  | ᗗ | ㋴ | 꿏, birds |  dogs |  women |  girls | ,0.7268907427787781,0.6554622054100037,0.7983193397521973
