epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,5.409547815906505,2.0543062686920166,0.31634533405303955,81.99708054860433,58.02352931499481,1.4765625,1.46875,1.4494974613189697,1.96875,0.1015625, trees | Cars |  TREE | _tree |  Trees, walls |  dogs |  frogs |  cats |  cars,0.5,0.13445378839969635,0.8655462265014648
2,0.8560333229227884,0.529716432094574,0.05981718748807907,48.755332692464194,25.968611653645834,1.4921875,1.4765625,1.4494974613189697,1.984375,0.10546875, trees | Cars |  TREE | _tree |  Trees, walls |  dogs |  frogs |  cats |  cars,0.5420168042182922,0.2857142984867096,0.7983193397521973
3,0.598581505297625,1.0165140628814697,0.005078601185232401,29.354671732584634,26.344744873046874,1.4921875,1.4765625,1.4494974613189697,1.984375,0.10498046875, TREE | Cars |  trees | _tree | TREE, walls |  dogs |  frogs |  cats |  cars,0.6176470518112183,0.26050421595573425,0.9747899174690247
4,0.7074854595638802,0.008821075782179832,0.9160147905349731,27.73843739827474,26.294014994303385,1.5,1.4765625,1.4494974613189697,1.9921875,0.10302734375, TREE |  trees | _tree | Cars | TREE, walls |  dogs |  frogs |  cats |  cars,0.8025209903717041,0.6218487620353699,0.9831932783126831
5,0.5671219365677946,0.0037040458992123604,1.0225975513458252,25.080430793762208,24.464058303833006,1.5,1.4765625,1.4494974613189697,2.0,0.1025390625, TREE |  trees | _tree | Cars | TREE, walls |  dogs |  frogs |  cats |  cars,0.8655462265014648,0.756302535533905,0.9747899174690247
6,0.17787283956022293,0.7116802334785461,0.007622928824275732,9.498926186561585,8.996679051717122,1.5,1.484375,1.4494974613189697,2.0,0.099609375, TREE | Cars | _tree | TREE |  trees, walls |  dogs |  frogs |  cats |  cars,0.819327712059021,0.6470588445663452,0.9915966391563416
7,0.44482426421226745,0.0020923058036714792,1.1069979667663574,16.623675219217937,16.592511622111,1.5078125,1.484375,1.4494974613189697,2.015625,0.0966796875, TREE | _tree | Cars |  trees | TREE, walls |  dogs |  frogs |  cats |  cars,0.9075630307197571,0.831932783126831,0.9831932783126831
