epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,2.2628941535949707,0.00293593667447567,50.685611979166666,58.63593343098958,1.078125,1.078125,1.0794202089309692,1.4296875,0.1220703125, |  | � | 	cat | �, dogs |  cats |  | 猫咪 | ,0.5143885016441345,0.22302158176898956,0.8057553768157959
2,,0.38850313425064087,0.020369578152894974,33.41259986857573,33.75930531819662,1.078125,1.078125,1.0794202089309692,1.46875,0.0751953125, |  | � | 	cat | �, cats |  dogs |  birds |  animals | 猫咪,0.5107913613319397,0.2158273309469223,0.8057553768157959
3,,0.003904057666659355,0.05423501133918762,22.69964919834553,22.55456288655599,1.078125,1.078125,1.0794202089309692,1.4921875,0.046142578125, |  | 	cat | � | 햏, dogs |  cats |  birds |  animals | 猫咪,0.5539568066596985,0.4316546618938446,0.6762589812278748
4,,0.00011251762043684721,0.7429569959640503,5.299427936101953,5.0511113484700525,1.078125,1.078125,1.0794202089309692,1.5078125,0.0255126953125, |  | 	cat | 햏 | �, dogs |  cats |  birds |  animals |  Dogs,0.6258992552757263,0.7553957104682922,0.49640288949012756
5,,0.012505407445132732,0.001037580193951726,7.810767173826995,7.758403712759415,1.078125,1.078125,1.0794202089309692,1.546875,-0.027587890625, |  | 	cat | � | 햏, cats |  dogs |  birds |  animals |  rabbits,0.564748227596283,0.2517985701560974,0.8776978254318237
6,,0.0024213967844843864,0.1817968636751175,7.613886637489001,7.4478703816731775,1.078125,1.078125,1.0794202089309692,1.578125,-0.06787109375, |  | � | 	cat | 햏, cats |  dogs |  birds |  animals | 猫咪,0.6294963955879211,0.3741007149219513,0.8848921060562134
7,,0.0006334047648124397,0.014184048399329185,9.921423922479153,9.827291603883108,1.078125,1.078125,1.0794202089309692,1.59375,-0.08740234375, |  | � | 	cat | 햏, cats |  dogs |  birds |  animals |  rabbits,0.6870503425598145,0.4460431635379791,0.9280575513839722
8,,0.0008558533154428005,0.000535442610271275,0.39521077771981555,0.41430428822835286,1.078125,1.078125,1.0794202089309692,1.59375,-0.09423828125, |  | � | 	cat | 햏, cats |  dogs |  birds |  animals |  rabbits,0.6798561215400696,0.42446044087409973,0.935251772403717
9,,0.0006447978084906936,0.0018243014346808195,0.3636204562460383,0.33236094353099666,1.078125,1.078125,1.0794202089309692,1.6171875,-0.125, |  | � | 	cat | 햏, cats |  dogs |  birds |  animals | 猫咪,0.7266187071800232,0.5323740839958191,0.9208633303642273
10,,0.011620210483670235,2.5664743589004502e-05,7.175171907164622,7.133330217997233,1.078125,1.078125,1.0794202089309692,1.6484375,-0.1640625, |  | � | 뷁 | 	cat, cats |  dogs |  birds |  animals |  rabbits,0.6510791182518005,0.3741007149219513,0.9280575513839722
11,,1.102664100471884e-05,0.22969381511211395,0.6643006793713236,0.6030602216720581,1.0859375,1.078125,1.0794202089309692,1.6640625,-0.1845703125, |  | � | 뷁 | 햏, cats |  dogs |  birds |  animals |  deux,0.7949640154838562,0.7625899314880371,0.8273381590843201
