epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,32.2335426107049,4.199999809265137,0.46672746539115906,76.6052897135567,68.54232922792461,5.0,5.21875,1.4494974613189697,9.8125,-0.8515625, handjob |  rabbit |  squirrel |  patiënt |  detalle, experts |  eggs |  birds |  animals | 孩子们,0.6134454011917114,0.9747899174690247,0.2521008551120758
2,29.837817557031908,0.0,81.80000305175781,30.846875,30.84687500000142,5.84375,5.90625,1.4494974613189697,11.4375,-0.890625, woman |  kitten |  whale |  snake |  monkey,孩子们 | 同学们 | 	users |  guys | (users,0.6428571343421936,0.9915966391563416,0.29411765933036804
3,45.339647603034976,0.0,15.6875,30.633333333333333,30.63333333997677,5.84375,6.0,1.4494974613189697,11.5625,-0.89453125, monkey |  surname |  handjob | โอกา |  mosquito,孩子们 |  animals |  birds | 同学们 |  dancers,0.6008403301239014,1.0,0.20168067514896393
4,21.00625034968058,48.900001525878906,0.0,20.8,20.8000000000015,7.34375,7.15625,1.4494974613189697,14.25,-0.9296875, Shemale |  shemale |  tablespoon |  handjob | 厮,孩子们 |  animals |  children |  dancers |  birds,0.5924369692802429,0.8571428656578064,0.32773110270500183
5,16.491666825612388,0.0,57.70000076293945,32.166666666666664,32.166666666666664,9.0625,8.875,1.4494974613189697,17.75,-0.953125, woman |  person |  asteroid |  whale |  handjob,孩子们 | (users | 	users | (players | 老师们,0.6092436909675598,1.0,0.21848739683628082
6,24.3,81.95183563232422,0.0,15.5,15.5,9.25,9.25,1.4494974613189697,18.25,-0.953125,厮 | Diese |  handjob |  Shemale |  shemale,孩子们 |  ants |  animals |  birds |  children,0.575630247592926,0.8571428656578064,0.29411765933036804
7,26.116666730244955,0.0,44.333335876464844,20.266666666666666,20.266666666666666,9.625,9.4375,1.4494974613189697,18.875,-0.9609375, woman |  handjob |  dog | 厮 |  kitten,孩子们 | (users | 老师们 | 	users | (players,0.651260495185852,0.9747899174690247,0.32773110270500183
8,37.15,0.0,30.674999237060547,20.666666666666668,20.666666666666668,9.625,9.4375,1.4494974613189697,18.875,-0.95703125, woman |  handjob | 厮 |  dog |  shemale,孩子们 | (users | 老师们 | 	users |  dancers,0.6722689270973206,0.9663865566253662,0.3781512677669525
