epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.6528621912002563,0.10879099369049072,57.726051330566406,62.717578125,1.078125,1.078125,1.0794202089309692,1.4375,0.115234375, |  | 걜 | 걘 | 겈, dogs |  |  | 쏩 | ﭯ,0.462184876203537,0.05882352963089943,0.8655462265014648
2,,0.012987995520234108,0.5163594484329224,38.21628214518229,35.7,1.078125,1.078125,1.0794202089309692,1.4453125,0.103515625, |  | 걜 | ﮇ | ﱀ, dogs |  |  | 쏩 | ﭯ,0.5462185144424438,0.2689075767993927,0.8235294222831726
3,,0.36031070351600647,0.00537777179852128,15.43818359375,15.433430989583334,1.078125,1.078125,1.0794202089309692,1.453125,0.0947265625, |  | 걜 | ﮇ | ﱀ, dogs |  |  | 쏩 | 𓏸,0.5042017102241516,0.05042016878724098,0.9579831957817078
4,,0.10267554223537445,0.00638966728001833,14.389708391825359,13.971053059895834,1.078125,1.078125,1.0794202089309692,1.46875,0.078125, |  | 걜 | ﮇ | ﱀ, dogs |  |  | 쏩 | 픠,0.5042017102241516,0.02521008439362049,0.9831932783126831
5,,0.0015716843772679567,0.10649345815181732,14.5642853418986,14.37329355875651,1.078125,1.078125,1.0794202089309692,1.4765625,0.0625, |  | 걜 | ﮇ | ﱀ, dogs |  |  | 쏩 | 픠,0.6302521228790283,0.3529411852359772,0.9075630307197571
6,,0.7413380742073059,0.00022625559358857572,6.640628051757813,6.654646809895834,1.078125,1.0859375,1.0794202089309692,1.484375,0.052490234375, |  | ﮇ | ﱀ | ࡒ, dogs |  |  | 픠 | 쏩,0.5084033608436584,0.016806723549962044,1.0
7,,0.0027710075955837965,0.036157675087451935,5.019508655865987,4.823128255208333,1.078125,1.078125,1.0794202089309692,1.5,0.03564453125, |  | ﮇ | ﱀ | ࡒ, dogs |  |  | 픠 | 쏩,0.605042040348053,0.26050421595573425,0.9495798349380493
8,,0.36528950929641724,8.773525041760877e-05,2.3352210919062295,2.355901336669922,1.0859375,1.0859375,1.0794202089309692,1.515625,0.0174560546875, |  | ﮇ | ࡒ | ﱀ, dogs |  |  | 픠 | 쏩,0.5168067216873169,0.03361344709992409,1.0
9,,0.00012541802425403148,0.12657853960990906,9.353296228249867,9.298352670669555,1.0859375,1.078125,1.0794202089309692,1.53125,-0.006439208984375, |  | ﮇ | ﱀ | ࡒ, dogs |  birds |  | 픠 | ,0.7647058963775635,0.6218487620353699,0.9075630307197571
10,,0.0021159150637686253,0.0011911282781511545,1.393470001220703,1.4603266398111978,1.078125,1.078125,1.0794202089309692,1.5390625,-0.01104736328125, |  | ﮇ | ﱀ | ࡒ, dogs |  |  birds |  | 픠,0.6260504126548767,0.27731093764305115,0.9747899174690247
11,,0.0017032778123393655,0.0022522250656038523,0.30171846946080527,0.2915135701497396,1.078125,1.078125,1.0794202089309692,1.5390625,-0.0159912109375, |  | ﮇ | ﱀ | ࡒ, dogs |  birds |  |  | 픠,0.6428571343421936,0.31092438101768494,0.9747899174690247
12,,0.002512761391699314,0.0067330459132790565,4.470006583134333,4.473083909352621,1.078125,1.078125,1.0794202089309692,1.5546875,-0.036376953125, |  | ﮇ | ﱀ | 굄, dogs |  birds |  |  | 픠,0.6428571343421936,0.31092438101768494,0.9747899174690247
13,,9.999066969612613e-05,0.03265709429979324,0.808061812321345,0.7652055104573567,1.078125,1.078125,1.0794202089309692,1.5625,-0.0498046875, |  | ﱀ | ﮇ | ﯕ, dogs |  birds |  |  | 픠,0.7815126180648804,0.6638655662536621,0.8991596698760986
