epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.45051002502441406,0.1476917415857315,69.24960123697916,72.255078125,1.078125,1.078125,1.0794202089309692,1.4375,0.11865234375, doors | ﭓ |  |  | ﮡ, birds |  |  trees |  | 䓫,0.819327712059021,0.7142857313156128,0.924369752407074
2,,0.2196674644947052,0.004683683160692453,19.9250244140625,20.452178955078125,1.078125,1.078125,1.0794202089309692,1.4453125,0.1015625, doors | ﭓ | ﮡ | ﮃ | , birds |  |  |  trees | 䓫,0.7268907427787781,0.4789915978908539,0.9747899174690247
3,,0.012310064397752285,0.04448636993765831,15.319617438316346,15.242176564534505,1.078125,1.078125,1.0794202089309692,1.4765625,0.06298828125, doors | ﮡ | ﭓ | ﮃ | , birds |  trees |  |  |  chairs,0.8781512379646301,0.7983193397521973,0.9579831957817078
4,,0.47762614488601685,0.0003397062246222049,7.917543557782968,8.123043060302734,1.078125,1.078125,1.0794202089309692,1.5078125,0.0179443359375, doors | ﮡ | ﭓ | ﮃ | , birds |  trees |  |  |  dogs,0.6008403301239014,0.21008403599262238,0.9915966391563416
5,,0.0010645081056281924,0.016290828585624695,9.344718933105469,9.872040566802024,1.078125,1.078125,1.0794202089309692,1.546875,-0.0272216796875,ﮡ |  doors | ﭓ | 돝 | 굄, birds |  trees |  |  |  cats,0.8823529481887817,0.8067227005958557,0.9579831957817078
6,,0.7844752669334412,9.631778084440157e-06,6.928838307907184,6.919355265299479,1.078125,1.078125,1.0794202089309692,1.578125,-0.068359375, doors | ﮡ | ﭓ | ﮃ | 굄, birds |  trees |  |  cats | ,0.6092436909675598,0.22689075767993927,0.9915966391563416
7,,0.02272150106728077,0.00036643570638261735,12.352077828224962,12.212394269307454,1.078125,1.078125,1.0794202089309692,1.6015625,-0.10205078125,ﮡ | ﭓ | 돝 |  doors | ﮃ, birds |  trees |  cats |  dogs |  двух,0.831932783126831,0.6974790096282959,0.9663865566253662
8,,0.0019553338643163443,0.003993764985352755,2.4986083432716746,2.6364556313004868,1.078125,1.078125,1.0794202089309692,1.625,-0.1396484375,ﮡ | ﭓ | ﮃ | 돝 | 굄, birds |  двух |  trees |  cats |  dogs,0.8823529481887817,0.7983193397521973,0.9663865566253662
9,,0.0002908574533648789,0.009209361858665943,0.8506479344949791,0.772605761885643,1.078125,1.078125,1.0794202089309692,1.640625,-0.15625,ﮡ | ﭓ | ﮃ | 돝 | 굄, birds |  двух |  cats |  trees |  dogs,0.9075630307197571,0.8739495873451233,0.9411764740943909
10,,5.8991427067667246e-05,0.1749241054058075,6.188128157902975,6.224257096135989,1.078125,1.078125,1.0794202089309692,1.6640625,-0.193359375,ﮡ | ﭓ | 굄 | 돝 | ﮃ, birds |  двух |  dogs |  cats |  trees,0.8907563090324402,0.9579831957817078,0.8235294222831726
11,,0.00044822407653555274,0.0025689888279885054,11.348350227151787,11.48019605797405,1.078125,1.078125,1.0794202089309692,1.6875,-0.2216796875,ﮡ | ﭓ | 具有战士 | 굄 | ﮃ, birds |  двух |  cats | 两位 |  dogs,0.9033613204956055,0.8655462265014648,0.9411764740943909
12,,0.0007568138535134494,0.0008108917390927672,0.08122678489501899,0.07759114901224771,1.078125,1.078125,1.0794202089309692,1.6875,-0.22265625,ﮡ | ﭓ | 具有战士 | 굄 | ﮃ, birds |  двух |  cats | 两位 |  trees,0.9117646813392639,0.8991596698760986,0.924369752407074
