epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,9.934769982099533,3.0255677700042725,8.591413497924805,98.64619140625,79.1674227051437,1.453125,1.4609375,1.4494974613189697,1.8828125,0.16796875, [wugs] |  내가 |  flies |  cars |  trees, [wug] |  mice |  dogs |  doors |  gates,0.40287768840789795,0.7841726541519165,0.02158273383975029
2,3.5683411637941997,1.1691627502441406,1.2042478322982788,91.36471354166666,78.91584091186523,1.4609375,1.4921875,1.4494974613189697,1.8984375,0.1708984375, [wugs] |  내가 |  flies | 	tree |  trees, [wug] |  mice |  dogs |  monkeys |  rats,0.6726618409156799,0.7266187071800232,0.6187050342559814
3,0.9741382419752578,0.8232726454734802,0.20966356992721558,54.20872395833333,48.158013916015626,1.4609375,1.5,1.4494974613189697,1.90625,0.1748046875, [wugs] |  내가 |  flies | 	tree |  trees, [wug] |  mice |  dogs |  monkeys |  rats,0.7733812928199768,0.7410072088241577,0.8057553768157959
4,0.3639373535833632,0.9007756114006042,0.02324223890900612,28.084114583333335,25.82044677734375,1.46875,1.5078125,1.4494974613189697,1.9140625,0.1748046875, [wugs] |  내가 | 	tree |  flies |  bird, mice |  [wug] |  dogs |  monkeys |  rats,0.8237410187721252,0.769784152507782,0.8776978254318237
5,0.3622767130009985,0.029732616618275642,0.5527862310409546,22.729229736328126,20.655191040039064,1.4765625,1.5078125,1.4494974613189697,1.9140625,0.1767578125, [wugs] |  내가 | 	tree |  bird |  flies, [wug] |  mice |  dogs |  monkeys |  rats,0.8561151027679443,0.8776978254318237,0.8345323801040649
6,0.3221002354034378,0.45681047439575195,0.034863054752349854,21.39644571940104,21.070327758789062,1.46875,1.515625,1.4494974613189697,1.921875,0.1748046875, [wugs] |  내가 | 	tree |  bird |  flies, [wug] |  mice |  dogs |  monkeys |  rats,0.8597122430801392,0.8417266011238098,0.8776978254318237
7,0.4510668365440021,0.05282757058739662,0.35238200426101685,27.664478556315103,27.069940185546876,1.4765625,1.5078125,1.4494974613189697,1.921875,0.1748046875, [wugs] |  내가 | 	tree |  bird |  flies, mice |  [wug] |  dogs |  monkeys |  rats,0.8741007447242737,0.8633093237876892,0.8848921060562134
8,0.4316185949462427,0.3608270287513733,0.04585246369242668,26.92466049194336,26.40302734375,1.4765625,1.515625,1.4494974613189697,1.921875,0.1728515625, [wugs] |  내가 | 	tree |  bird |  flies, mice |  [wug] |  dogs |  monkeys |  rats,0.8633093237876892,0.8273381590843201,0.8992805480957031
9,0.32667253093386533,0.017659468576312065,0.5726463198661804,19.82670694986979,19.553987630208333,1.484375,1.515625,1.4494974613189697,1.921875,0.171875, [wugs] |  내가 | 	tree |  bird |  flies, mice |  [wug] |  dogs |  monkeys |  rats,0.8776978254318237,0.8705036044120789,0.8848921060562134
10,0.331835958402371,0.682486355304718,0.009605913423001766,16.949605305989582,16.618916829427082,1.4765625,1.515625,1.4494974613189697,1.9296875,0.1708984375, [wugs] |  내가 | 	tree |  bird |  flies, mice |  [wug] |  dogs |  monkeys |  rats,0.8633093237876892,0.8201438784599304,0.9064748287200928
11,0.3949109507673711,0.481787770986557,0.023045072332024574,21.623240788777668,21.341706848144533,1.4765625,1.515625,1.4494974613189697,1.9296875,0.169921875, [wugs] |  내가 | 	tree |  bird |  flies, mice |  [wug] |  dogs |  monkeys |  rats,0.866906464099884,0.8273381590843201,0.9064748287200928
12,0.28832100819078427,0.012268515303730965,0.619566798210144,17.64272257486979,17.484848022460938,1.484375,1.515625,1.4494974613189697,1.9296875,0.169921875, [wugs] |  내가 | 	tree |  bird |  flies, mice |  [wug] |  dogs |  monkeys |  rats,0.8884891867637634,0.8920863270759583,0.8848921060562134
