epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,1.728301763534546,1.9120467901229858,62.39114583333333,53.642078264406884,1.4453125,1.4453125,1.4494974613189697,1.9375,0.10205078125, doors |  tables |  rooms |  roads |  buckets, cats | ࠳ |  trees |  doors |  animals,0.6007194519042969,0.9208633303642273,0.28057554364204407
2,,0.4186069965362549,0.3006651699542999,40.5765625,34.586669921875,1.453125,1.453125,1.4494974613189697,1.9375,0.107421875, doors |  roads |  rooms |  tables |  buckets, cats | ࠳ |  trees |  animals | ᩈ,0.8273381590843201,0.935251772403717,0.7194244861602783
3,,0.30172547698020935,0.05985549837350845,31.776643880208333,31.160689290364584,1.453125,1.4453125,1.4494974613189697,1.953125,0.0927734375, doors |  roads |  rooms |  tables |  fences, cats | ࠳ |  trees |  animals |  elephants,0.8093525171279907,0.8705036044120789,0.7482014298439026
4,,0.025891166180372238,0.23206615447998047,25.774055989583335,24.952034505208335,1.4453125,1.4453125,1.4494974613189697,1.9609375,0.08056640625, doors |  roads |  rooms |  fences |  tables, cats |  trees | ࠳ |  elephants |  animals,0.8201438784599304,0.9496402740478516,0.6906474828720093
5,,0.26523536443710327,0.024683866649866104,14.948982747395833,14.945028686523438,1.453125,1.453125,1.4494974613189697,1.9921875,0.061279296875, doors |  roads |  rooms |  tables |  fences, cats |  trees | ࠳ |  elephants |  animals,0.8381295204162598,0.8848921060562134,0.7913669347763062
6,,0.09497964382171631,0.05490986630320549,12.108414713541666,11.953385416666666,1.4453125,1.4453125,1.4494974613189697,1.9921875,0.05224609375, doors |  roads |  tables |  rooms |  fences, cats |  trees |  elephants |  animals | ࠳,0.8381295204162598,0.9064748287200928,0.769784152507782
7,,0.006016265135258436,0.3051200211048126,11.42255859375,11.274666341145833,1.4453125,1.4453125,1.4494974613189697,2.0,0.041259765625, doors |  roads |  fences |  tables |  rooms, cats |  trees |  elephants |  animals |  Cats,0.8309352397918701,0.9568345546722412,0.7050359845161438
8,,0.08320280909538269,0.09011892974376678,16.114778645833333,16.026481119791665,1.4453125,1.453125,1.4494974613189697,2.03125,0.0211181640625, doors |  roads |  fences |  rooms |  tables, cats |  elephants |  trees |  animals |  dogs,0.8345323801040649,0.8992805480957031,0.769784152507782
9,,0.005066012032330036,0.18528233468532562,5.706593322753906,5.293977864583334,1.453125,1.453125,1.4494974613189697,2.03125,0.0186767578125, doors |  roads |  fences |  rooms |  tables, cats |  trees |  elephants |  Cats |  animals,0.798561155796051,0.971222996711731,0.6258992552757263
10,,0.5037847757339478,0.0009783462155610323,3.593588383992513,3.5819066365559897,1.453125,1.453125,1.4494974613189697,2.0625,-0.01153564453125, doors |  roads |  rooms |  fences |  walls, cats |  trees |  elephants |  Cats | ࠳,0.8489208817481995,0.8489208817481995,0.8489208817481995
11,,0.28865161538124084,0.001059545436874032,9.463360341389974,9.528507486979167,1.453125,1.453125,1.4494974613189697,2.078125,-0.0279541015625, roads |  doors |  fences |  rooms |  walls, cats |  elephants |  trees |  animals |  dogs,0.8093525171279907,0.7913669347763062,0.8273381590843201
12,,0.0017775334417819977,0.10597053915262222,11.91437323888143,11.602297560373943,1.453125,1.4453125,1.4494974613189697,2.09375,-0.037353515625, doors |  roads |  creature |  fences |  rooms, cats |  elephants |  trees |  dogs |  Cats,0.7769784331321716,0.971222996711731,0.5827338099479675
13,,0.14292435348033905,0.001575546688400209,2.408360799153646,2.4305938720703124,1.4453125,1.453125,1.4494974613189697,2.109375,-0.05224609375, roads |  doors |  creature |  fences |  walls, cats |  elephants |  trees |  dogs |  animals,0.8525179624557495,0.8992805480957031,0.8057553768157959
