epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,4.267942527273105,1.556039571762085,0.0005196557613089681,73.97779871622721,50.87532047542433,1.109375,1.1328125,1.0794202089309692,1.5,0.10888671875, |  |  chair |  thing |  chairs, birds | 왤 |  cats | 𬣡 | 뭥,0.605042040348053,0.21008403599262238,1.0
2,2.3225019643327887,0.005845320411026478,0.7827172875404358,45.2626884440581,45.27406350771586,1.125,1.1328125,1.0794202089309692,1.5078125,0.1015625, |  |  thing |  chair |  chairs, birds | 왤 |  cats | 𬣡 |  dogs,0.7815126180648804,0.5714285969734192,0.9915966391563416
3,1.2557146912771942,1.1757444143295288,0.0007255813688971102,28.873135957618555,27.68898816903432,1.125,1.1484375,1.0794202089309692,1.53125,0.09130859375, |  |  chair |  thing |  chairs, birds |  cats | 왤 |  dogs | 𬣡,0.680672287940979,0.3613445460796356,1.0
4,1.2151635878055154,1.3445905096887145e-05,4.684680461883545,19.91817076355219,20.13728062628458,1.1484375,1.1328125,1.0794202089309692,1.546875,0.08056640625, chair |  |  |  thing |  chairs, birds | 왤 | 𬣡 | 뭥 | 똭,0.9159663915634155,0.8571428656578064,0.9747899174690247
