epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,3.880220286633509,0.17343276739120483,0.2793358564376831,74.90552310943603,56.62001158396403,1.4765625,1.4765625,1.4494974613189697,1.9296875,0.1474609375, [wugs] |  cars |  gates |  door |  houses, cats |  dogs |  birds |  cars |  wolves,0.4892086386680603,0.5251798629760742,0.4532374143600464
2,1.2674559680064097,1.7955470085144043,0.00040749163599684834,41.328629366556804,39.73085308074951,1.4765625,1.4921875,1.4494974613189697,1.9453125,0.1396484375, cars |  [wugs] |  door |  gates | houses, cats |  dogs |  birds |  wolves |  frogs,0.6115108132362366,0.5035971403121948,0.7194244861602783
3,1.0853292784170359,1.3073326349258423,0.0005357756745070219,23.905522975325585,23.20383715480566,1.484375,1.4921875,1.4494974613189697,1.953125,0.138671875, door |  [wugs] |  gates |  cars | houses, cats |  dogs |  birds |  wolves |  frogs,0.730215847492218,0.6618704795837402,0.798561155796051
4,1.0385855065986864,1.3051809072494507,0.00042921712156385183,22.732340251406033,22.586815788348517,1.4921875,1.4921875,1.4494974613189697,1.96875,0.1337890625, door |  gates | houses |  cars |  [wugs], cats |  birds |  dogs |  wolves |  frogs,0.7841726541519165,0.7338129281997681,0.8345323801040649
5,1.164156657091621,0.8554560542106628,0.00292637525126338,21.515080618858338,21.4169957605501,1.4921875,1.4921875,1.4494974613189697,1.96875,0.1318359375, door |  gates | houses |  cars |  houses, cats |  dogs |  birds |  wolves |  cars,0.8021582961082458,0.7553957104682922,0.8489208817481995
6,1.5468155619865607,1.4092549085617065,0.00020562986901495606,29.93310267527898,29.905472946663696,1.4921875,1.5,1.4494974613189697,1.9765625,0.12890625, door |  gates | houses |  cars |  houses, cats |  dogs |  birds |  wolves |  frogs,0.7913669347763062,0.7266187071800232,0.8561151027679443
7,1.019299796796228,1.7858566045761108,4.6385586756514385e-05,21.045491062601407,20.98587534427643,1.4921875,1.5,1.4494974613189697,1.9765625,0.1279296875, door |  gates | houses |  cars |  houses, cats |  birds |  dogs |  wolves |  frogs,0.7877697944641113,0.7194244861602783,0.8561151027679443
8,1.1192914010063304,1.9585825204849243,2.9395936508080922e-05,20.97864227660466,20.85024722615878,1.5,1.5078125,1.4494974613189697,1.984375,0.1240234375, door |  gates | houses |  cars |  houses, cats |  birds |  dogs |  wolves |  cars,0.7877697944641113,0.7122302055358887,0.8633093237876892
9,0.9113836971190873,0.00029710010858252645,1.3515681028366089,15.952427637577056,15.860458779335023,1.5078125,1.4921875,1.4494974613189697,1.9921875,0.12353515625, door |  gates |  houses | houses |  gate, cats |  dogs |  birds |  wolves |  cars,0.8489208817481995,0.8057553768157959,0.8920863270759583
