epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,4.70496782908837,0.1156221330165863,0.8352528810501099,79.751708984375,68.70097111842284,1.4765625,1.484375,1.4494974613189697,2.0,0.08203125, dog |  elephant |  door |  doors |  dogs, chairs |  dogs |  monkeys |  cats |  lions,0.8781512379646301,0.9411764740943909,0.8151260614395142
2,0.9655119466275816,0.002621057676151395,2.230428457260132,34.47771797180176,30.41641184488932,1.4921875,1.4921875,1.4494974613189697,2.03125,0.07861328125, dog |  elephant |  door |  bird |  dogs, chairs |  dogs |  lions |  monkeys |  cats,0.894957959651947,0.9915966391563416,0.7983193397521973
3,1.1462384677585609,0.003769002389162779,2.203561305999756,22.72001050313314,22.53906110127767,1.4921875,1.5,1.4494974613189697,2.03125,0.07568359375, dog |  elephant |  door |  bird |  dogs, chairs |  dogs |  cats |  monkeys |  lions,0.9075630307197571,0.9915966391563416,0.8235294222831726
4,1.384151052940827,1.0688189268112183,0.0014113091165199876,29.221321195364,28.486734884418546,1.4921875,1.515625,1.4494974613189697,2.0625,0.0673828125, dog |  elephant |  door |  bird | _door, chairs |  dogs |  cats |  monkeys |  lions,0.9495798349380493,0.8991596698760986,1.0
5,0.5150020494059088,2.174464225769043,8.247384539572522e-05,10.642302544911702,10.57257928053538,1.484375,1.5234375,1.4494974613189697,2.0625,0.06494140625, dog |  elephant |  door |  bird | _door, chairs |  dogs |  cats |  monkeys |  cows,0.924369752407074,0.848739504814148,1.0
6,0.23544980130402848,0.00014519404794555157,2.650862216949463,11.976068484185573,12.104732941432546,1.515625,1.515625,1.4494974613189697,2.09375,0.052490234375, dog |  elephant |  door |  bird | Door, chairs |  dogs |  cats |  lions |  cows,0.8865545988082886,1.0,0.7731092572212219
7,0.6935312501425017,8.681100734975189e-05,2.7513375282287598,10.60764404146806,10.546877438311155,1.515625,1.515625,1.4494974613189697,2.09375,0.051513671875, dog |  elephant |  door |  bird | Door, chairs |  dogs |  cats |  lions |  cows,0.894957959651947,1.0,0.7899159789085388
8,1.3233524280360873,7.187179289758205e-05,2.125936269760132,21.026308805247147,20.91034223896762,1.515625,1.515625,1.4494974613189697,2.09375,0.0517578125, dog |  elephant |  door |  bird | Door, chairs |  dogs |  cats |  cows |  lions,0.9117646813392639,1.0,0.8235294222831726
9,1.4506563621706334,0.6583103537559509,0.007754593156278133,25.904995067957014,25.869069383603833,1.5078125,1.53125,1.4494974613189697,2.09375,0.050537109375, dog |  elephant |  door |  bird | Door, chairs |  dogs |  cats |  birds |  cows,0.9537814855575562,0.9579831957817078,0.9495798349380493
10,0.7329352251434857,0.38268163800239563,0.0322469137609005,10.806436251189249,10.814210635609925,1.5078125,1.53125,1.4494974613189697,2.09375,0.049560546875, dog |  elephant |  door |  bird | Door, chairs |  dogs |  cats |  cows |  birds,0.9537814855575562,0.9579831957817078,0.9495798349380493
11,0.6660466369463371,0.8537118434906006,0.002917366800829768,11.39398772790349,11.380852893988292,1.5078125,1.53125,1.4494974613189697,2.09375,0.04833984375, dog |  elephant |  door |  bird | Door, chairs |  dogs |  cats |  birds |  cows,0.9453781247138977,0.9579831957817078,0.9327731132507324
12,0.7025829843787332,1.002465844154358,0.0013928712578490376,10.636343987286091,10.63471520577247,1.5078125,1.5390625,1.4494974613189697,2.109375,0.0458984375, dog |  elephant |  door |  bird | Door, chairs |  dogs |  cats |  cows |  birds,0.9621848464012146,0.9579831957817078,0.9663865566253662
