epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,6.594538366297881,1.284712553024292,1.1095387935638428,84.13848723570506,67.20124444961547,1.4921875,1.4765625,1.4494974613189697,1.9296875,0.1494140625, cities |  [wugs] |  towns |  bird |  book, dogs |  [wug] |  cats |  cars |  wall,0.8739495873451233,0.7731092572212219,0.9747899174690247
2,0.9067103489127476,1.0928611755371094,0.006714571733027697,37.991556803385414,25.71092529296875,1.5,1.4921875,1.4494974613189697,1.9453125,0.1611328125, [wugs] |  cities |  bird |  towns |  book, dogs |  [wug] |  cats |  cars |  walls,0.8655462265014648,0.7478991746902466,0.9831932783126831
3,0.7627427706709569,0.6279207468032837,0.012077300809323788,30.916174793243407,28.68506622314453,1.5078125,1.5,1.4494974613189697,1.953125,0.158203125, [wugs] |  cities |  bird |  towns |  chicken, dogs |  [wug] |  cats |  cars |  trees,0.894957959651947,0.7983193397521973,0.9915966391563416
4,0.9013238479006153,0.002791208913549781,1.3562304973602295,28.523496500651042,28.022296142578124,1.515625,1.4921875,1.4494974613189697,1.9609375,0.1552734375, [wugs] |  bird |  cities |  chicken |  towns, dogs |  [wug] |  cats |  cars |  rats,0.9369747638702393,0.8907563090324402,0.9831932783126831
5,0.8398222223498124,1.7835350036621094,0.00022181645908858627,26.383834584554037,26.100509643554688,1.5078125,1.5078125,1.4494974613189697,1.953125,0.1552734375, [wugs] |  bird |  cities |  towns |  chicken, dogs |  cats |  [wug] |  kittens |  walls,0.8697478771209717,0.7478991746902466,0.9915966391563416
6,0.8396059000739721,0.6154462695121765,0.010505140759050846,23.108614921569824,22.72405217488607,1.515625,1.5078125,1.4494974613189697,1.9609375,0.15234375, [wugs] |  bird |  cities |  chicken |  towns, dogs |  cats |  [wug] |  rats |  kittens,0.9159663915634155,0.848739504814148,0.9831932783126831
7,0.7817679213060426,0.8111063838005066,0.004055441822856665,21.32953141530355,21.19160531361898,1.515625,1.5078125,1.4494974613189697,1.96875,0.150390625, [wugs] |  bird |  cities |  chicken |  towns, dogs |  cats |  [wug] |  kittens |  rats,0.9159663915634155,0.8403361439704895,0.9915966391563416
8,0.6080033743383714,0.00069709139643237,1.5083997249603271,16.410625839233397,16.290136337280273,1.5234375,1.5,1.4494974613189697,1.9765625,0.1474609375, bird |  [wugs] |  cities |  chicken |  towns, dogs |  cats |  [wug] |  rats |  kittens,0.9453781247138977,0.9159663915634155,0.9747899174690247
