epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.0024604680947959423,3.1047329902648926,56.65189272562663,56.51898695627848,1.078125,1.078125,1.0794202089309692,1.4375,0.12109375, |  | ༕ | 𨭉 | ﯠ, |  | ࠳ | ⮳ |  cats,0.5336134433746338,0.6470588445663452,0.42016807198524475
2,,0.06358197331428528,0.07519836723804474,37.51800538568447,37.31907348632812,1.078125,1.078125,1.0794202089309692,1.4609375,0.0859375, |  | ༕ | ﯠ | 𨭉, |  | ࠳ |  cats | ᨨ,0.5588235259056091,0.24369747936725616,0.8739495873451233
3,,0.09533527493476868,0.0005052668275311589,20.626954650878908,22.261647097269694,1.078125,1.078125,1.0794202089309692,1.4921875,0.0439453125, |  | ༕ | ﯠ |  Dragon, |  |  cats | ࠳ | ⮳,0.5378151535987854,0.1260504275560379,0.9495798349380493
4,,0.1661045104265213,0.00015819560212548822,12.33093911598747,12.303172556559245,1.078125,1.078125,1.0794202089309692,1.5078125,0.0203857421875, |  |  Dragon |  dragon | ༕, |  |  cats | ࠳ | ⮳,0.5546218752861023,0.15126051008701324,0.9579831957817078
5,,0.002401891630142927,0.0073417117819190025,23.822534726311762,23.770413001378376,1.078125,1.078125,1.0794202089309692,1.5546875,-0.041015625, |  |  Dragon |  dragon | 🐉, cats |  |  |  phones | ࠳,0.6932772994041443,0.42016807198524475,0.9663865566253662
6,,0.0046813650988042355,0.00044482373050414026,0.3049123287200928,0.27972339391708373,1.0859375,1.078125,1.0794202089309692,1.5625,-0.04248046875, |  |  Dragon |  dragon | 🐉, cats |  |  |  phones | ࠳,0.6638655662536621,0.3529411852359772,0.9747899174690247
7,,0.0007444644579663873,0.5119999647140503,1.3584581725299358,1.194706137975057,1.078125,1.078125,1.0794202089309692,1.59375,-0.091796875, |  |  dragon | 🐉 |  Dragon, cats |  |  |  phones |  houses,0.8151260614395142,0.756302535533905,0.8739495873451233
