epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,6.39922037658592,2.8686892986297607,0.3583143949508667,77.84725381533305,73.96191987196605,1.46875,1.4609375,1.4494974613189697,1.8984375,0.1640625, [wugs] |  chair |  dogs |  chairs |  book, [wug] |  chair |  dogs |  birds |  chairs,0.7857142686843872,0.5714285969734192,1.0
2,0.9936329428494598,0.08005701005458832,0.8502619862556458,52.562825520833336,29.906477864583334,1.4921875,1.46875,1.4494974613189697,1.90625,0.1669921875, [wugs] |  chair |  book |  dog |  dogs, [wug] |  dogs |  chair |  birds |  chairs,0.9117646813392639,0.8571428656578064,0.9663865566253662
3,0.6907814958249219,0.507656991481781,0.02797994576394558,36.786661783854164,32.78759765625,1.484375,1.4765625,1.4494974613189697,1.9140625,0.16796875, [wugs] |  chair |  dog |  book |  dogs, [wug] |  birds |  dogs |  chair |  trees,0.9033613204956055,0.831932783126831,0.9747899174690247
4,0.5763172071208829,0.7581727504730225,0.00694240489974618,26.489377593994142,25.861243693033853,1.4921875,1.484375,1.4494974613189697,1.921875,0.1640625, [wugs] |  chair |  dog |  book |  dogs, [wug] |  birds |  dogs |  chair |  chairs,0.9159663915634155,0.8403361439704895,0.9915966391563416
5,0.40479123424568875,0.0018517521675676107,1.2388522624969482,19.127152506510416,18.163444010416665,1.5,1.4765625,1.4494974613189697,1.9296875,0.16015625, [wugs] |  chair |  dog |  book |  dogs, [wug] |  birds |  dogs |  chair |  chairs,0.8991596698760986,0.924369752407074,0.8739495873451233
6,0.8475978898435036,0.01237332820892334,0.6166096329689026,31.715828450520835,31.517070515950522,1.5,1.4765625,1.4494974613189697,1.9296875,0.16015625, [wugs] |  chair |  dog |  book |  dogs, [wug] |  birds |  dogs |  chair |  chairs,0.9285714030265808,0.8907563090324402,0.9663865566253662
7,0.6811975790954118,0.028634758666157722,0.42981988191604614,30.161985778808592,30.048809814453126,1.5,1.484375,1.4494974613189697,1.9296875,0.1591796875, [wugs] |  chair |  dog |  book |  dogs, [wug] |  birds |  dogs |  chair |  chairs,0.9285714030265808,0.8907563090324402,0.9663865566253662
8,0.5075626732834887,0.42959484457969666,0.027768578380346298,17.624447695414226,17.285880533854165,1.5,1.484375,1.4494974613189697,1.9296875,0.158203125, [wugs] |  chair |  dog |  book |  dogs, birds |  dogs |  [wug] |  chair |  chairs,0.9159663915634155,0.8655462265014648,0.9663865566253662
9,0.6724025913662142,0.0023536691442131996,1.0130960941314697,25.369458134969076,25.263164774576822,1.5,1.4765625,1.4494974613189697,1.9375,0.158203125, [wugs] |  chair |  dog |  book |  dogs, birds |  dogs |  [wug] |  chair |  chairs,0.9117646813392639,0.9159663915634155,0.9075630307197571
10,0.6418734398118734,0.011202641762793064,0.6137053966522217,21.55592498779297,21.421080780029296,1.5,1.484375,1.4494974613189697,1.9375,0.15625, [wugs] |  chair |  dog |  book |  dogs, birds |  dogs |  [wug] |  chair |  chairs,0.9327731132507324,0.8991596698760986,0.9663865566253662
