epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,1.5934339761734009,0.040673233568668365,54.24817708333333,51.48485514322917,1.453125,1.453125,1.4494974613189697,1.9140625,0.1259765625, rats |  dogs |  children |  Phones |  books, doors |  gates |  birds |  door |  gate,0.27731093764305115,0.29411765933036804,0.26050421595573425
2,,0.18064789474010468,0.0432344451546669,36.65677083333333,35.51770833333333,1.4453125,1.4453125,1.4494974613189697,1.9375,0.1044921875, rats |  children |  dogs |  bird | _books, doors |  birds |  gates |  door |  chairs,0.5084033608436584,0.7226890921592712,0.29411765933036804
3,,0.07849518954753876,0.09530781209468842,29.258321126302082,28.734126790364584,1.453125,1.453125,1.4494974613189697,1.9765625,0.07421875, rats |  child |  children |  bird |  dogs, birds |  doors |  cars |  chairs |  gates,0.756302535533905,0.8991596698760986,0.6134454011917114
4,,1.7421516180038452,0.00017593178199604154,13.518766276041667,13.667899004618327,1.453125,1.453125,1.4494974613189697,1.9921875,0.05908203125, rats |  bird |  child |  dog | _books, birds |  doors |  cats |  cars |  gates,0.680672287940979,0.48739495873451233,0.8739495873451233
5,,0.011990719474852085,0.48646435141563416,18.76387227376302,18.709955342610677,1.453125,1.453125,1.4494974613189697,2.03125,0.0233154296875, child |  rats |  bird |  dog | _books, birds |  cars |  doors | 两只 |  cats,0.7983193397521973,0.8655462265014648,0.7310924530029297
