epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,4.616912081030508,0.8001474142074585,0.040521781891584396,84.9966044108073,72.83894837697348,1.484375,1.484375,1.4494974613189697,1.984375,0.10400390625, door |  bird |  Trees |  trees |  dog, walls |  dogs |  trees |  enfants |  cars,0.7857142686843872,0.9915966391563416,0.5798319578170776
2,1.2158975428128542,0.002506200922653079,1.7231934070587158,46.94404464364052,41.16649201711019,1.5078125,1.484375,1.4494974613189697,2.015625,0.09765625, door |  bird |  dog |  Trees | _door, dogs |  walls |  trees |  enfants |  cars,0.8235294222831726,1.0,0.6470588445663452
3,1.3426716255955853,0.9572803974151611,0.0027738020289689302,29.477613709246118,28.398227310180665,1.5,1.4921875,1.4494974613189697,2.015625,0.099609375, door |  bird |  dog | _door | Door, walls |  dogs |  trees |  enfants |  children,0.8865545988082886,0.9915966391563416,0.7815126180648804
4,1.0938604758746502,0.7580059170722961,0.005278100725263357,23.895541645772756,23.704062119374672,1.5078125,1.5,1.4494974613189697,2.03125,0.09228515625, door |  bird |  dog | Door | _door, dogs |  walls |  trees |  enfants |  children,0.9075630307197571,1.0,0.8151260614395142
5,0.6397359162799187,0.0001251834910362959,2.9563145637512207,17.30579488364359,17.2285558745265,1.53125,1.5,1.4494974613189697,2.046875,0.0791015625, door |  bird |  dog |  whale |  doorway, dogs |  walls |  trees |  enfants |  rats,0.8151260614395142,1.0,0.6302521228790283
6,1.0441106823873716,2.068711996078491,2.1115138224558905e-05,15.845738928765059,15.710570944597324,1.5078125,1.5078125,1.4494974613189697,2.046875,0.0849609375, door |  bird |  dog | Door |  doorway, dogs |  walls |  trees |  enfants |  children,0.9453781247138977,0.924369752407074,0.9663865566253662
7,0.8846184793433622,0.00018253210873808712,1.6516908407211304,16.30788711234927,16.1376280238231,1.53125,1.5,1.4494974613189697,2.0625,0.07763671875, door |  bird |  dog |  whale |  doorway, dogs |  walls |  trees |  enfants |  children,0.8445377945899963,1.0,0.6890756487846375
8,1.138059286164563,4.099858779227361e-05,1.8727129697799683,22.95688556762519,22.817881776640814,1.5390625,1.5,1.4494974613189697,2.078125,0.0693359375, door |  bird |  dog |  whale |  doorway, walls |  dogs |  trees |  enfants |  children,0.7184873819351196,1.0,0.43697479367256165
9,1.3595064096884755,0.5626052618026733,0.013114736415445805,25.904709061196385,25.89767206683755,1.53125,1.5078125,1.4494974613189697,2.078125,0.072265625, door |  bird |  dog |  whale |  doorway, walls |  dogs |  trees |  enfants |  children,0.8655462265014648,1.0,0.7310924530029297
10,0.6554598315956203,1.152974247932434,0.0006462497403845191,12.776061159620683,12.816725993606573,1.53125,1.5234375,1.4494974613189697,2.078125,0.06494140625, door |  bird |  dog |  doorway | Door, dogs |  walls |  trees |  enfants |  children,0.9663865566253662,1.0,0.9327731132507324
