epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,4.2021988606091325,0.5491288304328918,0.0253619197756052,95.39752146402995,89.01193464597067,1.1015625,1.125,1.0794202089309692,1.46875,0.134765625, |  fences |  |  roads |  Houses, dogs |  |  trees |  | �,0.8781512379646301,0.7899159789085388,0.9663865566253662
2,0.2953189407930703,0.0004105962289031595,2.050414562225342,25.309380569060643,20.685866913137335,1.125,1.140625,1.0794202089309692,1.5078125,0.11181640625, |  |  fence |  fences |  roads, dogs |  trees |  |  | 옜,0.9201680421829224,0.9411764740943909,0.8991596698760986
