epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,3.8832329066470264,0.2732289135456085,0.4297981858253479,81.49746907552084,76.00221176147461,1.4765625,1.484375,1.4494974613189697,1.9765625,0.10986328125, fences |  doors | doors |  door |  gates, cats |  trees |  fences |  dogs |  animals,0.756302535533905,0.5546218752861023,0.9579831957817078
2,1.2293201795923474,1.0732924938201904,0.049649678170681,37.835550689697264,32.862877146402994,1.484375,1.4921875,1.4494974613189697,1.9921875,0.10693359375, fences | doors |  doors |  door |  fence, cats |  trees |  dogs |  animals |  fences,0.8613445162773132,0.7815126180648804,0.9411764740943909
3,0.9403331952934726,1.7787823677062988,0.000289235234959051,27.54198325475057,27.439435116449992,1.4921875,1.5078125,1.4494974613189697,2.015625,0.095703125,doors |  fences |  doors |  door |  fence, cats |  trees |  animals |  dogs |  fences,0.924369752407074,0.8571428656578064,0.9915966391563416
4,0.8132008468016617,0.0009434320381842554,1.6551873683929443,16.76690444747607,16.674370168149473,1.5,1.5,1.4494974613189697,2.015625,0.0927734375, fences |  doors |  door | doors |  fence, cats |  trees |  animals |  dogs |  fences,0.9663865566253662,0.9747899174690247,0.9579831957817078
