epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,6.614194288849831,4.998806476593018,0.9094787240028381,77.52319863637288,60.957490321000414,1.4609375,1.4609375,1.4494974613189697,1.9609375,0.09814453125, trees | Cars |  TREE |  Trees | _tree, walls |  dogs |  frogs |  cats |  cars,0.4831932783126831,0.08403361588716507,0.8823529481887817
2,1.921558664777937,1.1508406400680542,0.15027685463428497,72.9907169342041,35.597225952148435,1.4765625,1.46875,1.4494974613189697,1.96875,0.10400390625, trees | Cars |  TREE | _tree |  Trees, walls |  dogs |  frogs |  cats |  cars,0.49159663915634155,0.15126051008701324,0.831932783126831
3,0.6411274267855334,0.4875743091106415,0.06808269768953323,48.00797831217448,31.100642903645834,1.484375,1.4765625,1.4494974613189697,1.9765625,0.10546875, trees | Cars |  TREE | _tree |  Trees, walls |  dogs |  frogs |  cats |  cars,0.5420168042182922,0.21848739683628082,0.8655462265014648
4,0.48228851221477576,0.0540444441139698,0.5026367902755737,32.51010030110677,27.947581990559897,1.4921875,1.4765625,1.4494974613189697,1.984375,0.1044921875, trees |  TREE | Cars | _tree |  Trees, walls |  dogs |  frogs |  cats |  cars,0.5630252361297607,0.32773110270500183,0.7983193397521973
5,0.3918532391221864,0.02330118790268898,0.6494910717010498,26.612241363525392,24.768894958496094,1.4921875,1.4765625,1.4494974613189697,1.984375,0.10400390625, trees |  TREE | _tree | Cars | TREE, walls |  dogs |  frogs |  cats |  cars,0.6764705777168274,0.5126050710678101,0.8403361439704895
6,0.17172638973546175,0.3608551025390625,0.044567305594682693,11.782023175557454,10.507210286458333,1.4921875,1.4765625,1.4494974613189697,1.9921875,0.10302734375, TREE | Cars | _tree |  trees | TREE, walls |  dogs |  frogs |  cats |  cars,0.7394958138465881,0.5042017102241516,0.9747899174690247
7,0.32162754436461305,0.01705222949385643,0.6185024380683899,17.586092789967854,17.030980428059895,1.4921875,1.4765625,1.4494974613189697,1.9921875,0.10205078125, TREE | Cars | _tree |  trees | TREE, walls |  dogs |  frogs |  cats |  cars,0.8067227005958557,0.6302521228790283,0.9831932783126831
8,0.33241293088813106,0.48506486415863037,0.022560883313417435,17.54440795580546,16.77503865559896,1.4921875,1.4765625,1.4494974613189697,1.9921875,0.10205078125, TREE | Cars | _tree |  trees | TREE, walls |  dogs |  frogs |  cats |  cars,0.7647058963775635,0.529411792755127,1.0
9,0.33007399499429085,0.02416299656033516,0.4765437841415405,17.15089289347331,16.554194577534993,1.5,1.4765625,1.4494974613189697,1.9921875,0.1005859375, TREE | Cars | _tree |  trees | TREE, walls |  dogs |  frogs |  cats |  cars,0.8361344337463379,0.680672287940979,0.9915966391563416
10,0.4029351958340461,0.023577623069286346,0.4760584831237793,21.179132397969564,20.846435928344725,1.5,1.4765625,1.4494974613189697,2.0,0.1005859375, TREE | _tree | Cars |  trees | TREE, walls |  dogs |  frogs |  cats |  cars,0.8361344337463379,0.680672287940979,0.9915966391563416
11,0.30989105221354596,0.4801028072834015,0.021465713158249855,16.232636960347495,16.033206462860107,1.5,1.484375,1.4494974613189697,2.0,0.099609375, TREE | _tree | Cars |  trees | TREE, walls |  dogs |  frogs |  cats |  cars,0.7773109078407288,0.5546218752861023,1.0
12,0.32745480384498177,0.524942934513092,0.017140137031674385,20.80321648915609,20.416522471110024,1.5,1.484375,1.4494974613189697,2.0,0.099609375, TREE | Cars | _tree | TREE |  trees, walls |  dogs |  frogs |  cats |  cars,0.7899159789085388,0.5798319578170776,1.0
13,0.47652925049942496,0.053516898304224014,0.30390089750289917,25.885354161262512,25.617261695861817,1.5,1.4765625,1.4494974613189697,2.0,0.09912109375, TREE | _tree | Cars | TREE |  trees, walls |  dogs |  frogs |  cats |  cars,0.8403361439704895,0.6890756487846375,0.9915966391563416
14,0.4430669562785624,0.022361580282449722,0.474226176738739,27.613654414812725,27.401366806030275,1.5,1.4765625,1.4494974613189697,2.0,0.0986328125, TREE | _tree | TREE | Cars |  trees, walls |  dogs |  frogs |  cats |  cars,0.8529411554336548,0.7142857313156128,0.9915966391563416
15,0.336709440721855,0.009304354898631573,0.6630229353904724,19.762132088343304,19.54852318763733,1.5,1.4765625,1.4494974613189697,2.0,0.0986328125, TREE | _tree | Cars |  trees | TREE, walls |  dogs |  frogs |  cats |  cars,0.8697478771209717,0.7478991746902466,0.9915966391563416
16,0.31684687742484435,0.6170474290847778,0.010567715391516685,16.468158308664957,16.253525924682616,1.5,1.484375,1.4494974613189697,2.0,0.0986328125, TREE | _tree | Cars | TREE |  trees, walls |  dogs |  frogs |  cats |  cars,0.7941176295280457,0.5882353186607361,1.0
17,0.43485932148702583,0.01736907847225666,0.5197064280509949,23.743235095342,23.50393231709798,1.5078125,1.4765625,1.4494974613189697,2.0,0.09765625, TREE | _tree | TREE | Cars |  trees, walls |  dogs |  frogs |  cats |  cars,0.8739495873451233,0.756302535533905,0.9915966391563416
18,0.4210663595850292,0.42998799681663513,0.026437876746058464,24.027040497461954,23.908590825398765,1.5,1.484375,1.4494974613189697,2.0,0.09814453125, TREE | _tree | TREE | Cars |  trees, walls |  dogs |  frogs |  cats |  cars,0.8067227005958557,0.6218487620353699,0.9915966391563416
19,0.36916340929480307,0.47420546412467957,0.02117627114057541,20.687250995635985,20.53521296183268,1.5,1.484375,1.4494974613189697,2.0,0.09814453125, TREE | _tree | TREE | Cars |  trees, walls |  dogs |  frogs |  cats |  cars,0.8235294222831726,0.6554622054100037,0.9915966391563416
20,0.1318182116946597,0.008811402134597301,0.6614886522293091,7.091868718465169,6.978288205464681,1.5078125,1.4765625,1.4494974613189697,2.0,0.09716796875, TREE | _tree | TREE |  trees | Cars, walls |  dogs |  frogs |  cats |  cars,0.8781512379646301,0.7647058963775635,0.9915966391563416
