epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.7334839105606079,0.4609054625034332,61.307291666666664,45.19390761057536,1.453125,1.4453125,1.4494974613189697,1.8984375,0.140625, [wugs] |  kittens |  dogs |  Houses | horse, dogs |  jars |  kittens |  cats | (cat,0.5336134433746338,0.2689075767993927,0.7983193397521973
2,,0.13119438290596008,0.5261102914810181,41.66458333333333,40.45950520833333,1.453125,1.4453125,1.4494974613189697,1.921875,0.11962890625, kittens | horse |  Houses |  leash | بار, dogs |  jars |  cats |  kittens | (cat,0.6008403301239014,0.4117647111415863,0.7899159789085388
3,,0.014690454117953777,0.7738107442855835,32.4431640625,31.072200520833334,1.453125,1.4453125,1.4494974613189697,1.9453125,0.095703125,horse |  kittens |  kitten |  leash |  horse, dogs |  jars |  cats |  kittens |  cups,0.6218487620353699,0.4117647111415863,0.831932783126831
4,,0.0063454038463532925,0.2958422601222992,16.310636393229167,16.16328125,1.4453125,1.4453125,1.4494974613189697,1.9609375,0.08154296875,horse |  kitten |  kittens |  leash |  horse, jars |  dogs |  cats |  kittens |  cups,0.651260495185852,0.40336135029792786,0.8991596698760986
5,,1.1617532968521118,0.0026566903106868267,15.80880355834961,15.78294677734375,1.4453125,1.453125,1.4494974613189697,2.0,0.05078125,horse |  horse |  leash |  kitten | 貓, dogs |  jars |  cats |  kittens |  dolls,0.605042040348053,0.21008403599262238,1.0
6,,0.0016834152629598975,0.6534388065338135,24.109943898518882,23.74818623860677,1.453125,1.4453125,1.4494974613189697,2.015625,0.0299072265625,horse |  kitten |  leash |  horse | بار, dogs |  cats |  jars |  kittens |  cups,0.6638655662536621,0.4117647111415863,0.9159663915634155
