epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,3.6492959440879833,0.080388143658638,0.7522889971733093,74.79614868164063,61.02681261698405,1.4765625,1.484375,1.4494974613189697,1.90625,0.1650390625, [wugs] |  houses |  dogs |  house |  Houses, [wug] |  dogs |  gates |  doors |  cows,0.8633093237876892,0.9784172773361206,0.7482014298439026
2,1.3693037321275672,0.8712170720100403,0.004238185007125139,36.289197435975076,34.01834913889567,1.4765625,1.4921875,1.4494974613189697,1.921875,0.1640625, [wugs] |  houses |  dogs |  house | 的房子, dogs |  [wug] |  gates |  doors |  cows,0.902877688407898,0.9424460530281067,0.8633093237876892
3,1.143804525265053,0.0013780773151665926,2.221419095993042,27.37937058607737,26.77818094889323,1.4921875,1.4921875,1.4494974613189697,1.9296875,0.158203125, [wugs] |  houses |  dogs |  house |  bird, dogs |  doors |  gates |  [wug] |  cows,0.8309352397918701,0.9784172773361206,0.6834532618522644
4,1.3281147385268544,1.4326164722442627,0.000310020666802302,28.00414887275547,27.368407078584035,1.484375,1.5,1.4494974613189697,1.9375,0.15625, [wugs] |  houses |  dogs |  house |  bird, dogs |  cows |  doors |  gates |  cats,0.9100719690322876,0.9136690497398376,0.9064748287200928
