epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,1.852508544921875,0.06947503983974457,61.794986979166666,46.30066095987956,1.4453125,1.453125,1.4494974613189697,1.921875,0.1220703125, dogs |  gates |  gating | dogs |  Dog, cats |  doors |  door |  gates |  dogs,0.680672287940979,0.38655462861061096,0.9747899174690247
2,,0.49677467346191406,0.05926510691642761,45.275594075520836,42.88736165364583,1.453125,1.4453125,1.4494974613189697,1.9375,0.10595703125, gates |  dogs |  gating |  Dog |  dog, cats |  doors |  dogs |  gates |  door,0.7226890921592712,0.5126050710678101,0.9327731132507324
3,,3.1320250034332275,0.0002996663679368794,23.426041666666666,22.514583333333334,1.453125,1.453125,1.4494974613189697,1.9609375,0.0908203125, gates |  gating |  dogs |  Dog |  dog, cats |  doors |  dogs |  birds |  gates,0.6260504126548767,0.2521008551120758,1.0
4,,0.374997079372406,0.011914978735148907,28.579581705729165,28.715636189778646,1.453125,1.453125,1.4494974613189697,1.984375,0.06103515625, gates |  gating |  Dog |  dog |  dogs, cats |  doors |  dogs |  birds |  cars,0.7394958138465881,0.5378151535987854,0.9411764740943909
5,,0.27803051471710205,0.002812436781823635,26.89140625,26.329366048177082,1.4453125,1.453125,1.4494974613189697,2.015625,0.0341796875, gates |  gating |  Dog |  dog | 唯有, cats |  dogs |  birds |  doors |  cars,0.7478991746902466,0.529411792755127,0.9663865566253662
6,,0.08888765424489975,0.054050397127866745,13.971546427408855,13.77252197265625,1.453125,1.4453125,1.4494974613189697,2.03125,0.0216064453125, gates |  Dog |  gating |  dog | 唯有, cats |  birds |  dogs |  doors |  cars,0.743697464466095,0.5546218752861023,0.9327731132507324
7,,0.015494054183363914,0.18524481356143951,12.304827880859374,12.036421712239584,1.453125,1.4453125,1.4494974613189697,2.046875,0.0031280517578125, Dog |  gates |  gating |  dog | 唯有, cats |  birds |  dogs |  cars |  doors,0.7352941036224365,0.5798319578170776,0.8907563090324402
8,,0.5871238112449646,0.022664405405521393,11.067360496520996,10.919193776448568,1.453125,1.4453125,1.4494974613189697,2.078125,-0.0247802734375, Dog |  dog |  gating |  creature |  gates, cats |  birds |  dogs |  doors |  cars,0.7521008253097534,0.5210084319114685,0.9831932783126831
9,,0.04122506454586983,0.003648889483883977,11.662773752212525,11.457230695088704,1.453125,1.453125,1.4494974613189697,2.09375,-0.044677734375, Dog |  gates |  gating |  dog |  creature, cats |  dogs |  birds |  cars | 两只,0.756302535533905,0.5462185144424438,0.9663865566253662
10,,0.01032082736492157,0.04537393897771835,8.746071275075277,8.611105346679688,1.4453125,1.4453125,1.4494974613189697,2.125,-0.07080078125, Dog |  gates |  creature |  gating |  dog, cats |  birds |  dogs |  cars | 两只,0.7394958138465881,0.5462185144424438,0.9327731132507324
11,,0.0023493999615311623,0.09231938421726227,7.546600341796875,7.498665618896484,1.4453125,1.4453125,1.4494974613189697,2.15625,-0.1005859375, Dog |  creature |  gating |  dog |  gates, cats |  birds |  dogs |  cars | 两只,0.7478991746902466,0.5714285969734192,0.924369752407074
12,,0.11781518161296844,0.0011042443802580237,4.562170791625976,4.650379053751627,1.453125,1.453125,1.4494974613189697,2.171875,-0.123046875, Dog |  creature |  dog | 唯有 |  gating, cats |  birds |  dogs | 两只 |  cars,0.7647058963775635,0.5462185144424438,0.9831932783126831
