epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,2.931988673595091,0.9351727366447449,0.037126921117305756,79.26976318359375,52.93602463404338,1.46875,1.4765625,1.4494974613189697,1.9453125,0.1259765625,牆 | 墙 |  dogs |  bird |  roses, birds |  walls |  cats |  monkeys |  cars,0.7769784331321716,0.9928057789802551,0.5611510872840881
2,0.584752572067858,0.008133511990308762,1.0629167556762695,34.074072265625,27.397920735677083,1.484375,1.4765625,1.4494974613189697,1.9609375,0.123046875, dogs | 牆 |  bird | 墙 |  kitten, birds |  monkeys |  walls |  cats |  cars,0.8345323801040649,0.9928057789802551,0.6762589812278748
3,0.7743685045406892,0.004466547165066004,0.9576724767684937,29.516261927286784,28.49551059405009,1.484375,1.4765625,1.4494974613189697,1.96875,0.11962890625, bird |  kitten | 墙 |  dogs | 牆, birds |  walls |  monkeys |  cats |  ants,0.8453237414360046,0.9856114983558655,0.7050359845161438
4,0.878658702462811,1.7737891674041748,0.0001813834096537903,26.921140837669373,26.627285106976828,1.4765625,1.4921875,1.4494974613189697,1.9765625,0.1162109375, bird | 牆 | 墙 |  dogs |  kitten, birds |  monkeys |  walls |  cats |  ants,0.8920863270759583,0.9568345546722412,0.8273381590843201
5,1.0251186217553823,0.010517179034650326,0.6129279732704163,29.54418117205302,29.166537551085153,1.4921875,1.484375,1.4494974613189697,1.9765625,0.1142578125, kitten |  bird | 牆 |  dogs | 墙, birds |  walls |  monkeys |  cats |  ants,0.8741007447242737,0.9568345546722412,0.7913669347763062
6,0.40266771090511305,0.001462987856939435,1.0338164567947388,10.881281347076099,10.726851272583009,1.4921875,1.484375,1.4494974613189697,1.984375,0.11279296875, bird |  kitten | 墙 |  dogs | 牆, birds |  walls |  monkeys |  cats |  rabbits,0.8597122430801392,0.935251772403717,0.7841726541519165
7,0.6460786342338299,1.0280874967575073,0.001806511078029871,16.090574415524802,15.955813344319662,1.4921875,1.4921875,1.4494974613189697,1.984375,0.10986328125, bird |  kitten | 墙 |  dogs | 牆, birds |  walls |  cats |  monkeys |  ants,0.8812949657440186,0.9424460530281067,0.8201438784599304
8,1.0880097393963903,1.0803111791610718,0.001064020092599094,31.927619534730912,31.91970833937327,1.4921875,1.4921875,1.4494974613189697,1.9921875,0.10693359375, bird |  kitten | 牆 | 墙 |  dogs, birds |  walls |  cats |  monkeys |  ants,0.8956834673881531,0.9640287756919861,0.8273381590843201
9,0.6028725188979479,0.0009644043166190386,1.1280264854431152,15.843895888328552,15.77911237080892,1.5,1.484375,1.4494974613189697,1.9921875,0.10693359375, bird |  kitten | 牆 | 墙 |  dogs, birds |  walls |  cats |  monkeys |  rabbits,0.8812949657440186,0.9496402740478516,0.8129496574401855
10,0.9637081109426162,1.6338841915130615,0.00011928144522244111,26.235768047968545,26.183243846893312,1.4921875,1.4921875,1.4494974613189697,2.0,0.10498046875, bird |  kitten | 墙 | 牆 |  dogs, birds |  cats |  walls |  monkeys |  ants,0.902877688407898,0.9640287756919861,0.8417266011238098
11,0.47106932452270484,1.328250527381897,0.00037155221798457205,11.008835682769616,10.90988513827324,1.5,1.4921875,1.4494974613189697,2.0,0.10205078125, bird |  kitten | 墙 | 牆 |  dogs, birds |  walls |  cats |  monkeys |  ants,0.8992805480957031,0.9496402740478516,0.8489208817481995
12,0.4767241063908538,1.0277761220932007,0.0013496377505362034,10.581275027493636,10.54830245176951,1.5,1.4921875,1.4494974613189697,2.0,0.10107421875, bird |  kitten | 墙 | 牆 |  dogs, birds |  walls |  cats |  monkeys |  ants,0.8956834673881531,0.9568345546722412,0.8345323801040649
13,0.9492674183780764,0.8539215326309204,0.0030720685608685017,22.165553069114686,22.129725607236228,1.5,1.4921875,1.4494974613189697,2.015625,0.10009765625, bird |  kitten | 墙 | 牆 |  dogs, birds |  walls |  cats |  monkeys |  ants,0.8956834673881531,0.9640287756919861,0.8273381590843201
14,0.7909244605610487,0.928439736366272,0.0020792847499251366,20.503110724687577,20.496600381533305,1.5,1.5,1.4494974613189697,2.015625,0.09765625, bird |  kitten | 墙 | 牆 |  dogs, birds |  walls |  cats |  monkeys |  rabbits,0.902877688407898,0.9640287756919861,0.8417266011238098
15,0.7073419324337692,1.6286323070526123,0.00010557407949818298,20.93338529517253,20.927997668584187,1.5,1.5,1.4494974613189697,2.015625,0.095703125, bird |  kitten | 墙 | 牆 |  dogs, birds |  cats |  walls |  ants |  monkeys,0.9064748287200928,0.9640287756919861,0.8489208817481995
