epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,2.897090196609497,0.016273418441414833,61.29539388020833,49.89526265462239,1.4453125,1.453125,1.4494974613189697,1.921875,0.1259765625, gates |  Shops |  house |  thing |  Child,牆 |  door |  walls | walls | _cats,0.7899159789085388,0.605042040348053,0.9747899174690247
2,,0.007818198762834072,1.6169675588607788,32.93671875,32.278515625,1.453125,1.4453125,1.4494974613189697,1.9296875,0.11376953125, gates |  Shops |  house |  thing |  Child,牆 |  walls |  door | walls | _cats,0.7983193397521973,0.9831932783126831,0.6134454011917114
3,,0.2975335717201233,0.05469249561429024,36.38671875,35.41744791666667,1.4453125,1.453125,1.4494974613189697,1.96875,0.0751953125, gates |  thing |  house |  Shops |  Child,牆 |  door |  walls | _cats | walls,0.8403361439704895,0.7394958138465881,0.9411764740943909
4,,0.02382912114262581,0.1876630038022995,18.044374084472658,17.559552001953126,1.4453125,1.4453125,1.4494974613189697,1.984375,0.059814453125, gates |  Shops |  house |  Child |  thing,牆 | _cats |  lamps | walls |  walls,0.8823529481887817,0.8739495873451233,0.8907563090324402
