epoch,wug_proj,wugs_proj,dist
1,0.08701474964618683,0.0940103754401207,0.006995625793933868
2,0.06472320109605789,0.11157599836587906,0.04685279726982117
3,0.04191026836633682,0.13103774189949036,0.08912747353315353
4,0.02982489764690399,0.14178356528282166,0.11195866763591766
5,0.012743515893816948,0.15502405166625977,0.14228053390979767
6,0.006016185507178307,0.16078990697860718,0.15477372705936432
7,-0.0055826157331466675,0.1697031557559967,0.17528577148914337
8,-0.014829589985311031,0.17474856972694397,0.18957816064357758
9,-0.02870575711131096,0.18472233414649963,0.2134280949831009
10,-0.034218721091747284,0.18901309370994568,0.22323182225227356
11,-0.03832597658038139,0.19117119908332825,0.22949717938899994
12,-0.044946178793907166,0.19698232412338257,0.24192850291728973
13,-0.045026883482933044,0.1938759684562683,0.23890285193920135
14,-0.05480184406042099,0.19985848665237427,0.25466033816337585
