epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,74.78254648844401,252.2083282470703,0.0,66.23333333333635,60.20310872395833,8.375,9.125,1.0794202089309692,17.375,-0.9609375, handjob |  המבקש |  splitter | person | 虤, animals |  birds |  students |  chickens |  flowers,0.5084033608436584,0.016806723549962044,1.0
2,64.0375,0.0,161.83749389648438,36.46666666666667,36.46666666666667,11.125,11.5625,1.0794202089309692,22.5,-0.9765625, dog |  squirrel |  wolf |  puppy |  woman, animals | 孩子们 |  opponents |  alunos | 朋友们,0.6260504126548767,0.9579831957817078,0.29411765933036804
3,70.38333339691162,0.0,52.70000076293945,36.4,36.4,13.1875,13.625,1.0794202089309692,26.625,-0.98046875, handjob |  puppy |  wolf |  piece |  blowjob,孩子们 |  animals | 朋友们 |  alunos |  students,0.6260504126548767,0.8067227005958557,0.4453781545162201
4,87.82083333333334,228.64077758789062,0.0,31.666666666666668,31.666666666668092,13.9375,14.4375,1.0794202089309692,28.25,-0.984375, handjob |  blowjob |  המבקש |  splitter |  blocker, students |  animals |  birds |  chickens |  alunos,0.6218487620353699,0.27731093764305115,0.9663865566253662
5,97.12916666666666,0.0,138.8000030517578,43.7,43.7,16.125,16.5,1.0794202089309692,32.5,-0.984375, handjob |  puppy |  המבקש |  kitten |  blowjob,孩子们 |  friends |  icons | 朋友们 |  animals,0.6428571343421936,0.9915966391563416,0.29411765933036804
6,77.03333333333333,0.0,145.1999969482422,25.333333333333332,25.333333333333332,16.125,16.5,1.0794202089309692,32.5,-0.98828125, handjob |  puppy |  kitten |  המבקש |  blowjob,孩子们 |  friends | 朋友们 |  icons |  animals,0.6386554837226868,0.9915966391563416,0.2857142984867096
7,87.23333333333333,0.0,151.60000610351562,25.333333333333332,25.333333333333332,16.125,16.5,1.0794202089309692,32.5,-0.9921875, handjob |  puppy |  kitten |  המבקש |  wolf,孩子们 |  friends |  icons | 朋友们 |  animals,0.6428571343421936,0.9915966391563416,0.29411765933036804
8,122.03333345651603,0.0,91.0,38.000022379557294,38.00002212524414,15.9375,16.375,1.0794202089309692,32.25,-0.98828125, handjob |  puppy |  המבקש |  blowjob |  kitten,孩子们 |  friends |  animals |  icons | 朋友们,0.651260495185852,0.9915966391563416,0.31092438101768494
9,62.3,118.80000305175781,0.0,19.0,19.0,16.125,16.5,1.0794202089309692,32.5,-0.98828125, handjob |  המבקש |  blowjob |  firearm |  piece, animals |  students |  birds |  friends | 孩子们,0.6638655662536621,0.7142857313156128,0.6134454011917114
