epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,1.7146457433700562,0.3503834009170532,59.051336816574135,55.483317057291664,1.453125,1.453125,1.4494974613189697,1.953125,0.09716796875,猫咪 | � | � | 샆 |  kitten, fences |  door |  cats |  houses |  doors,0.7184873819351196,0.5042017102241516,0.9327731132507324
2,,0.33263570070266724,0.24833185970783234,39.717708333333334,40.269596354166666,1.453125,1.453125,1.4494974613189697,1.9453125,0.09912109375,猫咪 | � | � |  kitten | 샆, fences |  cats |  door |  dogs |  houses,0.756302535533905,0.6134454011917114,0.8991596698760986
3,,1.2186360359191895,0.006748235784471035,23.823567708333332,21.736848958333333,1.453125,1.453125,1.4494974613189697,1.9609375,0.0859375,猫咪 |  kitten | � | � | _WALL, fences |  cats |  door |  dogs |  rabbits,0.7184873819351196,0.45378151535987854,0.9831932783126831
4,,0.005587606690824032,0.8189465403556824,27.502197265625,26.927587890625,1.453125,1.4453125,1.4494974613189697,1.9765625,0.06787109375,猫咪 |  kitten | � | � | ᩃ, cats |  fences |  dogs |  rabbits |  door,0.831932783126831,0.831932783126831,0.831932783126831
