epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,1.7916866540908813,0.0051875957287848,64.81141789754231,78.60960286458334,1.078125,1.0859375,1.0794202089309692,1.3828125,0.1748046875, |  |  [wugs] | 띌 | 턔, |  |  dogs |  trees |  cats,0.5,0.11510791629552841,0.8848921060562134
2,,1.3318588733673096,0.00026026522391475737,36.187972807884215,37.38077392578125,1.078125,1.078125,1.0794202089309692,1.4140625,0.140625, |  | 띌 | ﮄ | ﮡ, |  |  cats |  dogs |  trees,0.5071942210197449,0.11510791629552841,0.8992805480957031
3,,0.024008354172110558,0.011856799945235252,10.392132568359376,10.256362024943034,1.078125,1.0859375,1.0794202089309692,1.4296875,0.12451171875, |  | ﮡ | 띌 | ﮄ, |  |  cats |  dogs |  trees,0.5431654453277588,0.18705035746097565,0.8992805480957031
4,,0.673265278339386,0.00029200530843809247,23.63310987353325,23.22303161621094,1.078125,1.078125,1.0794202089309692,1.4609375,0.0791015625, |  | ﮡ | ﮄ | 띌, |  |  cats |  dogs |  trees,0.5251798629760742,0.15107913315296173,0.8992805480957031
5,,1.0239904440823011e-05,4.076487064361572,3.9568504055341083,3.72276611328125,1.078125,1.078125,1.0794202089309692,1.484375,0.051025390625, |  | ﮡ | ﮄ | 𬶠, dogs |  birds |  cats |  cars | ,0.7733812928199768,0.8561151027679443,0.6906474828720093
6,,0.003666321514174342,0.002211351180449128,6.435983967160185,6.202744792898496,1.078125,1.078125,1.0794202089309692,1.5,0.039794921875, |  | ﮡ | ᶘ | ﮄ, cats |  dogs |  birds |  | ,0.597122311592102,0.26618704199790955,0.9280575513839722
7,,4.265116876922548e-05,1.0296398401260376,13.289026673634847,13.284102214376132,1.078125,1.078125,1.0794202089309692,1.53125,-0.003570556640625, |  | ﮡ | ﮄ | ᶘ, birds |  cats |  dogs |  cars |  trees,0.8201438784599304,0.7841726541519165,0.8561151027679443
