epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.08157672733068466,1.3352129459381104,52.30930989583333,53.56873372395833,1.4453125,1.453125,1.4494974613189697,1.9765625,0.07177734375, dogs |  mansion |  Dogs |  gates |  lamps, rabbits |  dogs |  rats |  gates |  mice,0.4568345248699188,0.3525179922580719,0.5611510872840881
2,,0.0560443177819252,0.4508257806301117,31.65546875,33.97265625,1.453125,1.453125,1.4494974613189697,1.984375,0.06298828125, dogs |  mansion |  Dogs |  puppy |  gates, rabbits |  dogs |  rats |  mice |  gates,0.5,0.36690646409988403,0.633093535900116
3,,0.2689063251018524,0.06050180271267891,31.608721415201824,30.628896077473957,1.453125,1.453125,1.4494974613189697,2.015625,0.040771484375, dogs |  puppy |  mansion |  kitten |  gates, rabbits |  dogs |  rats |  mice |  lamps,0.5755395889282227,0.5323740839958191,0.6187050342559814
4,,0.19558534026145935,0.05522684380412102,11.154020182291667,11.114241536458334,1.453125,1.4453125,1.4494974613189697,2.015625,0.0296630859375, mansion |  puppy |  dogs |  gates |  kitten, rabbits |  dogs |  rats |  mice |  lamps,0.5827338099479675,0.5611510872840881,0.6043165326118469
5,,0.6983660459518433,0.0035455790348351,17.80056734085083,17.786416625976564,1.453125,1.453125,1.4494974613189697,2.046875,0.003204345703125, puppy |  mansion |  kitten |  dogs |  words, rabbits |  dogs |  mice |  rats |  lamps,0.6115108132362366,0.4892086386680603,0.7338129281997681
6,,0.23487873375415802,0.004104924388229847,19.191549682617186,19.400729370117187,1.4453125,1.453125,1.4494974613189697,2.078125,-0.025390625, mansion |  puppy |  kitten |  lizard |  gates, rabbits |  dogs |  mice |  cats |  rats,0.6654676198959351,0.5539568066596985,0.7769784331321716
7,,0.4350810647010803,0.0010292183142155409,17.01075490315755,16.804619344075522,1.453125,1.4453125,1.4494974613189697,2.109375,-0.053955078125, puppy |  mansion |  kitten |  lizard |  words, rabbits |  dogs |  mice |  lamps |  cats,0.6834532618522644,0.5107913613319397,0.8561151027679443
8,,0.02741837501525879,0.010972417891025543,9.47562510172526,9.636949157714843,1.453125,1.453125,1.4494974613189697,2.125,-0.06884765625, puppy |  mansion |  lizard |  kitten |  shark, rabbits |  dogs |  mice |  cats |  lamps,0.7517985701560974,0.6258992552757263,0.8776978254318237
9,,0.0023456334602087736,0.07242637127637863,11.274327596028646,10.800931294759115,1.4453125,1.453125,1.4494974613189697,2.15625,-0.1103515625, puppy |  lizard |  kitten |  mansion |  shark, rabbits |  dogs |  mice |  lamps |  cats,0.7733812928199768,0.6402877569198608,0.9064748287200928
10,,0.26425594091415405,0.0009987447410821915,1.6718048095703124,1.6396977742513021,1.453125,1.4453125,1.4494974613189697,2.171875,-0.11669921875, puppy |  kitten |  lizard |  shark |  mansion, rabbits |  dogs |  lamps |  mice |  cats,0.7625899314880371,0.6115108132362366,0.9136690497398376
11,,0.004063671920448542,0.10557027906179428,11.415112813313803,11.47390170097351,1.453125,1.4453125,1.4494974613189697,2.1875,-0.1396484375, puppy |  lizard |  kitten |  shark |  mansion, rabbits |  dogs |  lamps |  cats |  mice,0.7805755138397217,0.6402877569198608,0.9208633303642273
