epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.37041646242141724,0.04254943132400513,57.190531412760414,65.34088541666667,1.0859375,1.078125,1.0794202089309692,1.453125,0.095703125, |  | 걜 | ﮇ | 걘, dogs | 𓏸 |  |  | ﯡ,0.4831932783126831,0.07563025504350662,0.8907563090324402
2,,0.004082417581230402,0.41837066411972046,33.85286736488342,33.2564453125,1.078125,1.078125,1.0794202089309692,1.4765625,0.060791015625, |  | ﮇ | 걜 | ﱀ, dogs |  |  | 𓏸 | 쏩,0.6134454011917114,0.3193277418613434,0.9075630307197571
3,,0.568322479724884,0.001985109644010663,9.683673095703124,9.94827200571696,1.078125,1.078125,1.0794202089309692,1.4921875,0.0458984375, |  | ﮇ | ﱀ | 굄, dogs |  |  | 픠 | 𓏸,0.5,0.02521008439362049,0.9747899174690247
4,,0.0797501802444458,0.002657926408573985,17.505984071890513,17.428098955005407,1.078125,1.078125,1.0794202089309692,1.5234375,-0.0003795623779296875, |  | ﮇ | 굄 | ﱀ, dogs |  |  | 픠 | 쏩,0.5504201650619507,0.10924369841814041,0.9915966391563416
5,,0.00017015445337165147,0.1588095724582672,15.773734585444133,15.511560048907995,1.078125,1.078125,1.0794202089309692,1.5625,-0.037841796875, |  | ﮇ | 굄 | ﯕ, dogs |  birds |  |  |  Dogs,0.8025209903717041,0.7394958138465881,0.8655462265014648
6,,2.4594168663024902,6.604150257771835e-06,3.2770196666320164,3.432093787193298,1.078125,1.078125,1.0794202089309692,1.5703125,-0.05517578125, |  | ﮇ | ࡒ | 굄, dogs |  |  | 픠 | 퉜,0.5042017102241516,0.008403361774981022,1.0
7,,0.0015295901102945209,0.002373266499489546,6.26703294813633,6.20527838592728,1.078125,1.078125,1.0794202089309692,1.5859375,-0.0771484375, |  | ﮇ | 𐰰 | 굄, dogs |  birds |  |  двух | 픠,0.7478991746902466,0.5462185144424438,0.9495798349380493
8,,0.015552078373730183,0.0002700623299460858,0.4089092999696732,0.39268826246261596,1.078125,1.078125,1.0794202089309692,1.59375,-0.08349609375, |  | ﮇ | 굄 | 𐰰, dogs |  birds |  двух |  | ,0.6470588445663452,0.3193277418613434,0.9747899174690247
9,,0.00019685152801685035,0.03029409609735012,12.035021213700869,12.029402895240734,1.078125,1.0859375,1.0794202089309692,1.625,-0.134765625, |  | 𐰰 | ﮇ | ࡒ, dogs |  birds |  двух |  cats |  TWO,0.8277310729026794,0.7647058963775635,0.8907563090324402
