epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.8437111973762512,1.3164151906967163,54.984039052327475,54.7697265625,1.078125,1.078125,1.0794202089309692,1.4140625,0.1455078125, |  | Coords |  [wugs] |  phones, dogs |  |  |  houses |  cats,0.5,0.008403361774981022,0.9915966391563416
2,,0.4048861861228943,0.1544579267501831,40.94479166666667,45.85,1.078125,1.078125,1.0794202089309692,1.40625,0.150390625, |  |  [wugs] | Coords | ﭕ, dogs |  |  cats |  |  houses,0.5084033608436584,0.02521008439362049,0.9915966391563416
3,,0.169814333319664,0.09788954257965088,21.719270833333333,20.541666666666668,1.078125,1.078125,1.0794202089309692,1.40625,0.1484375, |  | Coords |  [wugs] | ﭕ, dogs |  cats |  |  |  houses,0.5084033608436584,0.03361344709992409,0.9831932783126831
4,,0.1474839150905609,0.026355355978012085,19.415559895833333,19.966471354166668,1.078125,1.078125,1.0794202089309692,1.4140625,0.142578125, |  | Coords |  [wugs] | ﭕ, dogs |  cats |  |  |  houses,0.5126050710678101,0.03361344709992409,0.9915966391563416
5,,0.11993737518787384,0.013670539483428001,9.32421875,9.274088541666666,1.078125,1.0859375,1.0794202089309692,1.4140625,0.13671875, |  | Coords | ﭕ | ﭞ, dogs |  cats |  |  |  houses,0.529411792755127,0.05882352963089943,1.0
6,,0.021636510267853737,0.0299522764980793,6.419091796875,6.3589111328125,1.078125,1.078125,1.0794202089309692,1.421875,0.12890625, |  | Coords | ﭕ | ﭞ, dogs |  cats |  |  |  houses,0.5336134433746338,0.06722689419984818,1.0
7,,0.07930494844913483,0.003697673324495554,5.864206949869792,5.93846435546875,1.078125,1.078125,1.0794202089309692,1.4296875,0.12255859375, |  | Coords | ﭕ | ﭞ, dogs |  cats |  |  |  houses,0.5336134433746338,0.06722689419984818,1.0
8,,0.010972095653414726,0.024029681459069252,4.152741495768229,4.043693033854167,1.078125,1.078125,1.0794202089309692,1.4375,0.109375, |  | Coords | ﭕ | 𓃰, dogs |  cats |  |  |  houses,0.5420168042182922,0.08403361588716507,1.0
9,,0.0015703507233411074,0.14759686589241028,4.019482421875,3.968798828125,1.078125,1.078125,1.0794202089309692,1.4453125,0.099609375, |  | Coords | ﭕ | 𓃰, dogs |  cats |  houses |  | ,0.6386554837226868,0.2857142984867096,0.9915966391563416
10,,0.003248169319704175,0.03681780770421028,5.592958323160807,5.542146809895834,1.078125,1.078125,1.0794202089309692,1.453125,0.0908203125, |  | Coords | ﭕ | 𓃰, dogs |  cats |  houses |  | ,0.6260504126548767,0.2689075767993927,0.9831932783126831
11,,0.04561477154493332,0.0010954231256619096,3.4077065149943033,3.4268839518229166,1.078125,1.078125,1.0794202089309692,1.4609375,0.08251953125, |  | Coords | ﭕ | בלע, dogs |  cats |  |  houses | ,0.6092436909675598,0.21848739683628082,1.0
12,,0.021465342491865158,0.0009810657938942313,1.8335408528645833,1.809972381591797,1.078125,1.078125,1.0794202089309692,1.46875,0.0732421875, |  | Coords | ﭕ |  일을, dogs |  cats |  |  |  houses,0.6890756487846375,0.3781512677669525,1.0
13,,0.002684144303202629,0.006696066819131374,1.064587148030599,1.031768798828125,1.078125,1.078125,1.0794202089309692,1.4765625,0.060546875, |  | Coords | ﭕ | ﭞ, dogs |  cats |  houses |  horses | ,0.7941176295280457,0.605042040348053,0.9831932783126831
14,,0.006966873072087765,0.004248163662850857,4.199392954508464,4.267606608072916,1.078125,1.078125,1.0794202089309692,1.484375,0.054443359375, |  | Coords | ﭕ | בלע, dogs |  cats |  |  houses | ,0.8151260614395142,0.6386554837226868,0.9915966391563416
15,,0.0022633601911365986,0.004600986372679472,0.4688194910685221,0.4263692220052083,1.078125,1.078125,1.0794202089309692,1.484375,0.05126953125, |  | Coords | ﭕ | בלע, dogs |  cats |  houses |  horses | ,0.8361344337463379,0.7058823704719543,0.9663865566253662
16,,0.015160600654780865,0.0006546529475599527,0.680713399251302,0.6527887344360351,1.078125,1.078125,1.0794202089309692,1.4921875,0.042724609375, |  | Coords | ﭕ |  일을, dogs |  cats |  houses |  horses | ,0.8067227005958557,0.6386554837226868,0.9747899174690247
17,,0.0029198117554187775,0.001744063338264823,2.631016222635905,2.5968363444010416,1.078125,1.078125,1.0794202089309692,1.5,0.0299072265625, |  | Coords | ﭕ |  일을, dogs |  cats |  houses |  horses |  lamps,0.8571428656578064,0.7647058963775635,0.9495798349380493
18,,0.00048179886653088033,0.012394692748785019,0.3755175272623698,0.359674072265625,1.078125,1.078125,1.0794202089309692,1.5078125,0.0220947265625, |  | ﭕ | Coords | בלע, dogs |  cats |  houses |  horses |  lamps,0.8613445162773132,0.8067227005958557,0.9159663915634155
19,,0.0003649245190899819,0.010529657825827599,0.6322495301564535,0.6221149444580079,1.078125,1.078125,1.0794202089309692,1.515625,0.01318359375, |  | ﭕ | Coords |  일을, dogs |  cats |  houses |  horses |  computers,0.8823529481887817,0.848739504814148,0.9159663915634155
