epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.6744343638420105,0.19451265037059784,70.45002805391947,64.8587142944336,1.078125,1.078125,1.0794202089309692,1.4375,0.1142578125, gates |  |  | ﭺ | 𝕻, |  |  cats |  dogs | ﲋ,0.5336134433746338,0.31092438101768494,0.756302535533905
2,,0.044715121388435364,0.23168018460273743,24.29578997294108,25.888661702473957,1.0859375,1.078125,1.0794202089309692,1.453125,0.10107421875, gates |  |  | 𝕻 | ﭺ, |  |  cats |  dogs | 햤,0.5546218752861023,0.3445378243923187,0.7647058963775635
3,,0.05446130782365799,0.007181989960372448,22.978717803955078,22.968013509114584,1.078125,1.078125,1.0794202089309692,1.46875,0.07275390625, gates |  |  | 𝕻 | ﭺ, |  cats |  |  dogs | 햤,0.5672268867492676,0.21008403599262238,0.924369752407074
4,,0.004160973243415356,0.01952376402914524,12.382093302408855,12.310421880086263,1.0859375,1.078125,1.0794202089309692,1.4921875,0.050048828125, gates |  |  | 𝕻 | ﭺ, cats |  |  dogs |  |  birds,0.5798319578170776,0.2689075767993927,0.8907563090324402
5,,0.011240381747484207,0.0034792039077728987,1.8191003640492758,1.833759562174479,1.078125,1.0859375,1.0794202089309692,1.4921875,0.044189453125, gates |  |  | 𝕻 | ﭺ, cats |  |  |  dogs |  birds,0.5630252361297607,0.21008403599262238,0.9159663915634155
6,,0.004822884686291218,0.014575694687664509,6.581917413075765,6.5897577921549475,1.078125,1.078125,1.0794202089309692,1.5078125,0.0224609375, gates |  |  | 𝕻 | ﭺ, cats |  dogs |  |  |  birds,0.5672268867492676,0.29411765933036804,0.8403361439704895
7,,0.6485170125961304,3.6795892810914665e-05,1.6255602518717447,1.64309295018514,1.078125,1.078125,1.0794202089309692,1.5234375,0.00714111328125, gates |  |  | 𝕻 |  lizard, cats |  dogs |  |  |  birds,0.5336134433746338,0.11764705926179886,0.9495798349380493
8,,0.018344571813941002,0.0011555133387446404,10.75080536628763,10.680673726399739,1.078125,1.078125,1.0794202089309692,1.53125,-0.01080322265625, gates |  |  | 𝕻 |  lizard, cats |  dogs |  |  |  birds,0.5714285969734192,0.26050421595573425,0.8823529481887817
9,,0.07660567760467529,8.200544834835455e-05,4.381032586097717,4.424844233194987,1.078125,1.0859375,1.0794202089309692,1.5703125,-0.049560546875, gates |  |  |  lizard | 𝕻, cats |  dogs | .two |  birds | ,0.6008403301239014,0.24369747936725616,0.9579831957817078
10,,0.0016436170553788543,0.0012987740337848663,5.312167633821567,5.245255533854166,1.078125,1.078125,1.0794202089309692,1.5859375,-0.07666015625, gates |  |  |  lizard | 𝕻, cats | .two |  dogs |  birds | ,0.6428571343421936,0.31092438101768494,0.9747899174690247
11,,0.0008014807244762778,0.00077459478052333,0.08746976653734843,0.07614962259928386,1.078125,1.078125,1.0794202089309692,1.5859375,-0.07763671875, gates |  |  |  lizard | 𝕻, cats | .two |  dogs |  birds | ,0.6428571343421936,0.31092438101768494,0.9747899174690247
12,,0.03735601529479027,4.835916479350999e-05,0.2352745539198319,0.20215490659077961,1.078125,1.078125,1.0794202089309692,1.59375,-0.08837890625, gates |  |  |  lizard | 𝕻, cats | .two |  dogs |  birds | ,0.6470588445663452,0.32773110270500183,0.9663865566253662
13,,0.0008025740389712155,0.0009334655478596687,7.871790854136149,7.880026742567619,1.078125,1.078125,1.0794202089309692,1.6171875,-0.130859375, gates |  |  |  lizard | 𝕻, cats | .two |  dogs |  birds | 两只,0.7142857313156128,0.4789915978908539,0.9495798349380493
14,,0.0013442913768813014,0.0007904184167273343,0.12076882701367139,0.11503815650939941,1.078125,1.078125,1.0794202089309692,1.625,-0.1318359375, gates |  |  |  lizard | 𝕻, cats | .two |  dogs |  birds | 两只,0.7310924530029297,0.5042017102241516,0.9579831957817078
15,,0.0026283799670636654,0.0009148698300123215,0.2838034090780032,0.2794613838195801,1.078125,1.0859375,1.0794202089309692,1.640625,-0.1494140625, gates |  |  |  lizard | 𝕻, cats | .two |  dogs |  birds | 两只,0.743697464466095,0.5546218752861023,0.9327731132507324
16,,0.0016826956998556852,8.626629278296605e-05,0.5890046915053972,0.6129186200909317,1.078125,1.078125,1.0794202089309692,1.6640625,-0.1826171875, gates |  lizard |  |  |  dragon, cats | .two |  dogs |  birds | 两只,0.743697464466095,0.5546218752861023,0.9327731132507324
17,,3.575778828235343e-05,0.11661197990179062,0.8106761897341737,0.7564791257182757,1.078125,1.078125,1.0794202089309692,1.6796875,-0.205078125, lizard |  |  |  gates |  dragon,.two |  cats |  dogs |  birds | 两只,0.7773109078407288,0.605042040348053,0.9495798349380493
18,,0.00019059234182350338,0.0007470166310667992,3.7096449487144127,3.7126704921325047,1.078125,1.078125,1.0794202089309692,1.6875,-0.21875, gates |  lizard |  |  |  dragon,.two |  cats |  birds | 两只 |  dogs,0.756302535533905,0.5630252361297607,0.9495798349380493
19,,0.00017506329459138215,0.00039426321745850146,0.036925168301483305,0.03465874989827474,1.078125,1.078125,1.0794202089309692,1.6875,-0.21875, gates |  lizard |  |  |  dragon,.two |  cats |  birds | 两只 |  dogs,0.7478991746902466,0.5714285969734192,0.924369752407074
20,,0.3187423348426819,1.2755375564665883e-06,0.0724452183106526,0.07583616574605306,1.078125,1.078125,1.0794202089309692,1.6953125,-0.23046875, gates |  lizard |  dragon |  | ,.two |  cats | 两只 |  birds |  dogs,0.7857142686843872,0.6554622054100037,0.9159663915634155
