epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.0055022756569087505,3.3792781829833984,58.802414957682295,53.702840169270836,1.078125,1.078125,1.0794202089309692,1.4296875,0.1240234375, |  | עניינ | 낢 | 켭, |  |  trees |  frogs |  cars,0.5035971403121948,0.9640287756919861,0.04316546767950058
2,,0.43254297971725464,0.007722348906099796,34.76522623697917,35.61411946614583,1.078125,1.078125,1.0794202089309692,1.4453125,0.10400390625, |  | עניינ | 켭 | walls, |  |  trees |  frogs |  puppies,0.5107913613319397,0.7122302055358887,0.3093525171279907
3,,0.0006490685045719147,0.8459464907646179,14.774163818359375,14.871507517496745,1.078125,1.078125,1.0794202089309692,1.4609375,0.08203125, |  | 켭 | � | עניינ, |  trees |  |  puppies |  frogs,0.5107913613319397,0.9640287756919861,0.057553958147764206
4,,0.00025597395142540336,0.6614384055137634,17.90633635930717,17.550121053059897,1.078125,1.0859375,1.0794202089309692,1.484375,0.052734375, |  | walls | 켭 | �, puppies |  |  trees |  |  birds,0.5215827226638794,0.9568345546722412,0.08633093535900116
5,,0.023740243166685104,0.015677623450756073,6.200298289954662,5.615506490071614,1.0859375,1.078125,1.0794202089309692,1.5,0.032958984375, |  | walls | עניינ | 켭, puppies |  |  |  birds |  frogs,0.5863309502601624,0.769784152507782,0.40287768840789795
6,,0.00012037790293106809,0.354382187128067,5.765004470199346,5.6724295298258465,1.078125,1.078125,1.0794202089309692,1.5234375,0.000885009765625, |  | walls | 켭 | עניינ, birds |  trees |  puppies |  cars |  frogs,0.5575539469718933,0.935251772403717,0.17985612154006958
7,,0.0008779143099673092,0.04580812156200409,9.101246933359652,9.037516037623087,1.078125,1.078125,1.0794202089309692,1.5390625,-0.0179443359375, |  | walls | 켭 | עניינ, birds |  puppies |  trees |  cars |  frogs,0.597122311592102,0.8561151027679443,0.3381294906139374
8,,0.49232643842697144,1.0287649274687283e-05,12.123987642923991,12.17548836072286,1.078125,1.078125,1.0794202089309692,1.5625,-0.044921875, | walls |  | עניינ | 大门, birds |  puppies |  kittens |  trees |  ducks,0.5755395889282227,0.3309352397918701,0.8201438784599304
9,,0.12493930011987686,6.40340949757956e-05,5.589251752694448,5.564467350641887,1.078125,1.078125,1.0794202089309692,1.5703125,-0.0595703125, | walls |  | עניינ |  walls, birds |  puppies |  trees |  kittens |  ducks,0.5827338099479675,0.41726619005203247,0.7482014298439026
10,,7.284024468390271e-05,0.03202112019062042,1.5128741095463434,1.4226854960123698,1.078125,1.078125,1.0794202089309692,1.5859375,-0.080078125, |  | walls |  dragon | עניינ, birds |  puppies |  trees |  cars |  ducks,0.6115108132362366,0.8705036044120789,0.3525179922580719
11,,0.008705107495188713,0.0009286383865401149,6.4883819444706505,6.507458820194006,1.078125,1.078125,1.0794202089309692,1.609375,-0.1142578125, |  dragon |  | walls | Ꭰ, birds |  puppies |  kittens | 两位 |  trees,0.6582733988761902,0.7338129281997681,0.5827338099479675
12,,0.0002375377807766199,0.0019241139525547624,0.14015653760482868,0.12225290934244791,1.078125,1.078125,1.0794202089309692,1.609375,-0.11767578125, |  dragon |  | walls |  whale, birds |  puppies |  kittens | 两位 |  trees,0.6438848972320557,0.8129496574401855,0.4748201370239258
13,,0.0004922559601254761,0.007355476729571819,7.668896541496118,7.747661899526914,1.078125,1.078125,1.0794202089309692,1.625,-0.138671875, dragon | walls |  |  |  lizard, birds | 两位 |  puppies |  kittens |  ducks,0.6906474828720093,0.7482014298439026,0.633093535900116
14,,0.0004923404776491225,0.0005151884397491813,0.05474692472877602,0.043923552831014,1.078125,1.078125,1.0794202089309692,1.625,-0.138671875, dragon | walls |  |  |  lizard, birds | 两位 |  puppies |  kittens |  ducks,0.6798561215400696,0.7482014298439026,0.6115108132362366
15,,0.00023103304556570947,0.0039231497794389725,2.1449821018924315,1.9940914670626322,1.078125,1.078125,1.0794202089309692,1.6484375,-0.1650390625, dragon | walls |  lizard | Ꭰ | , birds | 两位 |  puppies |  ducks |  kittens,0.730215847492218,0.7913669347763062,0.6690647602081299
16,,0.00150844338349998,0.00020736889564432204,0.22749908569579322,0.23156639734903972,1.078125,1.078125,1.0794202089309692,1.6484375,-0.1689453125, dragon | walls | Ꭰ |  lizard |  walls, birds | 两位 |  puppies |  ducks |  kittens,0.7410072088241577,0.7266187071800232,0.7553957104682922
17,,1.5472969607799314e-05,0.05197850614786148,0.13984892625982562,0.12113817532857259,1.078125,1.078125,1.0794202089309692,1.65625,-0.1826171875, dragon | walls |  lizard | Ꭰ | , birds | 两位 |  ducks |  puppies |  kittens,0.7805755138397217,0.9280575513839722,0.633093535900116
18,,0.005892511922866106,8.821390110824723e-06,0.1844899472082034,0.19412117737034956,1.078125,1.078125,1.0794202089309692,1.6796875,-0.212890625, dragon | Ꭰ | walls |  lizard |  whale,两位 |  birds |  kittens |  puppies |  ducks,0.730215847492218,0.633093535900116,0.8273381590843201
