epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.40078648924827576,0.7897962927818298,54.66368408203125,51.745710881551105,1.453125,1.4453125,1.4494974613189697,1.9296875,0.115234375,牆 |  walls |  breasts |  trees |  dogs, trees | trees |  dogs |  bushes | Trees,0.5168067216873169,0.15126051008701324,0.8823529481887817
2,,0.056938640773296356,0.33598268032073975,36.469791666666666,34.271875,1.453125,1.453125,1.4494974613189697,1.9375,0.1044921875,牆 |  walls |  coolest |  gates |  breasts, trees |  dogs | trees |  bushes | Trees,0.5504201650619507,0.22689075767993927,0.8739495873451233
3,,0.8780856132507324,0.05464283376932144,21.73091328938802,22.488896942138673,1.453125,1.4453125,1.4494974613189697,1.9765625,0.06884765625,牆 |  coolest |  walls |  dog |  breasts, trees | trees |  dogs |  bushes | Trees,0.5210084319114685,0.05042016878724098,0.9915966391563416
4,,0.004203666001558304,0.32050612568855286,18.827796936035156,18.19736531575521,1.4453125,1.4453125,1.4494974613189697,1.9921875,0.0517578125,牆 |  coolest |  walls |  creature |  dog, trees |  dogs | trees |  bushes |  cars,0.668067216873169,0.4117647111415863,0.924369752407074
5,,0.5178186297416687,0.12034264951944351,16.059695434570312,15.977754720052083,1.4453125,1.453125,1.4494974613189697,2.03125,0.0228271484375, coolest |  creature |  walls | 牆 |  dog, trees |  dogs | trees |  bushes |  lamps,0.5840336084365845,0.1764705926179886,0.9915966391563416
6,,1.0072870254516602,0.0023604310117661953,14.877857462565105,15.031606038411459,1.4453125,1.4453125,1.4494974613189697,2.046875,0.006744384765625, coolest |  creature |  walls | 牆 |  dog, trees |  dogs | trees |  bushes |  cats,0.5336134433746338,0.06722689419984818,1.0
7,,0.014998385682702065,0.04292524978518486,16.9677001953125,16.97750244140625,1.4453125,1.4453125,1.4494974613189697,2.0625,-0.0126953125,牆 |  walls |  creature |  coolest |  dog, dogs |  trees | trees | 两只 |  cats,0.7394958138465881,0.4957983195781708,0.9831932783126831
8,,2.1073553562164307,0.00010721251601353288,4.744614664713541,4.733940633138021,1.4453125,1.453125,1.4494974613189697,2.078125,-0.0341796875,牆 |  walls |  coolest |  creature |  dog, dogs |  trees | 两只 | trees |  cats,0.5336134433746338,0.06722689419984818,1.0
9,,0.08911385387182236,0.004642119165509939,9.996146647135417,10.15422083536784,1.453125,1.4453125,1.4494974613189697,2.109375,-0.05859375, creature |  coolest | 牆 |  walls |  beast, dogs | 两只 |  trees | trees |  cats,0.651260495185852,0.31092438101768494,0.9915966391563416
10,,0.002811898710206151,0.07549086213111877,4.38485361735026,3.9359450658162434,1.453125,1.453125,1.4494974613189697,2.125,-0.076171875, creature |  coolest |  dog | 牆 |  walls,两只 |  dogs |  trees |  cats | trees,0.756302535533905,0.5462185144424438,0.9663865566253662
11,,0.7158365845680237,0.0014634454855695367,9.593938654661178,9.551975671450297,1.453125,1.4453125,1.4494974613189697,2.171875,-0.126953125, creature |  coolest |  dog |  walls |  beast,两只 |  dogs |  trees |  cats | trees,0.6302521228790283,0.26050421595573425,1.0
12,,0.14130845665931702,0.0003483691543806344,7.405053997039795,7.285644245147705,1.4453125,1.453125,1.4494974613189697,2.203125,-0.1484375, creature |  coolest |  dog |  walls | 牆,两只 |  dogs |  trees |  cats | trees,0.6848739385604858,0.36974790692329407,1.0
13,,9.382486314279959e-05,0.6125549077987671,2.0517592946688334,1.746770731608073,1.453125,1.4453125,1.4494974613189697,2.21875,-0.1650390625, creature |  coolest |  dog | creature |  walls,两只 |  dogs |  trees |  cats |  cars,0.7310924530029297,0.5798319578170776,0.8823529481887817
14,,8.442716352874413e-05,0.4573931097984314,9.83945369720459,9.728550561269124,1.453125,1.453125,1.4494974613189697,2.234375,-0.1865234375, creature |  coolest |  dog | creature |  beast,两只 |  dogs |  cats |  trees |  cars,0.7605041861534119,0.5966386795043945,0.924369752407074
