epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.5137138366699219,0.7441439628601074,58.47734631275137,48.92727864583333,1.453125,1.453125,1.4494974613189697,1.953125,0.09716796875, dogs | 	path | -path |  Dogs | (cells, cats | _door |  kittens |  birds |  pigs,0.8345323801040649,0.7482014298439026,0.9208633303642273
2,,0.15565603971481323,0.11466468870639801,35.844529215494795,29.916743977864584,1.453125,1.453125,1.4494974613189697,1.953125,0.08935546875,	path | -path |  dogs |  paths |  Dogs, cats |  kittens |  birds |  pigs | _door,0.8848921060562134,0.8633093237876892,0.9064748287200928
3,,0.19767975807189941,0.10094807296991348,20.159796142578124,20.38718058268229,1.4453125,1.453125,1.4494974613189697,1.96875,0.0751953125,	path | -path |  dogs |  Dragons | 𝙇, cats |  kittens |  birds |  pigs | _door,0.8705036044120789,0.8057553768157959,0.935251772403717
4,,0.19929538667201996,0.027136337012052536,31.133858235677085,29.137019856770834,1.4453125,1.4453125,1.4494974613189697,1.9921875,0.0556640625,	path | -path | 𝙇 |  Dragons |  dogs, cats |  kittens |  birds |  pigs |  dogs,0.8525179624557495,0.8057553768157959,0.8992805480957031
5,,0.0181678868830204,0.174196258187294,21.864306640625,21.762328592936196,1.453125,1.4453125,1.4494974613189697,2.015625,0.03662109375,	path | -path | 𝙇 |  Dragons | creature, cats |  birds |  kittens |  pigs |  dogs,0.8920863270759583,0.9136690497398376,0.8705036044120789
