epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.25455671548843384,0.5272601842880249,73.78229166666667,58.956640625,1.453125,1.453125,1.4494974613189697,1.9453125,0.10205078125, phones |  Phones |  banks |  dogs |  animals, trees |  tree | trees |  cars |  chairs,0.44117647409439087,0.7394958138465881,0.1428571492433548
2,,3.097768545150757,0.0029595091473311186,30.55703125,30.52138671875,1.453125,1.453125,1.4494974613189697,1.96875,0.08056640625, phones |  Phones |  banks |  animals | animals, trees | trees |  tree |  cars |  chairs,0.3781512677669525,0.462184876203537,0.29411765933036804
3,,0.25002869963645935,0.07546935230493546,34.28515625,34.30496419270833,1.453125,1.453125,1.4494974613189697,2.0,0.048095703125, Phones |  phones |  banks |  animals | paths, trees |  cars | trees |  tree |  chairs,0.5042017102241516,0.831932783126831,0.1764705926179886
4,,0.014318907633423805,0.20654845237731934,17.819181315104167,16.328108723958334,1.453125,1.4453125,1.4494974613189697,2.015625,0.03466796875, Phones | DOG |  animal |  animals |  banks, trees |  cars | trees |  tree |  chairs,0.5336134433746338,0.9495798349380493,0.11764705926179886
5,,0.34446951746940613,0.155635803937912,14.3011962890625,14.3726806640625,1.4453125,1.4453125,1.4494974613189697,2.03125,0.01129150390625, animal |  animals |  이를 | DOG |  Phones, trees |  cars | trees |  tree |  plants,0.5168067216873169,0.8403361439704895,0.19327731430530548
6,,0.2308717966079712,0.007165218237787485,18.169401041666667,18.832379150390626,1.453125,1.4453125,1.4494974613189697,2.0625,-0.01239013671875, animal |  이를 |  Phones | DOG | RARY, trees |  cars | trees | 两只 |  tree,0.5462185144424438,0.831932783126831,0.26050421595573425
7,,0.2589431405067444,0.015076080337166786,12.144991048177083,11.93625717163086,1.453125,1.4453125,1.4494974613189697,2.109375,-0.053466796875, animal | DOG | Animal |  creature |  이를, trees |  cars | trees | 两只 |  birds,0.5672268867492676,0.680672287940979,0.45378151535987854
8,,0.0256357304751873,0.2682769298553467,8.44734598795573,8.662967936197917,1.4453125,1.4453125,1.4494974613189697,2.125,-0.076171875, animal |  creature | Animal | DOG |  이를, trees |  cars | 两只 |  birds | trees,0.605042040348053,0.7899159789085388,0.42016807198524475
9,,0.2520596385002136,0.0012182175414636731,15.948924255371093,15.756418863932291,1.4453125,1.453125,1.4494974613189697,2.15625,-0.10546875, animal |  creature | 鲨 |  goat | Animal, trees | 两只 |  cars |  birds | trees,0.6344537734985352,0.6890756487846375,0.5798319578170776
10,,0.06679514795541763,0.0951434075832367,17.00003496805827,16.83007739384969,1.453125,1.4453125,1.4494974613189697,2.1875,-0.1337890625, creature |  animal | 鲨 |  lizard | (lines,两只 |  trees |  cars |  birds | trees,0.6470588445663452,0.6218487620353699,0.6722689270973206
11,,0.0004635605146177113,0.3579553961753845,11.091273880004882,10.802465883890788,1.453125,1.453125,1.4494974613189697,2.203125,-0.1484375, animal |  creature |  lizard | Animal | 鲨,两只 |  trees |  cars |  birds | 两个,0.6470588445663452,0.7310924530029297,0.5630252361297607
12,,0.056737445294857025,0.002624648157507181,3.5931347529093425,3.63177178700765,1.453125,1.453125,1.4494974613189697,2.203125,-0.16015625, animal |  creature | Animal |  lizard | 鲨,两只 |  trees |  cars |  birds | 两个,0.6638655662536621,0.6218487620353699,0.7058823704719543
13,,0.024032415822148323,0.14473119378089905,5.273816617329915,5.436134719848633,1.453125,1.4453125,1.4494974613189697,2.234375,-0.1875, creature |  animal |  lizard | Animal | 鲨,两只 |  cars |  trees |  two | 两个,0.680672287940979,0.5714285969734192,0.7899159789085388
14,,0.5885261297225952,5.796661207568832e-05,6.154124075174332,6.034867604573567,1.4453125,1.453125,1.4494974613189697,2.25,-0.2080078125, animal |  creature | Animal | 鲨 |  goat,两只 |  trees | 两个 |  two |  cars,0.6638655662536621,0.47058823704719543,0.8571428656578064
15,,0.24755382537841797,0.00011305115185678005,9.361374473571777,9.60966233809789,1.453125,1.453125,1.4494974613189697,2.28125,-0.2314453125, animal |  creature | Animal |  goat |  lizard,两只 |  two | 两个 |  trees |  cars,0.668067216873169,0.4789915978908539,0.8571428656578064
16,,0.006665348075330257,0.002229877281934023,8.143268688519795,7.959896596272786,1.453125,1.4453125,1.4494974613189697,2.296875,-0.255859375, creature |  animal |  lizard | Animal |  goat,两只 |  two | 两个 |  cars |  trees,0.6890756487846375,0.529411792755127,0.848739504814148
