epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,4.520862131410589,1.4444481134414673,0.18611463904380798,96.96632115046184,80.86238911946614,1.109375,1.109375,1.0794202089309692,1.4453125,0.150390625, [wugs] |  |  |  trees | ﯡ, cars |  doors |  dogs |  corners | ,0.7941176295280457,0.6302521228790283,0.9579831957817078
2,0.7142407060227318,0.017155012115836143,0.6710745096206665,37.30573323567708,33.13870137532552,1.125,1.1171875,1.0794202089309692,1.4609375,0.1533203125, [wugs] |  |  trees |  |  deer, cars |  dogs |  doors |  corners |  [wug],0.7899159789085388,0.6134454011917114,0.9663865566253662
3,0.6117615318201691,1.539868950843811,0.0007110878941603005,25.449413553873697,23.236308542887368,1.125,1.125,1.0794202089309692,1.46875,0.15234375, [wugs] |  |  |  trees |  deer, cars |  dogs |  doors |  corners | ,0.7310924530029297,0.4789915978908539,0.9831932783126831
4,0.904420485049953,0.659866213798523,0.009283089078962803,28.412211863199868,28.467869567871094,1.1328125,1.125,1.0794202089309692,1.46875,0.1484375, [wugs] |  |  |  trees |  deer, dogs |  cars |  doors |  corners | ,0.7394958138465881,0.4957983195781708,0.9831932783126831
5,0.8368986075903497,0.9646636247634888,0.0019110222347080708,29.21744384765625,29.216339111328125,1.1328125,1.1328125,1.0794202089309692,1.4765625,0.1435546875, [wugs] |  |  |  trees |  deer, dogs |  cars |  doors |  corners | ,0.743697464466095,0.5042017102241516,0.9831932783126831
6,0.7408319334516515,0.0004592805344145745,1.6528398990631104,32.074282836914065,32.023356374104814,1.140625,1.125,1.0794202089309692,1.484375,0.140625, |  [wugs] |  |  trees |  deer, cars |  dogs |  doors |  corners | ,0.7983193397521973,0.6218487620353699,0.9747899174690247
7,0.9071915940337324,0.0003008602070622146,1.5058516263961792,26.577916272481282,26.384507433573404,1.1484375,1.125,1.0794202089309692,1.4921875,0.13671875, |  |  kite |  trees |  deer, cars |  dogs |  doors |  corners | ,0.8025209903717041,0.6386554837226868,0.9663865566253662
8,0.5210276220789258,0.0004681193095166236,1.3029764890670776,13.299074363708495,13.235424534479778,1.1484375,1.125,1.0794202089309692,1.4921875,0.13671875, |  |  kite |  deer |  [wugs], cars |  dogs |  doors |  corners | ,0.7983193397521973,0.6302521228790283,0.9663865566253662
9,0.6682499076166702,1.1023609638214111,0.0009690189617685974,19.2029052734375,19.130856037139893,1.1328125,1.1328125,1.0794202089309692,1.4921875,0.140625, |  |  [wugs] |  kite |  deer, dogs |  cars |  doors |  corners |  animals,0.743697464466095,0.4957983195781708,0.9915966391563416
10,0.9937796791890681,0.6105579733848572,0.00993142556399107,25.53144318262736,25.502737188339232,1.140625,1.1328125,1.0794202089309692,1.4921875,0.1396484375, |  |  [wugs] |  kite |  deer, dogs |  cars |  doors |  corners |  animals,0.7478991746902466,0.5126050710678101,0.9831932783126831
11,0.8735058255724046,0.00012607469398062676,1.702478289604187,31.880759620666502,31.907172870635986,1.1484375,1.1328125,1.0794202089309692,1.5,0.1357421875, |  |  kite |  deer |  trees, cars |  dogs |  doors |  corners | ,0.7899159789085388,0.6134454011917114,0.9663865566253662
12,0.46421950138679147,0.00010854512947844341,1.801696538925171,12.865744598706563,12.888887818654378,1.1484375,1.1328125,1.0794202089309692,1.5,0.1337890625, |  |  kite |  deer |  trees, dogs |  cars |  doors |  corners | ,0.8067227005958557,0.6470588445663452,0.9663865566253662
