epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,9.863568103313446,12.028484344482422,4.406771659851074,77.24252551794052,78.92090965906779,1.453125,1.453125,1.4494974613189697,1.890625,0.1533203125, [wugs] |  chairs |  chair |  dogs |  birds, chair |  [wug] |  dogs |  tables |  trees,0.5672268867492676,0.13445378839969635,1.0
2,7.080922459562619,8.897205352783203,2.526519536972046,77.25848821004232,78.22581405639649,1.453125,1.453125,1.4494974613189697,1.890625,0.15625, [wugs] |  chairs |  chair |  dogs |  birds, chair |  [wug] |  dogs |  birds |  trees,0.5882353186607361,0.1764705926179886,1.0
3,4.821433510879675,5.847110271453857,1.5945069789886475,77.94223378499349,65.69673055013021,1.4609375,1.453125,1.4494974613189697,1.890625,0.158203125, [wugs] |  chair |  chairs |  dogs |  birds, [wug] |  chair |  dogs |  birds |  chairs,0.6974790096282959,0.3949579894542694,1.0
4,3.1699680306017397,3.8554604053497314,0.9530353546142578,79.11348470052083,55.53116048177083,1.46875,1.4609375,1.4494974613189697,1.890625,0.16015625, [wugs] |  chair |  dogs |  chairs |  book, [wug] |  chair |  dogs |  birds |  chairs,0.7731092572212219,0.5630252361297607,0.9831932783126831
5,2.0503860522061585,2.376561403274536,0.6295918226242065,72.69677734375,47.600341796875,1.46875,1.4609375,1.4494974613189697,1.8984375,0.1630859375, [wugs] |  chair |  dogs |  chairs |  book, [wug] |  chair |  dogs |  birds |  chairs,0.8361344337463379,0.6890756487846375,0.9831932783126831
6,1.2667942040289442,1.233652114868164,0.49383068084716797,67.591015625,41.60403645833333,1.46875,1.4609375,1.4494974613189697,1.8984375,0.1650390625, [wugs] |  chair |  dogs |  book |  chairs, [wug] |  chair |  dogs |  birds |  trees,0.8697478771209717,0.7731092572212219,0.9663865566253662
7,0.7853708340475957,0.6707755327224731,0.41132852435112,55.74095052083333,36.289957682291664,1.4765625,1.4609375,1.4494974613189697,1.8984375,0.1650390625, [wugs] |  chair |  dogs |  book |  dog, [wug] |  chair |  dogs |  birds |  chairs,0.8697478771209717,0.8067227005958557,0.9327731132507324
8,0.5103188210166991,0.5515252351760864,0.1853078007698059,42.51536458333333,27.783072916666665,1.4765625,1.4609375,1.4494974613189697,1.8984375,0.166015625, [wugs] |  chair |  book |  dogs |  dog, [wug] |  chair |  dogs |  birds |  chairs,0.8697478771209717,0.7983193397521973,0.9411764740943909
9,0.4192689991556108,0.32210907340049744,0.23894241452217102,38.05319010416667,27.506966145833335,1.4765625,1.4609375,1.4494974613189697,1.8984375,0.1669921875, [wugs] |  chair |  dogs |  book |  dog, [wug] |  chair |  dogs |  birds |  chairs,0.8697478771209717,0.8235294222831726,0.9159663915634155
10,0.32718795674542583,0.13425466418266296,0.4184587299823761,31.78359375,25.26142578125,1.4765625,1.46875,1.4494974613189697,1.8984375,0.1669921875, [wugs] |  chair |  dog |  book |  dogs, [wug] |  chair |  dogs |  birds |  chairs,0.8823529481887817,0.848739504814148,0.9159663915634155
11,0.28845261177048087,0.11536538600921631,0.3590395152568817,28.796907552083333,24.540559895833333,1.4765625,1.46875,1.4494974613189697,1.8984375,0.1669921875, [wugs] |  chair |  dog |  book |  dogs, [wug] |  dogs |  chair |  birds |  chairs,0.8823529481887817,0.848739504814148,0.9159663915634155
12,0.3025707814221581,0.20126987993717194,0.1700449287891388,27.725716145833335,24.8986328125,1.4765625,1.46875,1.4494974613189697,1.90625,0.1669921875, [wugs] |  chair |  dog |  book |  dogs, [wug] |  dogs |  chair |  birds |  chairs,0.8907563090324402,0.848739504814148,0.9327731132507324
13,0.2616578606733431,0.20899070799350739,0.14917375147342682,24.123063151041666,21.554768880208332,1.4765625,1.46875,1.4494974613189697,1.90625,0.1669921875, [wugs] |  chair |  dog |  book |  dogs, [wug] |  dogs |  chair |  birds |  chairs,0.894957959651947,0.8571428656578064,0.9327731132507324
14,0.25600125434187554,0.2700774073600769,0.10407855361700058,25.591861979166666,24.187434895833334,1.4765625,1.46875,1.4494974613189697,1.90625,0.1669921875, [wugs] |  chair |  dog |  book |  dogs, [wug] |  dogs |  chair |  birds |  chairs,0.8865545988082886,0.8403361439704895,0.9327731132507324
15,0.2378094912972301,0.1429540365934372,0.19362926483154297,21.31181640625,20.2279296875,1.484375,1.46875,1.4494974613189697,1.90625,0.166015625, [wugs] |  chair |  dog |  book |  dogs, [wug] |  dogs |  chair |  birds |  chairs,0.894957959651947,0.8571428656578064,0.9327731132507324
16,0.2023346609280755,0.03658999502658844,0.510256826877594,21.175309244791666,19.937727864583334,1.484375,1.46875,1.4494974613189697,1.90625,0.1650390625, [wugs] |  dog |  chair |  book |  dogs, [wug] |  dogs |  birds |  chair |  chairs,0.8907563090324402,0.8571428656578064,0.924369752407074
17,0.2394737120717764,0.22200074791908264,0.11236599832773209,21.10224609375,20.05185546875,1.484375,1.46875,1.4494974613189697,1.90625,0.1650390625, [wugs] |  chair |  dog |  book |  dogs, [wug] |  dogs |  birds |  chair |  chairs,0.8991596698760986,0.8571428656578064,0.9411764740943909
18,0.2331564668022717,0.2913205027580261,0.07519272714853287,20.401448567708332,19.475276692708334,1.484375,1.46875,1.4494974613189697,1.90625,0.1650390625, [wugs] |  chair |  dog |  book |  dogs, [wug] |  dogs |  birds |  chair |  chairs,0.8991596698760986,0.848739504814148,0.9495798349380493
19,0.24246460294816644,0.15617385506629944,0.15637873113155365,21.692578125,20.8961669921875,1.484375,1.46875,1.4494974613189697,1.90625,0.1650390625, [wugs] |  chair |  dog |  book |  dogs, [wug] |  dogs |  birds |  chair |  chairs,0.9033613204956055,0.8571428656578064,0.9495798349380493
20,0.2350927667847524,0.15632547438144684,0.1540687531232834,21.7927734375,21.172208658854167,1.484375,1.46875,1.4494974613189697,1.90625,0.1640625, [wugs] |  chair |  dog |  book |  dogs, [wug] |  dogs |  birds |  chair |  chairs,0.9033613204956055,0.8571428656578064,0.9495798349380493
21,0.2349789224526224,0.15609294176101685,0.15225966274738312,21.408146158854166,20.8176025390625,1.484375,1.46875,1.4494974613189697,1.90625,0.1640625, [wugs] |  dog |  chair |  book |  dogs, [wug] |  dogs |  birds |  chair |  chairs,0.9033613204956055,0.8571428656578064,0.9495798349380493
22,0.2469857558957301,0.15470275282859802,0.15138176083564758,22.702205403645834,22.22821044921875,1.484375,1.46875,1.4494974613189697,1.9140625,0.1640625, [wugs] |  dog |  chair |  book |  dogs, [wug] |  dogs |  birds |  chair |  chairs,0.9075630307197571,0.8655462265014648,0.9495798349380493
23,0.22461492412645992,0.21292780339717865,0.1052723303437233,21.820528157552083,21.267000325520833,1.484375,1.4765625,1.4494974613189697,1.9140625,0.1630859375, [wugs] |  dog |  chair |  book |  dogs, [wug] |  dogs |  birds |  chair |  chairs,0.9075630307197571,0.8571428656578064,0.9579831957817078
24,0.24717658521064248,0.281095951795578,0.07092799246311188,23.410750325520834,22.9156005859375,1.484375,1.4765625,1.4494974613189697,1.9140625,0.1630859375, [wugs] |  dog |  chair |  book |  dogs, [wug] |  dogs |  birds |  chair |  chairs,0.9075630307197571,0.8571428656578064,0.9579831957817078
25,0.22857247560750693,0.36244532465934753,0.046933047473430634,20.386808268229167,19.95382080078125,1.484375,1.4765625,1.4494974613189697,1.9140625,0.1630859375, [wugs] |  dog |  chair |  book |  dogs, [wug] |  dogs |  birds |  chair |  chairs,0.8991596698760986,0.8403361439704895,0.9579831957817078
26,0.2409311051752108,0.07312887161970139,0.2765284776687622,21.344539388020834,20.811531575520835,1.484375,1.46875,1.4494974613189697,1.9140625,0.1630859375, [wugs] |  dog |  chair |  book |  dogs, [wug] |  dogs |  birds |  chair |  chairs,0.9075630307197571,0.8739495873451233,0.9411764740943909
27,0.22621315697906538,0.27870211005210876,0.06972932815551758,18.60745849609375,18.211857096354166,1.484375,1.4765625,1.4494974613189697,1.9140625,0.162109375, [wugs] |  dog |  chair |  book |  dogs, [wug] |  dogs |  birds |  chair |  chairs,0.9117646813392639,0.8655462265014648,0.9579831957817078
