epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.10948324203491211,2.2682299613952637,53.83059895833333,52.260886637369794,1.453125,1.453125,1.4494974613189697,1.9140625,0.130859375, Door |  walls | _door |  door |  mosques, dogs |  walls |  birds |  pets |  wall,0.4892086386680603,0.7769784331321716,0.20143884420394897
2,,0.16958317160606384,0.3881397247314453,43.93697916666667,40.43802083333333,1.453125,1.453125,1.4494974613189697,1.921875,0.12158203125, Door |  walls | _door |  door |  doors, dogs |  walls |  birds |  pets |  wall,0.4568345248699188,0.6618704795837402,0.2517985701560974
3,,0.1555722951889038,0.1273692399263382,33.77005208333333,32.145572916666666,1.453125,1.453125,1.4494974613189697,1.9375,0.10546875, Door |  walls | _door |  door |  doors, dogs |  birds |  walls |  cats |  pets,0.5215827226638794,0.6258992552757263,0.41726619005203247
4,,0.21672961115837097,0.06342415511608124,25.964713541666665,25.959049479166666,1.4453125,1.453125,1.4494974613189697,1.953125,0.0908203125, Door |  walls | _door |  door |  doors, dogs |  birds |  walls |  cats |  pets,0.5575539469718933,0.6043165326118469,0.5107913613319397
5,,0.3628290295600891,0.010543322190642357,18.343994140625,17.668131510416668,1.453125,1.4453125,1.4494974613189697,1.9765625,0.07421875, Door | _door |  walls |  door |  doors, dogs |  birds |  walls |  cats |  pets,0.5827338099479675,0.5467625856399536,0.6187050342559814
6,,0.19120679795742035,0.017279040068387985,12.95133056640625,12.687581380208334,1.453125,1.453125,1.4494974613189697,1.9921875,0.056884765625, Door |  walls | _door |  door | Door, dogs |  birds |  cats |  walls |  pets,0.6079136729240417,0.5323740839958191,0.6834532618522644
7,,0.003059183480218053,0.4760364592075348,8.634130859375,8.644068400065104,1.453125,1.453125,1.4494974613189697,2.015625,0.03857421875, Door | _door |  walls |  door | Door, dogs |  birds |  cats |  walls |  pets,0.6115108132362366,0.5539568066596985,0.6690647602081299
