epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.13084213435649872,2.6699814796447754,55.90446166992187,51.285210673014326,1.453125,1.453125,1.4494974613189697,1.9140625,0.1298828125, fence |  fences | .words |  [wugs] |  fireplace, birds |  rats |  cars | Door |  bird,0.8109243512153625,1.0,0.6218487620353699
2,,0.17457212507724762,0.11376844346523285,42.22278645833333,42.1887934366862,1.453125,1.453125,1.4494974613189697,1.921875,0.12158203125, fence |  fences | .words |  fireplace |  ELEMENT, birds |  rats |  cars |  dogs |  phones,0.8991596698760986,0.8571428656578064,0.9411764740943909
3,,0.06164003536105156,0.08346100151538849,34.03343098958333,34.3869140625,1.453125,1.453125,1.4494974613189697,1.9609375,0.09033203125, fence |  fences | .words |  ELEMENT |  bird, birds |  dogs |  cars |  rats |  cats,0.9117646813392639,0.8823529481887817,0.9411764740943909
