idx,good_score,bad_score
163,-9.1875,-9.0625
164,-7.96875,-7.9375
165,-8.0,-7.875
166,-6.4375,-6.46875
167,-6.90625,-7.03125
168,-5.5,-5.5625
169,-6.1875,-6.3125
170,-7.59375,-8.375
171,-7.96875,-9.0
172,-8.6875,-8.3125
173,-8.1875,-7.90625
174,-7.53125,-7.71875
175,-7.8125,-7.90625
176,-6.0625,-6.1875
177,-6.46875,-6.5625
178,-5.375,-5.4375
179,-5.875,-6.125
180,-7.59375,-8.375
181,-7.96875,-9.0
182,-8.8125,-8.8125
183,-8.75,-9.0
184,-8.0625,-8.0625
185,-8.25,-8.5625
186,-6.65625,-6.71875
187,-6.6875,-7.0
188,-5.71875,-5.78125
189,-5.75,-5.9375
190,-7.59375,-8.375
191,-7.96875,-9.0
192,-8.25,-8.125
193,-8.1875,-8.5
194,-7.25,-7.21875
195,-7.40625,-7.75
196,-5.8125,-5.90625
197,-5.71875,-6.0
198,-5.4375,-5.46875
199,-5.34375,-5.5625
200,-6.9375,-8.1875
201,-7.3125,-7.96875
202,-7.65625,-8.25
203,-7.28125,-7.5
204,-7.15625,-7.46875
205,-6.875,-7.0625
206,-6.1875,-6.46875
207,-6.0,-6.125
208,-5.78125,-5.9375
209,-5.59375,-5.78125
210,-6.9375,-8.1875
211,-7.3125,-7.96875
212,-8.25,-8.625
213,-7.96875,-7.9375
214,-7.40625,-7.71875
215,-7.4375,-7.59375
216,-6.5,-6.6875
217,-6.28125,-6.46875
218,-5.25,-5.375
219,-5.09375,-5.28125
220,-6.9375,-8.1875
221,-7.3125,-7.96875
222,-7.96875,-8.5625
223,-8.0625,-8.1875
224,-7.78125,-8.0
225,-7.53125,-7.78125
226,-5.84375,-5.96875
227,-5.75,-5.90625
228,-5.09375,-5.25
229,-5.28125,-5.40625
230,-6.9375,-8.1875
231,-7.3125,-7.96875
232,-8.75,-9.0625
233,-8.125,-8.3125
234,-6.5625,-6.6875
235,-6.25,-6.5
236,-5.15625,-5.25
237,-5.375,-5.53125
238,-5.40625,-5.46875
239,-5.75,-5.78125
240,-6.9375,-8.1875
241,-7.3125,-7.96875
242,-7.1875,-7.40625
243,-6.65625,-6.625
244,-6.5,-6.5625
245,-6.125,-6.28125
246,-6.09375,-6.15625
247,-5.96875,-6.0
248,-5.59375,-5.5625
249,-5.53125,-5.65625
250,-6.9375,-8.1875
251,-7.3125,-7.96875
252,-8.3125,-8.75
253,-7.5,-7.5
254,-7.96875,-8.0
255,-7.28125,-7.40625
256,-6.625,-6.59375
257,-6.21875,-6.34375
258,-5.84375,-5.875
259,-5.9375,-6.0625
260,-6.9375,-8.1875
261,-7.3125,-7.96875
262,-8.75,-8.9375
263,-8.875,-8.75
264,-8.0,-8.125
265,-7.9375,-7.875
266,-6.375,-6.5
267,-6.90625,-6.9375
268,-5.5625,-5.65625
269,-6.25,-6.25
270,-6.9375,-8.1875
271,-7.3125,-7.96875
272,-8.5,-8.625
273,-8.25,-7.9375
274,-7.5,-7.71875
275,-7.71875,-7.78125
276,-6.09375,-6.21875
277,-6.375,-6.46875
278,-5.40625,-5.5625
279,-5.9375,-6.0625
280,-6.9375,-8.1875
281,-7.3125,-7.96875
282,-8.375,-8.6875
283,-8.75,-8.6875
284,-7.75,-7.8125
285,-8.125,-8.3125
286,-6.53125,-6.6875
287,-6.6875,-6.84375
288,-5.59375,-5.75
289,-5.6875,-5.84375
290,-6.9375,-8.1875
291,-7.3125,-7.96875
292,-8.0625,-8.1875
293,-8.4375,-8.25
294,-7.125,-7.34375
295,-7.4375,-7.6875
296,-5.75,-5.96875
297,-5.8125,-6.0
298,-5.4375,-5.5625
299,-5.4375,-5.59375
300,-8.875,-9.625
301,-9.0625,-9.375
302,-8.75,-9.0
303,-8.375,-8.5625
304,-8.0,-8.125
305,-7.75,-8.0
306,-6.8125,-6.90625
307,-6.625,-6.84375
308,-6.375,-6.3125
309,-6.09375,-6.375
310,-8.875,-9.625
311,-9.0625,-9.375
312,-9.375,-9.5
313,-9.0625,-8.875
314,-8.25,-8.25
315,-8.0625,-8.3125
316,-7.15625,-7.09375
317,-6.875,-7.15625
318,-5.875,-5.71875
319,-5.5625,-5.90625
320,-8.875,-9.625
321,-9.0625,-9.375
322,-9.125,-9.3125
323,-8.8125,-9.1875
324,-8.6875,-8.75
325,-8.25,-8.625
326,-6.5,-6.46875
327,-6.25,-6.59375
328,-5.65625,-5.75
329,-5.71875,-5.90625
330,-8.875,-9.625
331,-9.0625,-9.375
332,-9.8125,-9.9375
333,-9.0,-9.25
334,-7.34375,-7.3125
335,-6.9375,-7.34375
336,-5.71875,-5.78125
337,-5.9375,-6.125
338,-5.96875,-5.9375
339,-6.1875,-6.34375
340,-8.875,-9.625
341,-9.0625,-9.375
342,-8.125,-8.0625
343,-7.34375,-7.53125
344,-7.1875,-7.21875
345,-6.78125,-6.96875
346,-6.75,-6.6875
347,-6.4375,-6.625
348,-6.15625,-6.0625
349,-6.0,-6.21875
350,-8.875,-9.625
351,-9.0625,-9.375
352,-9.3125,-9.4375
353,-8.25,-8.1875
354,-8.75,-8.6875
355,-8.0,-8.3125
356,-7.28125,-7.125
357,-6.78125,-7.0
358,-6.375,-6.34375
359,-6.4375,-6.65625
360,-8.875,-9.625
361,-9.0625,-9.375
362,-9.9375,-9.75
363,-9.625,-9.8125
364,-8.9375,-8.6875
365,-8.625,-8.75
366,-7.03125,-7.03125
367,-7.46875,-7.65625
368,-6.09375,-6.0625
369,-6.6875,-6.84375
370,-8.875,-9.625
371,-9.0625,-9.375
372,-9.5,-9.25
373,-9.0,-8.8125
374,-8.3125,-8.3125
375,-8.5,-8.6875
376,-6.71875,-6.625
377,-7.0,-7.1875
378,-5.9375,-5.96875
379,-6.40625,-6.65625
380,-8.875,-9.625
381,-9.0625,-9.375
382,-9.4375,-9.4375
383,-9.625,-9.625
384,-8.4375,-8.25
385,-8.8125,-9.0625
386,-7.15625,-7.09375
387,-7.25,-7.53125
388,-6.125,-6.09375
389,-6.1875,-6.46875
390,-8.875,-9.625
391,-9.0625,-9.375
392,-9.0625,-8.8125
393,-9.125,-9.25
394,-7.90625,-7.90625
395,-8.25,-8.5625
396,-6.34375,-6.34375
397,-6.375,-6.6875
398,-5.96875,-5.96875
399,-5.875,-6.125
400,-8.3125,-8.9375
401,-8.375,-8.6875
402,-8.3125,-8.75
403,-7.71875,-8.0625
404,-7.8125,-7.96875
405,-7.375,-7.71875
406,-6.6875,-6.75
407,-6.40625,-6.625
408,-6.0625,-6.15625
409,-5.84375,-5.96875
410,-8.3125,-8.9375
411,-8.375,-8.6875
412,-9.0,-9.125
413,-8.375,-8.625
414,-8.125,-8.25
415,-7.8125,-7.96875
416,-6.8125,-6.90625
417,-6.59375,-6.71875
418,-5.5625,-5.5625
419,-5.375,-5.46875
420,-8.375,-9.0
421,-8.3125,-8.6875
422,-8.8125,-9.125
423,-8.375,-8.5
424,-8.125,-8.25
425,-7.78125,-8.0
426,-6.1875,-6.1875
427,-5.9375,-6.09375
428,-5.46875,-5.5
429,-5.46875,-5.53125
430,-8.375,-9.0
431,-8.3125,-8.6875
432,-9.0,-9.375
433,-8.3125,-8.4375
434,-6.875,-7.0
435,-6.5625,-6.75
436,-5.53125,-5.59375
437,-5.625,-5.75
438,-5.75,-5.78125
439,-6.0,-6.03125
440,-8.375,-9.0
441,-8.3125,-8.6875
442,-7.46875,-7.6875
443,-6.78125,-6.90625
444,-6.78125,-6.90625
445,-6.34375,-6.46875
446,-6.53125,-6.46875
447,-6.15625,-6.25
448,-5.96875,-5.90625
449,-5.8125,-5.90625
450,-8.375,-9.0
451,-8.3125,-8.6875
452,-8.6875,-9.0625
453,-7.59375,-7.71875
454,-8.4375,-8.4375
455,-7.84375,-7.875
456,-7.0,-6.9375
457,-6.5625,-6.59375
458,-6.1875,-6.25
459,-6.1875,-6.21875
460,-8.375,-9.0
461,-8.3125,-8.6875
462,-9.625,-9.625
463,-9.1875,-9.1875
464,-8.5625,-8.5
465,-8.3125,-8.25
466,-6.8125,-6.875
467,-7.125,-7.125
468,-6.0,-6.0
469,-6.5625,-6.53125
470,-8.375,-9.0
471,-8.3125,-8.6875
472,-9.375,-9.375
473,-8.25,-8.4375
474,-8.0625,-8.1875
475,-8.125,-8.125
476,-6.625,-6.625
477,-6.84375,-6.90625
478,-5.8125,-5.90625
479,-6.28125,-6.4375
480,-8.375,-9.0
481,-8.3125,-8.6875
482,-9.0,-9.125
483,-8.8125,-8.75
484,-8.3125,-8.3125
485,-8.6875,-8.6875
486,-7.0,-7.0625
487,-7.03125,-7.21875
488,-5.96875,-6.03125
489,-5.96875,-6.1875
490,-8.375,-9.0
491,-8.3125,-8.6875
492,-8.6875,-8.8125
493,-8.4375,-8.625
494,-7.6875,-7.875
495,-7.9375,-8.25
496,-6.1875,-6.3125
497,-6.125,-6.40625
498,-5.84375,-5.84375
499,-5.78125,-5.9375
500,-8.1875,-8.75
501,-8.5625,-8.9375
502,-8.3125,-8.8125
503,-8.25,-8.25
504,-7.65625,-7.75
505,-7.4375,-7.625
506,-6.46875,-6.625
507,-6.375,-6.5625
508,-6.09375,-6.1875
509,-6.0,-6.125
510,-8.1875,-8.75
511,-8.5625,-8.9375
512,-8.75,-8.9375
513,-8.5,-8.6875
514,-7.75,-7.9375
515,-7.71875,-7.90625
516,-6.84375,-6.9375
517,-6.625,-6.84375
518,-5.53125,-5.625
519,-5.40625,-5.5625
520,-8.1875,-8.75
521,-8.5625,-8.9375
522,-8.625,-9.125
523,-8.625,-8.75
524,-8.3125,-8.4375
525,-8.125,-8.25
526,-6.21875,-6.375
527,-6.125,-6.25
528,-5.5,-5.625
529,-5.65625,-5.75
530,-8.1875,-8.75
531,-8.5625,-8.9375
532,-9.375,-9.625
533,-8.6875,-8.875
534,-6.96875,-7.125
535,-6.75,-6.90625
536,-5.5625,-5.65625
537,-5.8125,-5.90625
538,-5.78125,-5.75
539,-6.09375,-6.09375
540,-8.1875,-8.75
541,-8.5625,-8.9375
542,-7.5625,-7.71875
543,-7.0,-7.0625
544,-6.78125,-6.90625
545,-6.53125,-6.65625
546,-6.46875,-6.5
547,-6.21875,-6.28125
548,-5.9375,-5.90625
549,-5.90625,-5.96875
550,-8.1875,-8.75
551,-8.5625,-8.9375
552,-8.75,-9.0
553,-7.90625,-7.96875
554,-8.3125,-8.4375
555,-7.8125,-7.84375
556,-7.0,-7.0
557,-6.65625,-6.65625
558,-6.15625,-6.1875
559,-6.375,-6.375
560,-8.1875,-8.75
561,-8.5625,-8.9375
562,-9.375,-9.625
563,-9.3125,-9.3125
564,-8.5,-8.625
565,-8.3125,-8.3125
566,-6.84375,-6.875
567,-7.375,-7.375
568,-5.90625,-5.96875
569,-6.59375,-6.625
570,-8.1875,-8.75
571,-8.5625,-8.9375
572,-9.0,-9.0625
573,-8.625,-8.4375
574,-8.0,-8.125
575,-8.1875,-8.25
576,-6.46875,-6.53125
577,-6.75,-6.875
578,-5.71875,-5.8125
579,-6.28125,-6.4375
580,-8.1875,-8.75
581,-8.5625,-8.9375
582,-8.9375,-9.125
583,-9.25,-9.25
584,-8.0625,-8.125
585,-8.5625,-8.75
586,-6.875,-6.9375
587,-7.0625,-7.25
588,-5.90625,-5.96875
589,-6.0,-6.21875
590,-8.1875,-8.75
591,-8.5625,-8.9375
592,-8.5625,-8.875
593,-8.75,-8.9375
594,-7.5,-7.71875
595,-8.0625,-8.25
596,-6.125,-6.25
597,-6.21875,-6.4375
598,-5.6875,-5.75
599,-5.71875,-5.84375
600,-7.40625,-9.125
601,-8.125,-8.8125
602,-7.8125,-8.4375
603,-7.71875,-8.0
604,-7.375,-7.78125
605,-7.21875,-7.5
606,-6.46875,-6.625
607,-6.34375,-6.5625
608,-5.9375,-6.03125
609,-5.8125,-5.90625
610,-7.40625,-9.125
611,-8.125,-8.8125
612,-8.5625,-9.125
613,-8.1875,-8.375
614,-7.90625,-8.1875
615,-7.65625,-8.0
616,-6.6875,-6.78125
617,-6.40625,-6.625
618,-5.34375,-5.40625
619,-5.21875,-5.40625
620,-7.40625,-9.125
621,-8.125,-8.8125
622,-8.5,-9.25
623,-8.375,-8.8125
624,-8.0,-8.25
625,-7.71875,-7.90625
626,-5.96875,-6.0625
627,-5.84375,-6.0625
628,-5.28125,-5.4375
629,-5.40625,-5.5625
630,-7.40625,-9.125
631,-8.125,-8.8125
632,-8.875,-9.5
633,-8.1875,-8.3125
634,-6.5625,-6.75
635,-6.40625,-6.59375
636,-5.25,-5.40625
637,-5.53125,-5.6875
638,-5.59375,-5.59375
639,-5.875,-6.0
640,-7.40625,-9.125
641,-8.125,-8.8125
642,-7.09375,-7.4375
643,-6.375,-6.6875
644,-6.40625,-6.59375
645,-6.15625,-6.3125
646,-6.28125,-6.28125
647,-6.03125,-6.21875
648,-5.8125,-5.78125
649,-5.75,-5.84375
650,-7.40625,-9.125
651,-8.125,-8.8125
652,-8.25,-8.8125
653,-7.4375,-7.53125
654,-8.0625,-8.1875
655,-7.53125,-7.65625
656,-6.84375,-6.84375
657,-6.46875,-6.65625
658,-5.90625,-6.03125
659,-6.125,-6.25
660,-7.40625,-9.125
661,-8.125,-8.8125
662,-9.125,-9.375
663,-8.9375,-8.875
664,-8.25,-8.375
665,-8.125,-8.125
666,-6.53125,-6.65625
667,-7.03125,-7.15625
668,-5.8125,-5.84375
669,-6.4375,-6.53125
670,-7.40625,-9.125
671,-8.125,-8.8125
672,-9.0625,-9.375
673,-8.1875,-8.25
674,-7.75,-7.96875
675,-7.875,-7.96875
676,-6.375,-6.40625
677,-6.59375,-6.8125
678,-5.625,-5.75
679,-6.15625,-6.34375
680,-7.40625,-9.125
681,-8.125,-8.8125
682,-8.75,-9.0625
683,-8.9375,-9.0
684,-8.0625,-8.1875
685,-8.375,-8.625
686,-6.75,-6.875
687,-6.90625,-7.125
688,-5.78125,-5.875
689,-5.875,-6.09375
690,-7.40625,-9.125
691,-8.125,-8.8125
692,-8.4375,-8.8125
693,-8.5,-8.6875
694,-7.25,-7.59375
695,-7.78125,-8.0625
696,-5.84375,-6.0625
