idx,good_score,bad_score
0,-8.5625,-9.5625
1,-8.125,-8.9375
2,-8.0,-8.4375
3,-7.53125,-8.0
4,-7.15625,-7.34375
5,-6.75,-7.0
6,-5.75,-5.84375
7,-5.53125,-5.75
8,-5.5,-5.53125
9,-4.90625,-5.1875
10,-8.5625,-9.5625
11,-8.125,-8.9375
12,-8.4375,-8.625
13,-7.875,-8.0625
14,-7.21875,-7.3125
15,-7.0,-7.25
16,-6.03125,-6.09375
17,-5.40625,-5.71875
18,-4.84375,-4.8125
19,-4.375,-4.65625
20,-8.5625,-9.5
21,-8.125,-9.0
22,-8.0625,-8.5
23,-7.78125,-7.90625
24,-6.9375,-7.09375
25,-6.6875,-7.0
26,-5.0625,-5.125
27,-4.59375,-4.875
28,-4.5625,-4.65625
29,-4.15625,-4.34375
30,-8.5625,-9.5
31,-8.125,-9.0
32,-8.0625,-8.125
33,-8.0,-8.25
34,-5.75,-5.8125
35,-5.59375,-5.9375
36,-4.5,-4.59375
37,-4.4375,-4.625
38,-4.90625,-5.0
39,-4.78125,-4.9375
40,-8.5625,-9.5
41,-8.125,-9.0
42,-6.4375,-6.5625
43,-6.15625,-6.3125
44,-5.5625,-5.6875
45,-5.21875,-5.46875
46,-5.25,-5.375
47,-5.0625,-5.28125
48,-4.84375,-4.875
49,-4.46875,-4.71875
50,-8.5625,-9.5
51,-8.125,-9.0
52,-7.625,-7.90625
53,-7.34375,-7.5
54,-7.15625,-7.21875
55,-6.8125,-7.03125
56,-5.96875,-5.9375
57,-5.53125,-5.71875
58,-5.34375,-5.34375
59,-5.15625,-5.40625
60,-8.5625,-9.5
61,-8.125,-9.0
62,-9.0,-8.9375
63,-8.8125,-8.6875
64,-7.65625,-7.625
65,-7.15625,-7.1875
66,-6.40625,-6.40625
67,-6.53125,-6.625
68,-5.625,-5.5625
69,-5.75,-5.8125
70,-8.5625,-9.5
71,-8.125,-9.0
72,-8.8125,-8.8125
73,-8.3125,-8.3125
74,-7.40625,-7.5625
75,-7.375,-7.65625
76,-6.09375,-6.125
77,-5.875,-6.125
78,-5.46875,-5.5
79,-5.1875,-5.46875
80,-8.5625,-9.5
81,-8.125,-9.0
82,-7.96875,-8.0625
83,-8.25,-8.5
84,-7.21875,-7.15625
85,-7.03125,-7.4375
86,-5.84375,-5.875
87,-5.4375,-5.8125
88,-5.03125,-5.0625
89,-4.5625,-4.78125
90,-8.5625,-9.5
91,-8.125,-9.0
92,-8.375,-8.375
93,-8.25,-8.1875
94,-7.03125,-7.0625
95,-6.53125,-6.875
96,-5.375,-5.46875
97,-4.90625,-5.15625
98,-5.03125,-5.0625
99,-4.4375,-4.6875
100,-8.9375,-9.875
101,-8.75,-9.375
102,-8.1875,-8.4375
103,-7.75,-8.0
104,-7.25,-7.40625
105,-6.90625,-7.0625
106,-5.8125,-5.84375
107,-5.59375,-5.78125
108,-5.5,-5.5
109,-5.03125,-5.25
110,-8.9375,-9.875
111,-8.75,-9.375
112,-8.625,-8.8125
113,-8.125,-8.0
114,-7.40625,-7.40625
115,-7.125,-7.25
116,-6.1875,-6.15625
117,-5.6875,-5.90625
118,-4.9375,-4.90625
119,-4.5,-4.65625
120,-8.9375,-9.875
121,-8.75,-9.375
122,-8.25,-8.5625
123,-7.78125,-7.90625
124,-7.21875,-7.28125
125,-6.90625,-7.1875
126,-5.1875,-5.1875
127,-4.6875,-4.90625
128,-4.625,-4.6875
129,-4.21875,-4.34375
130,-8.9375,-9.875
131,-8.75,-9.375
132,-8.3125,-8.375
133,-8.25,-8.4375
134,-6.09375,-6.125
135,-5.90625,-6.125
136,-4.75,-4.78125
137,-4.6875,-4.78125
138,-5.09375,-5.125
139,-4.96875,-5.03125
140,-8.9375,-9.875
141,-8.75,-9.375
142,-6.75,-6.8125
143,-6.4375,-6.53125
144,-5.90625,-5.96875
145,-5.65625,-5.8125
146,-5.46875,-5.53125
147,-5.34375,-5.46875
148,-5.03125,-5.03125
149,-4.75,-4.875
150,-8.9375,-9.875
151,-8.75,-9.375
152,-7.90625,-8.125
153,-7.625,-7.75
154,-7.375,-7.40625
155,-7.125,-7.3125
156,-6.15625,-6.09375
157,-5.84375,-5.96875
158,-5.5,-5.46875
