epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.03646191209554672,2.482527256011963,53.791202799479166,52.8024658203125,1.4453125,1.4453125,1.4494974613189697,1.9140625,0.12890625, Door |  walls | _door |  door |  mosques, dogs |  walls |  birds |  pets |  wall,0.5,0.7913669347763062,0.20863309502601624
2,,0.16884467005729675,0.3810546398162842,41.29505208333333,39.97578125,1.453125,1.453125,1.4494974613189697,1.9375,0.10986328125, Door |  walls | _door |  door |  doors, dogs |  walls |  birds |  cats |  pets,0.4784172773361206,0.6762589812278748,0.28057554364204407
3,,0.13421228528022766,0.15925778448581696,30.643391927083332,28.972916666666666,1.453125,1.4453125,1.4494974613189697,1.9609375,0.087890625, Door |  walls | _door |  door |  doors, dogs |  birds |  walls |  cats |  pets,0.5575539469718933,0.6546762585639954,0.46043166518211365
4,,0.1721041202545166,0.07880604267120361,26.1767578125,26.12919921875,1.4453125,1.453125,1.4494974613189697,1.984375,0.0634765625, Door |  walls | _door |  door | Door, dogs |  birds |  walls |  cats |  pets,0.597122311592102,0.5899280309677124,0.6043165326118469
5,,0.4110925793647766,0.004998244345188141,17.669190470377604,17.074812825520834,1.453125,1.453125,1.4494974613189697,2.015625,0.0400390625, Door |  walls | _door |  door | Door, dogs |  birds |  cats |  pets |  walls,0.5899280309677124,0.5107913613319397,0.6690647602081299
6,,0.266109824180603,0.009931531734764576,10.256003824869792,9.984913126627605,1.453125,1.453125,1.4494974613189697,2.03125,0.01904296875, Door |  walls | _door |  door | Door, dogs |  birds |  cats |  pets |  walls,0.6043165326118469,0.4748201370239258,0.7338129281997681
7,,0.001215138821862638,0.7062301635742188,8.200221761067708,8.181563186645509,1.453125,1.453125,1.4494974613189697,2.0625,-0.0079345703125, Door | _door |  walls |  door | Door, dogs |  birds |  cats |  cars |  walls,0.6438848972320557,0.5611510872840881,0.7266187071800232
8,,0.01278677862137556,0.31350529193878174,18.687457911173503,18.60566825866699,1.453125,1.4453125,1.4494974613189697,2.078125,-0.0244140625, Door | _door |  walls |  door | Door, dogs |  birds |  cats |  cars |  pets,0.6007194519042969,0.4460431635379791,0.7553957104682922
9,,0.9839685559272766,7.327250932576135e-05,5.916612879435221,5.7365154266357425,1.453125,1.4453125,1.4494974613189697,2.09375,-0.037841796875, Door | _door |  walls |  door | Door, dogs |  birds |  cats |  pets |  dolls,0.5791366696357727,0.316546767950058,0.8417266011238098
10,,0.00510489521548152,0.0400165393948555,10.824505360921224,10.883444372812907,1.453125,1.453125,1.4494974613189697,2.109375,-0.0556640625, Door | _door |  walls | Door |  door, dogs |  birds |  cats |  cars | 两只,0.6043165326118469,0.41726619005203247,0.7913669347763062
11,,0.21886785328388214,0.0032654176466166973,7.9008323669433596,7.948868815104166,1.453125,1.453125,1.4494974613189697,2.125,-0.0751953125, Door | _door |  walls |  creature | Door, birds |  dogs |  cats |  cars | 两只,0.6258992552757263,0.42446044087409973,0.8273381590843201
12,,0.0022280081175267696,0.20097139477729797,7.344142659505208,7.379606628417969,1.453125,1.453125,1.4494974613189697,2.140625,-0.0869140625, Door | _door |  walls | Door |  door, birds |  dogs |  cats | 两只 |  cars,0.6546762585639954,0.49640288949012756,0.8129496574401855
