epoch,wug_proj,wugs_proj,dist
1,0.06040463596582413,0.07725104689598083,0.016846410930156708
2,0.04156961292028427,0.09148706495761871,0.04991745203733444
3,0.03377704322338104,0.0986032783985138,0.06482623517513275
4,0.01676652394235134,0.11292515695095062,0.09615863114595413
5,0.006735336966812611,0.12169422209262848,0.11495888233184814
6,-0.00248806644231081,0.12860339879989624,0.13109146058559418
7,-0.014160347171127796,0.13939793407917023,0.15355828404426575
8,-0.017053980380296707,0.14166486263275146,0.15871883928775787
9,-0.021463876590132713,0.14638552069664001,0.16784939169883728
10,-0.026852071285247803,0.15218620002269745,0.17903827130794525
11,-0.03194233030080795,0.15568169951438904,0.1876240372657776
12,-0.03723951429128647,0.1578519344329834,0.19509145617485046
