epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,5.871502830088138,1.3072150945663452,0.06905355304479599,106.14772135416666,74.00872590554258,1.4609375,1.5,1.4494974613189697,1.9375,0.138671875, bird | Door |  door |  [wugs] |  doors, gates |  [wug] |  chairs |  doors |  gate,0.8697478771209717,0.8655462265014648,0.8739495873451233
2,1.122752315850327,0.011829174123704433,1.353371024131775,41.968621826171876,40.89386355082194,1.46875,1.5,1.4494974613189697,1.953125,0.13671875, bird | Door |  door |  [wugs] |  Door, gates |  [wug] |  chairs |  doors |  flowers,0.8991596698760986,0.8403361439704895,0.9579831957817078
3,1.1220090140161725,0.003192581469193101,1.2593623399734497,24.59390665690104,22.355028025309245,1.484375,1.5078125,1.4494974613189697,1.96875,0.1337890625, bird | Door |  door |  whale |  Door, gates |  [wug] |  chairs |  doors |  flowers,0.8907563090324402,0.8235294222831726,0.9579831957817078
4,0.7788761249894833,1.951857089996338,9.428487828699872e-05,18.350097513198854,17.884446398417154,1.484375,1.5234375,1.4494974613189697,1.984375,0.125, bird | Door |  door |  whale |  Door, gates |  chairs |  flowers |  birds |  doors,0.7731092572212219,0.5462185144424438,1.0
5,0.7980662753530926,0.00018680383800528944,2.128892421722412,23.57791379292806,23.527259620030723,1.5,1.5078125,1.4494974613189697,1.9921875,0.1201171875, bird | Door |  door |  whale |  Door, gates |  chairs |  flowers |  birds |  doors,0.8991596698760986,0.8655462265014648,0.9327731132507324
6,1.0185129910204032,5.520449849427678e-05,2.829068422317505,23.062545379002888,23.005177170348663,1.5,1.515625,1.4494974613189697,2.015625,0.1142578125, bird | Door |  door |  whale |  Door, gates |  chairs |  flowers |  birds |  doors,0.9159663915634155,0.924369752407074,0.9075630307197571
