epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,4.5317149153067176,0.1508292257785797,1.1030962467193604,90.07070541381836,73.62917170897126,1.125,1.1328125,1.0794202089309692,1.5,0.1201171875, |  dog |  |  dogs |  bird, |  | 졪 | 괙 | 릏,0.8529411554336548,0.7815126180648804,0.924369752407074
2,1.7067250303210377,1.2509486675262451,0.01166910957545042,39.03915722668171,38.52581622799237,1.1328125,1.1328125,1.0794202089309692,1.5,0.1181640625, |  |  dog |  dogs |  bird, |  | 릏 | 괙 | 졪,0.8907563090324402,0.8655462265014648,0.9159663915634155
3,1.1305185508778588,0.0005488268798217177,3.125670909881592,23.3091468334198,23.79401522881041,1.140625,1.1484375,1.0794202089309692,1.5390625,0.0947265625, dog |  |  |  kitten |  bird, |  | 졪 | 괙 | 릏,0.8781512379646301,0.8739495873451233,0.8823529481887817
4,0.8736917325408283,3.25004402839113e-05,3.3017165660858154,18.666346789492916,18.590378224789113,1.15625,1.1484375,1.0794202089309692,1.5546875,0.0869140625, dog |  |  |  bird |  kitten, |  | 괙 | 졪 | 릏,0.894957959651947,0.8991596698760986,0.8907563090324402
5,2.115341408359172,2.7510857582092285,1.7038344594766386e-05,32.04212349963685,31.882380610295634,1.140625,1.1640625,1.0794202089309692,1.5546875,0.087890625, |  |  dog |  bird |  gate, |  | 졪 | 괙 | 릏,0.7941176295280457,0.5966386795043945,0.9915966391563416
6,1.1263121705513617,4.8239353418466635e-06,3.5769667625427246,19.600908758256505,19.641469570156186,1.1640625,1.1484375,1.0794202089309692,1.5625,0.08203125, dog |  |  |  kitten |  bird, |  | 졪 | 괙 | 릏,0.8991596698760986,0.9663865566253662,0.831932783126831
7,1.3115933159016586,3.075615882873535,3.09941719933704e-06,22.422399438979724,22.488543352005212,1.140625,1.1796875,1.0794202089309692,1.5859375,0.07080078125, |  |  dog |  bird |  gate, |  | 릏 | 졪 | 괙,0.7647058963775635,0.5462185144424438,0.9831932783126831
8,1.9551563161113445,2.8689428290817887e-06,3.575866222381592,33.10476366722787,32.87818806062781,1.171875,1.15625,1.0794202089309692,1.59375,0.064453125, dog |  |  |  kitten |  bird, |  | 릏 | 괙 | 졪,0.9033613204956055,0.8655462265014648,0.9411764740943909
9,0.8131905350457882,1.2159293873992283e-06,4.77723503112793,12.716401284358774,12.774798075341645,1.1796875,1.15625,1.0794202089309692,1.6015625,0.060302734375, dog |  |  |  kitten |  bird, |  | 졪 | 괙 | 릏,0.9033613204956055,0.8991596698760986,0.9075630307197571
10,1.8549224601307135,2.018596205743961e-06,4.201009750366211,25.259455143101512,25.26966022548732,1.1796875,1.15625,1.0794202089309692,1.6015625,0.06201171875, dog |  |  |  kitten |  bird, |  | 릏 | 괙 | 졪,0.9075630307197571,0.8907563090324402,0.924369752407074
