epoch,wug_proj,wugs_proj,dist
1,0.023998402059078217,0.11547063291072845,0.09147223085165024
2,0.0005887113511562347,0.13504596054553986,0.13445724546909332
3,-0.018683377653360367,0.15327389538288116,0.17195726931095123
4,-0.03054118901491165,0.1626775860786438,0.19321876764297485
5,-0.040191493928432465,0.17012640833854675,0.21031790971755981
6,-0.05506892502307892,0.18231868743896484,0.23738761246204376
7,-0.06509851664304733,0.18933318555355072,0.25443169474601746
8,-0.06859147548675537,0.19058580696582794,0.2591772675514221
9,-0.08024466782808304,0.19917097687721252,0.27941563725471497
10,-0.08345094323158264,0.20051516592502594,0.2839661240577698
11,-0.0906643271446228,0.20428809523582458,0.2949524223804474
12,-0.10065051168203354,0.21288661658763885,0.3135371208190918
13,-0.10657604038715363,0.21627876162528992,0.32285481691360474
14,-0.1115395724773407,0.21915480494499207,0.33069437742233276
15,-0.11433683335781097,0.22112834453582764,0.3354651927947998
16,-0.11686739325523376,0.22267751395702362,0.3395448923110962
17,-0.12329277396202087,0.22829411923885345,0.35158687829971313
18,-0.12379024177789688,0.22609126567840576,0.34988150000572205
19,-0.12980741262435913,0.23224374651908875,0.3620511591434479
