epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.025534292683005333,2.887948513031006,60.2724609375,62.13242079416911,1.4453125,1.453125,1.4494974613189697,1.9140625,0.1279296875, cats | (cat |  trees | ᗗ | _tree, cats |  wolves |  birds |  walls |  chickens,0.49280574917793274,0.9640287756919861,0.02158273383975029
2,,0.2830904722213745,0.3339243233203888,41.8375,40.67076822916667,1.453125,1.4453125,1.4494974613189697,1.9453125,0.1005859375,(cat | ᗗ |  cats | _tree | 굠, cats |  wolves |  birds |  chickens |  butterflies,0.5143885016441345,0.8992805480957031,0.12949639558792114
3,,0.012436260469257832,0.4329070448875427,34.25343424479167,33.46326497395833,1.4453125,1.453125,1.4494974613189697,1.96875,0.07763671875,(cat | ᗗ | _tree | 굠 | ᕯ, cats |  wolves |  birds |  chickens |  butterflies,0.5359712243080139,0.9064748287200928,0.16546761989593506
4,,0.18311932682991028,0.031150322407484055,20.590071614583334,19.303843180338543,1.453125,1.453125,1.4494974613189697,1.9921875,0.056396484375,(cat | _tree | ᗗ |  gates |  kitten, cats |  wolves |  birds |  phones |  chickens,0.6043165326118469,0.6546762585639954,0.5539568066596985
5,,0.22566600143909454,0.15278930962085724,19.313557942708332,19.13056640625,1.4453125,1.453125,1.4494974613189697,2.015625,0.03662109375,_tree | ᗗ | (cat | ﭰ |  gates, cats |  birds |  wolves |  dogs |  butterflies,0.597122311592102,0.6115108132362366,0.5827338099479675
6,,0.4313979148864746,0.0014696591533720493,21.84804890950521,22.075040690104167,1.453125,1.453125,1.4494974613189697,2.046875,0.00970458984375,(cat | _tree |  goat |  lizard |  kitten, cats |  wolves |  birds |  dogs |  phones,0.6115108132362366,0.4892086386680603,0.7338129281997681
7,,0.2846745550632477,0.007229065988212824,18.79652608235677,18.12204793294271,1.4453125,1.4453125,1.4494974613189697,2.0625,-0.00701904296875,_tree | (cat |  goat |  dragon |  lizard, cats |  birds |  wolves |  dogs |  butterflies,0.6402877569198608,0.5179855823516846,0.7625899314880371
8,,0.820040225982666,0.0057731871493160725,8.528786214192708,8.38063456217448,1.453125,1.4453125,1.4494974613189697,2.078125,-0.02734375,(cat |  lizard |  goat |  dragon |  kitten, cats |  birds |  wolves |  phones |  butterflies,0.6438848972320557,0.43884891271591187,0.8489208817481995
9,,0.16741588711738586,0.0029741080943495035,16.055488077799478,15.957425944010417,1.453125,1.453125,1.4494974613189697,2.109375,-0.05078125, lizard |  goat |  dragon | _tree |  kitten, cats |  birds |  wolves |  butterflies |  dogs,0.6798561215400696,0.5179855823516846,0.8417266011238098
10,,0.0408160425722599,0.00481492280960083,9.855276234944661,9.808500162760417,1.453125,1.453125,1.4494974613189697,2.125,-0.06689453125, lizard |  dragon |  goat | _tree | dragon, cats |  birds |  wolves | 两只 |  dogs,0.6870503425598145,0.5323740839958191,0.8417266011238098
11,,0.2937951683998108,0.0015498227439820766,6.082971445719401,5.440601603190104,1.453125,1.4453125,1.4494974613189697,2.15625,-0.10205078125, lizard |  dragon |  goat |  kitten | dragon, cats |  birds | 两只 |  wolves |  phones,0.6906474828720093,0.5107913613319397,0.8705036044120789
12,,0.0031158714555203915,0.05090339854359627,6.7201077779134115,6.847000964855154,1.4453125,1.453125,1.4494974613189697,2.171875,-0.1220703125, lizard |  dragon |  goat | dragon | _tree, cats |  birds | 两只 |  wolves |  dogs,0.701438844203949,0.5467625856399536,0.8561151027679443
13,,0.006844624876976013,0.010885956697165966,8.180386414875587,8.191842142740885,1.4453125,1.453125,1.4494974613189697,2.1875,-0.142578125, lizard |  dragon |  goat | dragon | _tree, cats |  birds | 两只 |  wolves |  dogs,0.7086330652236938,0.5467625856399536,0.8705036044120789
14,,0.012411007657647133,0.11603794246912003,5.224360911051432,5.188728841145833,1.453125,1.4453125,1.4494974613189697,2.203125,-0.1591796875, lizard |  dragon |  goat | dragon | _tree, cats | 两只 |  birds |  wolves |  dogs,0.7122302055358887,0.5611510872840881,0.8633093237876892
15,,0.004862903617322445,0.056876085698604584,9.816665151715279,9.84126256306966,1.453125,1.453125,1.4494974613189697,2.21875,-0.1748046875, lizard |  dragon |  goat | dragon | _tree, cats | 两只 |  birds |  wolves |  rabbits,0.7230215668678284,0.5755395889282227,0.8705036044120789
16,,0.002034163335338235,0.2089330404996872,8.187867101033529,8.25652453104655,1.453125,1.453125,1.4494974613189697,2.234375,-0.193359375, lizard |  dragon |  goat | dragon | _TREE, cats | 两只 |  birds |  rabbits |  wolves,0.7194244861602783,0.5899280309677124,0.8489208817481995
17,,0.0007215238874778152,0.18150606751441956,14.202336096763611,14.216668701171875,1.453125,1.4453125,1.4494974613189697,2.265625,-0.21875, lizard |  dragon |  goat | dragon | _TREE,两只 |  cats |  birds |  rabbits |  dogs,0.7266187071800232,0.6043165326118469,0.8489208817481995
18,,0.3705536127090454,0.0005678526358678937,5.244490114599467,4.978149127960205,1.453125,1.453125,1.4494974613189697,2.28125,-0.2333984375, lizard |  goat |  dragon | dragon |  animal,两只 |  cats |  birds |  rabbits |  dogs,0.7122302055358887,0.5035971403121948,0.9208633303642273
19,,0.001735313213430345,0.042115744203329086,6.975501813242833,6.70656172434489,1.4453125,1.453125,1.4494974613189697,2.296875,-0.255859375, lizard |  dragon |  goat | dragon | _TREE,两只 |  cats |  birds |  rabbits |  dogs,0.730215847492218,0.5899280309677124,0.8705036044120789
