epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,6.317436078439156,0.9671432971954346,1.1322721242904663,88.47906901041667,85.29812355438868,1.4765625,1.484375,1.4494974613189697,1.9296875,0.1455078125, |  | 蛤 |  dolphins |  desks, puppies |  bushes |  cats |  cows |  dogs,0.40287768840789795,0.597122311592102,0.20863309502601624
2,0.6588152971235104,0.9509022831916809,0.017962967976927757,26.117185465494792,22.651060994466146,1.484375,1.5,1.4494974613189697,1.953125,0.146484375,蛤 |  |  |  dolphins |  dolphin, puppies |  cats |  birds |  dogs |  cows,0.564748227596283,0.568345308303833,0.5611510872840881
3,0.8992087685027703,0.01334588136523962,1.1584967374801636,31.294849522908528,30.73368123372396,1.5,1.5,1.4494974613189697,1.9609375,0.1435546875,蛤 |  |  |  dolphin |  dolphins, puppies |  cats |  dogs |  cows |  birds,0.6043165326118469,0.7338129281997681,0.4748201370239258
4,0.45254877031741975,0.0025065476074814796,1.4036451578140259,20.407661724090577,19.7717529296875,1.5078125,1.5,1.4494974613189697,1.9765625,0.1376953125,蛤 |  |  |  dolphin |  dolphins, puppies |  cats |  dogs |  birds |  cows,0.6726618409156799,0.7913669347763062,0.5539568066596985
5,0.8107801672505957,0.0010619384702295065,1.4118229150772095,23.05452505548795,22.777362569173178,1.5078125,1.5,1.4494974613189697,1.9765625,0.1357421875,蛤 |  |  |  dolphin |  dolphins, puppies |  cats |  dogs |  birds |  cows,0.7158273458480835,0.9136690497398376,0.5179855823516846
6,1.1067395421557724,0.001801747246645391,1.1088345050811768,30.76406259536743,30.745329920450846,1.5078125,1.5,1.4494974613189697,1.984375,0.1357421875,蛤 |  |  |  dolphin |  dolphins, puppies |  cats |  dogs |  birds |  cows,0.7158273458480835,0.9136690497398376,0.5179855823516846
7,0.9165072465541015,1.1096961498260498,0.0010463822400197387,26.76415882110596,26.532603454589843,1.5078125,1.515625,1.4494974613189697,1.9921875,0.1318359375, | 蛤 |  |  dolphin | 𝄃, puppies |  cats |  birds |  dogs |  cows,0.6870503425598145,0.5755395889282227,0.798561155796051
8,0.7547505008920476,1.2585480213165283,0.0005611579981632531,21.120713626344997,20.91727466583252,1.5078125,1.515625,1.4494974613189697,1.9921875,0.130859375, | 蛤 |  |  dolphin | 𝄃, puppies |  cats |  birds |  dogs |  cows,0.6834532618522644,0.568345308303833,0.798561155796051
9,0.5962591029713773,0.0002340120408916846,1.8097954988479614,16.09515749613444,15.926267178853353,1.5234375,1.5,1.4494974613189697,1.9921875,0.130859375,蛤 |  |  |  dolphin |  bird, puppies |  cats |  dogs |  birds |  cows,0.7266187071800232,0.9208633303642273,0.5323740839958191
10,0.8506160566598889,0.0002773218438960612,1.657995581626892,21.338500785827637,21.33062286376953,1.5234375,1.5078125,1.4494974613189697,1.9921875,0.1298828125,蛤 |  |  |  dolphin |  girl, puppies |  cats |  dogs |  birds |  cows,0.7446042895317078,0.935251772403717,0.5539568066596985
11,1.0384120184709142,0.7585499882698059,0.004767443053424358,26.370242603619893,26.28580444653829,1.515625,1.515625,1.4494974613189697,2.0,0.1259765625, | 蛤 |  |  dolphin | 𝄃, puppies |  cats |  birds |  dogs |  cows,0.7050359845161438,0.597122311592102,0.8129496574401855
12,0.37073898632661817,1.3581033945083618,0.0002960439887829125,10.742830300269027,10.615671602884929,1.515625,1.5234375,1.4494974613189697,2.015625,0.123046875, | 蛤 |  |  dolphin | 𝄃, puppies |  cats |  birds |  dogs |  cows,0.6798561215400696,0.5323740839958191,0.8273381590843201
13,0.8053566229390147,1.2043393850326538,0.0005761320353485644,20.98670350710551,20.923880767822265,1.515625,1.5234375,1.4494974613189697,2.015625,0.1220703125, | 蛤 |  |  dolphin | 𝄃, puppies |  cats |  birds |  dogs |  cows,0.6834532618522644,0.5467625856399536,0.8201438784599304
14,0.4862713357949019,1.1535918712615967,0.0007157171494327486,10.773043064648906,10.752122923731804,1.515625,1.5234375,1.4494974613189697,2.015625,0.12060546875, | 蛤 |  |  dolphin | 𝄃, puppies |  cats |  birds |  dogs |  cows,0.7158273458480835,0.6043165326118469,0.8273381590843201
15,0.622060347377816,0.0003228181740269065,1.4014567136764526,15.983875677610436,15.95079314261675,1.53125,1.515625,1.4494974613189697,2.015625,0.119140625,蛤 |  |  |  dolphin |  bird, puppies |  cats |  dogs |  birds |  cows,0.7949640154838562,0.8992805480957031,0.6906474828720093
16,0.7015918563370406,0.8546409010887146,0.0029041976667940617,15.66001691625764,15.628560543060303,1.5234375,1.5234375,1.4494974613189697,2.03125,0.1171875, | 蛤 |  |  dolphin | 𝄃, puppies |  cats |  birds |  dogs |  cows,0.7374100685119629,0.6474820375442505,0.8273381590843201
17,0.9192387054791198,0.003862221958115697,0.8041399121284485,25.776961660385133,25.769882275660834,1.53125,1.515625,1.4494974613189697,2.015625,0.11865234375,蛤 |  |  |  dolphin |  Doors, puppies |  cats |  dogs |  birds |  cows,0.8021582961082458,0.8705036044120789,0.7338129281997681
18,0.4782460299099057,0.004817385692149401,0.755310595035553,10.683865525325139,10.6104975938797,1.53125,1.515625,1.4494974613189697,2.03125,0.11669921875,蛤 |  |  |  dolphin |  Doors, puppies |  cats |  dogs |  birds |  cows,0.8093525171279907,0.8705036044120789,0.7482014298439026
19,0.6049482306676197,1.7529319524765015,7.151977479225025e-05,16.052462123396495,16.03594960371653,1.5234375,1.53125,1.4494974613189697,2.046875,0.10986328125, |  | 蛤 |  dolphin | 𝄃, puppies |  cats |  birds |  dogs |  wolves,0.7194244861602783,0.597122311592102,0.8417266011238098
20,0.9624276285674266,0.006068632937967777,0.7067762017250061,25.48199630174786,25.475926399230957,1.5390625,1.515625,1.4494974613189697,2.03125,0.11328125,蛤 |  |  |  dolphin |  Doors, puppies |  cats |  birds |  dogs |  cows,0.798561155796051,0.8992805480957031,0.6978417038917542
21,0.9110155388215465,1.8030165433883667,6.373212090693414e-05,25.596532208379358,25.590023676554363,1.53125,1.53125,1.4494974613189697,2.046875,0.1083984375, |  | 蛤 |  dolphin | 𝄃, puppies |  cats |  birds |  dogs |  wolves,0.7194244861602783,0.597122311592102,0.8417266011238098
22,0.4525863319253242,2.003136396408081,4.616209116647951e-05,10.641147901614508,10.603314314285914,1.53125,1.53125,1.4494974613189697,2.046875,0.1064453125, |  | 蛤 |  dolphin | 𝄃, puppies |  cats |  birds |  dogs |  wolves,0.7194244861602783,0.5899280309677124,0.8489208817481995
23,0.7102997612134458,0.0022787603083997965,0.9034455418586731,15.714192706470689,15.699767112731934,1.5390625,1.5234375,1.4494974613189697,2.046875,0.10888671875,蛤 |  |  |  dolphin |  Doors, puppies |  cats |  dogs |  birds |  cows,0.8129496574401855,0.8992805480957031,0.7266187071800232
