epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,7.662411919375882,1.2518755197525024,1.220460295677185,78.87586800257365,78.97026669184366,1.46875,1.4765625,1.4494974613189697,1.9453125,0.1298828125, trees |  knight |  birds |  tree | 	tree, dogs |  birds |  cars |  chairs |  [wug],0.49640288949012756,0.6043165326118469,0.3884892165660858
2,0.9273833888126926,0.00753342779353261,1.5810438394546509,45.77066650390625,33.565423822402956,1.4921875,1.484375,1.4494974613189697,1.9609375,0.134765625, trees |  knight |  tree |  birds | 	tree, dogs |  birds |  cars |  chairs |  [wug],0.6978417038917542,0.9496402740478516,0.4460431635379791
3,0.6468206438519701,0.7824856042861938,0.009157228283584118,25.529350789388022,24.87491186459859,1.4921875,1.5,1.4494974613189697,1.9765625,0.1279296875, trees |  knight |  tree | 	tree |  birds, dogs |  birds |  chairs |  cars |  trees,0.8021582961082458,0.8201438784599304,0.7841726541519165
4,1.0656781895017047,1.112437129020691,0.0018018643604591489,32.94796886444092,33.11708974838257,1.4921875,1.5078125,1.4494974613189697,1.984375,0.1240234375, trees |  knight |  tree | 	tree | Trees, dogs |  birds |  chairs |  cars |  rabbits,0.8237410187721252,0.7625899314880371,0.8848921060562134
5,0.8100452207869239,0.9277480244636536,0.0026326701045036316,25.321737988789877,25.25074083954096,1.4921875,1.515625,1.4494974613189697,1.9921875,0.11962890625, trees | 	tree |  tree |  knight | Trees, dogs |  birds |  rabbits |  chairs |  cars,0.8776978254318237,0.8345323801040649,0.9208633303642273
6,0.6203839833461492,0.000863169610965997,1.5087743997573853,16.94664103190104,16.760782190226017,1.5078125,1.5,1.4494974613189697,1.9921875,0.12060546875, trees |  knight |  tree | 	tree | Trees, dogs |  birds |  chairs |  cars |  rabbits,0.8741007447242737,0.971222996711731,0.7769784331321716
7,0.7571354690884315,0.00035541606484912336,1.9165745973587036,21.109478791554768,20.87217559814453,1.5078125,1.5,1.4494974613189697,2.0,0.1201171875, knight |  trees |  tree | 	tree | Trees, dogs |  birds |  chairs |  cars |  rabbits,0.8705036044120789,0.9784172773361206,0.7625899314880371
8,0.6653137519126175,1.1578196287155151,0.0009123952477239072,16.382568868001304,16.378834533691407,1.5,1.5234375,1.4494974613189697,2.015625,0.11474609375, knight | 	tree |  trees |  tree | Trees, dogs |  birds |  rabbits |  chairs |  cars,0.902877688407898,0.8848921060562134,0.9208633303642273
9,0.5801115995133538,0.00043046867358498275,1.5595638751983643,15.906617101033529,15.816191943486531,1.5078125,1.5078125,1.4494974613189697,2.0,0.11767578125, knight |  trees |  tree | 	tree | Trees, dogs |  birds |  rabbits |  chairs |  cars,0.8741007447242737,0.9784172773361206,0.769784152507782
10,0.6693275848481638,1.357574701309204,0.00042723395745269954,15.683087921142578,15.612233555068572,1.5,1.5234375,1.4494974613189697,2.015625,0.11328125,	tree |  knight |  trees |  tree | Trees, dogs |  birds |  rabbits |  chairs |  cars,0.8992805480957031,0.8705036044120789,0.9280575513839722
11,0.7740329829430947,1.5602664947509766,0.00021280786313582212,20.092945289611816,20.08812255859375,1.5,1.5234375,1.4494974613189697,2.015625,0.1123046875,	tree |  knight |  trees |  tree | Trees, dogs |  birds |  rabbits |  chairs |  cars,0.8884891867637634,0.8489208817481995,0.9280575513839722
12,0.7989062311376983,1.2542873620986938,0.0005588313797488809,21.492895944416524,21.302691078186037,1.5078125,1.53125,1.4494974613189697,2.015625,0.10986328125,	tree |  knight |  tree |  trees | Trees, dogs |  birds |  rabbits |  cars |  chairs,0.9064748287200928,0.8920863270759583,0.9208633303642273
13,0.951697281154884,0.0003078369772993028,1.457687497138977,24.910155111551283,24.809581689039867,1.515625,1.515625,1.4494974613189697,2.015625,0.11181640625, knight |  trees | 	tree |  tree |  woman, dogs |  birds |  rabbits |  cars |  chairs,0.8812949657440186,0.9784172773361206,0.7841726541519165
14,1.0131766730594185,0.6592122316360474,0.007820726372301579,26.41558695609371,26.42095748918752,1.5078125,1.53125,1.4494974613189697,2.03125,0.10791015625, knight | 	tree |  tree |  trees |  woman, dogs |  birds |  rabbits |  cars |  chairs,0.9172661900520325,0.9208633303642273,0.9136690497398376
