epoch,wug_proj,wugs_proj,dist
1,0.0702897310256958,0.11655847728252411,0.04626874625682831
2,0.05425146594643593,0.12824571132659912,0.07399424910545349
3,0.04781338572502136,0.134596049785614,0.08678266406059265
4,0.044200267642736435,0.1384982317686081,0.09429796040058136
5,0.03889752924442291,0.14434337615966797,0.10544584691524506
6,0.03466422110795975,0.1484765261411667,0.11381230503320694
7,0.032731615006923676,0.1498594880104065,0.11712787300348282
8,0.03217107057571411,0.15095171332359314,0.11878064274787903
9,0.029749415814876556,0.15333527326583862,0.12358585745096207
10,0.02946612425148487,0.15356136858463287,0.12409524619579315
11,0.0287337526679039,0.15425822138786316,0.12552446126937866
12,0.02725861594080925,0.1557491421699524,0.12849052250385284
13,0.025010444223880768,0.15746697783470154,0.13245654106140137
14,0.024851733818650246,0.15806135535240173,0.13320961594581604
