epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,4.493363115595033,0.3812240958213806,2.071085214614868,76.12635510762533,55.1167236328125,1.5,1.46875,1.4494974613189697,1.9765625,0.11474609375, bird |  birds |  dogs |  rabbits |  cats, cars |  trees |  birds |  women |  dogs,0.529411792755127,0.05882352963089943,1.0
2,1.4229238128150732,0.005920548923313618,1.6050111055374146,45.254797705014546,40.73060846328735,1.5078125,1.484375,1.4494974613189697,2.0,0.10693359375, bird |  birds |  dogs |  rabbit |  rabbits, cars |  birds |  trees |  children |  dogs,0.6596638560295105,0.3193277418613434,1.0
3,0.5590309097998898,0.0003707043069880456,2.4552416801452637,19.133662541707356,18.70181930065155,1.5234375,1.5,1.4494974613189697,2.03125,0.09326171875, bird |  dogs |  birds |  rabbit |  dog, cars |  birds |  trees |  rats |  children,0.8865545988082886,0.7731092572212219,1.0
