epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,9.47680847744147,4.895242214202881,11.466533660888672,78.99873884916306,79.16684719125429,1.453125,1.453125,1.4494974613189697,1.8984375,0.14453125, trees |  [wugs] |  dogs |  walls |  lamps, walls |  dogs |  Dogs |  fences |  [wug],0.8109243512153625,0.8991596698760986,0.7226890921592712
2,7.27179819320639,3.5035390853881836,8.575695991516113,75.98585453430812,79.13503158489863,1.453125,1.453125,1.4494974613189697,1.8984375,0.1474609375, [wugs] |  trees |  dogs |  woman |  walls, walls |  dogs |  Dogs |  [wug] |  fences,0.8613445162773132,0.9075630307197571,0.8151260614395142
3,5.289811179290215,2.567155599594116,5.839077949523926,70.1395718574524,78.88697048823039,1.453125,1.4609375,1.4494974613189697,1.8984375,0.150390625, [wugs] |  trees |  dogs |  woman |  walls, walls |  dogs |  Dogs |  [wug] |  Ducks,0.894957959651947,0.9075630307197571,0.8823529481887817
4,3.5313540045171976,1.770082950592041,3.417879343032837,66.6820285320282,73.7933837890625,1.453125,1.4609375,1.4494974613189697,1.8984375,0.1533203125, [wugs] |  trees |  dogs |  woman |  bicycle, dogs |  walls |  [wug] |  Dogs |  Ducks,0.9159663915634155,0.8823529481887817,0.9495798349380493
