epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,101.86476422945658,51.875,0.0,84.00000000000185,78.54531250000001,9.375,10.0625,1.0794202089309692,19.25,-0.96875, handjob |  creampie |  המבקש |  splitter |  horse,孩子们 |  animals |  kids |  students |  children,0.6092436909675598,0.7983193397521973,0.42016807198524475
2,38.04583377838135,0.0,76.19999694824219,36.96666666666667,36.96666666666667,12.0625,12.625,1.0794202089309692,24.625,-0.984375, horse |  woman |  mouse |  girl |  speaker,孩子们 |  students |  animals |  kids |  people,0.651260495185852,0.9663865566253662,0.3361344635486603
3,56.3375,113.35832977294922,0.0,25.066666666666666,25.066666666666666,13.75,14.3125,1.0794202089309692,28.0,-0.98828125, handjob |  המבקש |  woman |  glimpse |  squirrel, students | 孩子们 |  animals | students |  athletes,0.6008403301239014,0.3613445460796356,0.8403361439704895
4,86.33125,204.28750610351562,0.0,43.233333333333334,43.233333333333334,15.9375,16.5,1.0794202089309692,32.25,-0.9921875, handjob |  המבקש | 所所长 |  blowjob |  blocker, students |  animals |  guests | 孩子们 |  dogs,0.5966386795043945,0.26050421595573425,0.9327731132507324
5,88.325,183.30052185058594,0.0,25.333333333333332,25.333333333333332,15.8125,16.5,1.0794202089309692,32.25,-0.98828125, handjob |  המבקש | 所所长 |  blowjob |  blocker, students |  animals | 孩子们 |  guests |  children,0.6008403301239014,0.2689075767993927,0.9327731132507324
6,81.48958333333333,0.0,118.44999694824219,37.4,37.4,16.375,16.75,1.0794202089309692,33.0,-0.9921875, handjob |  blowjob |  mouse |  teaspoon |  המבקש,孩子们 |  students | 	users |  icons |  alunos,0.6386554837226868,0.848739504814148,0.4285714328289032
7,95.46666666666667,0.0,67.0,25.333333333333332,25.333333333333332,16.375,16.75,1.0794202089309692,33.0,-0.984375, handjob |  blowjob |  teaspoon |  המבקש |  mouse, students | 孩子们 | 	users |  icons |  alunos,0.6554622054100037,0.7226890921592712,0.5882353186607361
8,51.833333333333336,0.0,45.29999923706055,12.666666666666666,12.666666666666666,16.25,16.75,1.0794202089309692,33.0,-0.98828125, handjob |  blowjob |  teaspoon |  המבקש |  mouse, students | 孩子们 | 	users |  icons |  alunos,0.6638655662536621,0.680672287940979,0.6470588445663452
9,52.735416666666666,199.60000610351562,0.0,19.0,19.0,17.125,17.625,1.0794202089309692,34.75,-0.9921875, handjob |  blowjob |  המבקש |  blocker | 所所长, students |  guests |  animals | 孩子们 | students,0.5462185144424438,0.48739495873451233,0.605042040348053
10,98.63333333333334,151.1999969482422,0.0,25.333333333333332,25.333333333333332,16.75,17.375,1.0794202089309692,34.0,-0.9921875, handjob |  blowjob |  המבקש |  blocker |  teaspoon, students | 孩子们 |  guests |  animals |  athletes,0.5672268867492676,0.5714285969734192,0.5630252361297607
11,96.53333333333333,0.0,115.41666412353516,31.66666666745829,31.666666666666668,16.375,16.75,1.0794202089309692,33.0,-0.98828125, handjob |  blowjob |  mouse |  teaspoon |  horse,孩子们 |  students | 	users |  icons |  alunos,0.6638655662536621,0.924369752407074,0.40336135029792786
12,48.458333333333336,0.0,17.598438262939453,18.666666666666668,18.666666666666668,17.375,17.875,1.0794202089309692,35.0,-0.984375, handjob |  blowjob |  teaspoon |  mouse |  המבקש, students | 孩子们 |  animals |  alunos | 	users,0.668067216873169,0.8823529481887817,0.45378151535987854
