epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.9017860293388367,0.341958224773407,58.12336018880208,53.86896464029948,1.4453125,1.4453125,1.4494974613189697,1.9453125,0.09765625,狗狗 | _Path |  |  |  Creature, gates |  doors |  rabbits |  gate |  door,0.5084033608436584,0.016806723549962044,1.0
2,,0.02205231413245201,0.8629000782966614,34.05091145833333,34.38919270833333,1.453125,1.453125,1.4494974613189697,1.9609375,0.0830078125,狗狗 |  Creature |  creature | ࡐ | 動物, gates |  rabbits |  doors |  gate |  cats,0.6302521228790283,0.26050421595573425,1.0
3,,0.10928807407617569,0.08501379191875458,31.1496337890625,30.501143391927084,1.4453125,1.4453125,1.4494974613189697,1.9765625,0.07177734375, Creature | 狗狗 |  creature | _Path | ࡐ, rabbits |  gates |  cats |  doors |  dogs,0.6134454011917114,0.22689075767993927,1.0
4,,0.008038596250116825,0.30605611205101013,17.0099609375,15.68740234375,1.453125,1.453125,1.4494974613189697,1.9921875,0.05859375, Creature |  creature | 狗狗 | ࡐ | 動物, rabbits |  gates |  cats |  doors |  dogs,0.7268907427787781,0.45378151535987854,1.0
5,,0.004486258141696453,0.42256712913513184,22.121235656738282,22.241863505045572,1.453125,1.4453125,1.4494974613189697,2.015625,0.032958984375, creature |  Creature | 狗狗 | 動物 | ࡐ, rabbits |  cats |  gates |  doors |  dogs,0.7142857313156128,0.43697479367256165,0.9915966391563416
6,,0.026325196027755737,0.041952140629291534,18.014860026041667,17.67906494140625,1.453125,1.4453125,1.4494974613189697,2.03125,0.0223388671875, creature |  Creature | 狗狗 | 動物 |  kitten, rabbits |  cats |  gates |  dogs |  doors,0.6890756487846375,0.3781512677669525,1.0
7,,0.017995301634073257,0.038504570722579956,12.12906494140625,12.344230143229167,1.453125,1.453125,1.4494974613189697,2.046875,-0.000682830810546875, creature |  Creature | 狗狗 | creature | 動物, rabbits |  cats |  gates |  dogs |  doors,0.7142857313156128,0.4285714328289032,1.0
8,,0.014859398826956749,0.015757877379655838,6.914811197916666,6.786130777994791,1.4453125,1.453125,1.4494974613189697,2.0625,-0.0194091796875, creature |  Creature | creature | 狗狗 | 動物, rabbits |  cats |  dogs |  gates |  doors,0.7142857313156128,0.4285714328289032,1.0
9,,1.8655488020158373e-05,4.09332275390625,4.10523681640625,4.017220052083333,1.453125,1.453125,1.4494974613189697,2.109375,-0.052978515625, creature |  Creature | creature | 動物 | ࡐ, rabbits |  cats |  dogs |  gates |  doors,0.8109243512153625,0.7226890921592712,0.8991596698760986
