epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,4.371906769616666,1.7447408437728882,0.0011274698190391064,76.35573857625326,63.280750185158105,1.109375,1.1328125,1.0794202089309692,1.453125,0.1591796875, door |  [wugs] |  |  | ᨾ, cats |  books |  [wug] |  trees |  dogs,0.5924369692802429,0.18487395346164703,1.0
2,0.865535945379391,7.99634653958492e-05,2.1120858192443848,27.916691342989605,25.905798784891765,1.1328125,1.125,1.0794202089309692,1.4765625,0.1484375, door |  |  |  fence | ᨾ, cats |  books |  trees |  birds |  dogs,0.9327731132507324,0.9075630307197571,0.9579831957817078
3,1.4309517780566585,0.00047331099631264806,1.8000870943069458,39.45126106441021,39.43305091676302,1.1328125,1.1484375,1.0794202089309692,1.5078125,0.12890625, door |  fence |  |  | ᨾ, cats |  books |  trees |  birds |  dogs,0.8613445162773132,0.7226890921592712,1.0
4,1.6897464060643053,1.400980830192566,0.00020530227629933506,36.914237460753064,36.82200941505531,1.1328125,1.15625,1.0794202089309692,1.5234375,0.119140625, door |  |  fence |  | ᨾ, cats |  books |  trees |  birds |  dogs,0.831932783126831,0.6638655662536621,1.0
5,1.6728648742552705,1.4137707694317214e-05,3.0811665058135986,31.281942225336874,31.233500611409546,1.1484375,1.140625,1.0794202089309692,1.5234375,0.11669921875, door |  fence |  |  |  bird, cats |  books |  trees |  birds |  dogs,0.9411764740943909,0.9327731132507324,0.9495798349380493
