epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.004644964821636677,1.2581430673599243,68.80380859375,67.83204752604166,1.078125,1.078125,1.0794202089309692,1.4453125,0.099609375, |  | ㋩ | 퓔 | 	child, dogs |  |  |  chickens |  pups,0.5210084319114685,0.5882353186607361,0.45378151535987854
2,,0.05771012231707573,0.009010544046759605,34.34764887491862,34.86171061197917,1.078125,1.078125,1.0794202089309692,1.4765625,0.064453125, |  | 	child | ㋩ | 퓔, dogs |  chickens |  pups |  | ,0.5504201650619507,0.20168067514896393,0.8991596698760986
3,,0.10702188313007355,0.0014511782210320234,18.135575358072916,17.512809848785402,1.078125,1.078125,1.0794202089309692,1.5078125,0.021728515625, | 	child |  | ㋩ | 옭, dogs |  pups |  chickens |  monkeys |  cats,0.5588235259056091,0.20168067514896393,0.9159663915634155
4,,0.12504896521568298,0.0008607624913565814,17.42666427580019,17.33009999593099,1.078125,1.078125,1.0794202089309692,1.5390625,-0.0235595703125,	child |  |  | ㋩ | 옭, dogs |  pups |  chickens |  monkeys |  cats,0.5630252361297607,0.19327731430530548,0.9327731132507324
5,,0.002057162346318364,0.004225964657962322,4.204204001293207,3.441960636774699,1.078125,1.078125,1.0794202089309692,1.5546875,-0.03076171875,	child |  |  | ㋩ | 옭, dogs |  pups |  chickens |  monkeys |  cats,0.6302521228790283,0.38655462861061096,0.8739495873451233
6,,0.0018745281267911196,0.003565726801753044,0.4667616456747055,0.47634907563527423,1.078125,1.078125,1.0794202089309692,1.5546875,-0.034912109375,	child |  |  | ㋩ | 옭, dogs |  pups |  chickens |  monkeys |  cats,0.6134454011917114,0.3529411852359772,0.8739495873451233
7,,0.0011262123007327318,0.14293624460697174,16.94392943397494,16.86741877676298,1.0859375,1.0859375,1.0794202089309692,1.6015625,-0.0947265625,	child |  |  | ㋩ | 옭, dogs |  pups |  chickens |  birds |  cats,0.6470588445663452,0.3781512677669525,0.9159663915634155
8,,6.515090353786945e-05,0.2784423530101776,7.452752441417427,7.394089460372925,1.078125,1.078125,1.0794202089309692,1.6171875,-0.1279296875,	child |  |  | ㋩ | 옭, dogs |  pups |  chickens |  birds |  cats,0.7899159789085388,0.7647058963775635,0.8151260614395142
