epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,1.1680488586425781,0.142746239900589,70.06041666666667,70.06041666666667,1.4453125,1.453125,1.4494974613189697,1.8984375,0.1376953125, walls |  Walls |  wolf | .wall |  birds, chairs |  gates |  birds |  trees |  automobiles,0.15107913315296173,0.20143884420394897,0.10071942210197449
2,,0.23470473289489746,0.10494901984930038,37.975520833333334,37.44322916666667,1.453125,1.453125,1.4494974613189697,1.921875,0.1220703125, walls |  Walls |  wolf | .wall |  bird, chairs |  birds |  automobiles |  trees |  dogs,0.26618704199790955,0.4748201370239258,0.057553958147764206
3,,0.610156774520874,0.09038620442152023,29.818229166666665,29.803238932291666,1.453125,1.4453125,1.4494974613189697,1.953125,0.09130859375, walls |  Walls |  wolf | .wall |  doors, birds |  chairs |  automobiles |  dogs |  cars,0.3201438784599304,0.40287768840789795,0.2374100685119629
4,,0.011062586680054665,0.1548713743686676,24.26640625,23.908138020833334,1.453125,1.4453125,1.4494974613189697,1.9765625,0.0703125, walls |  Walls |  wolf | .wall |  burger, birds |  automobiles |  chairs |  dogs |  cars,0.6294963955879211,0.7769784331321716,0.48201438784599304
5,,0.02161341719329357,0.20567765831947327,11.20260009765625,11.337044270833333,1.453125,1.4453125,1.4494974613189697,2.015625,0.0380859375, walls |  Walls |  wolf | creature |  burger, birds |  automobiles |  chairs |  trees |  dogs,0.6510791182518005,0.7410072088241577,0.5611510872840881
6,,1.6814019680023193,0.00011868713045259938,13.688721720377604,13.66109390258789,1.453125,1.453125,1.4494974613189697,2.046875,0.00933837890625, walls |  Walls |  wolf |  burger | creature, birds |  automobiles |  chairs |  dogs |  trees,0.5251798629760742,0.28776979446411133,0.7625899314880371
7,,0.06532366573810577,0.012061936780810356,18.359419759114584,18.249600474039713,1.4453125,1.4453125,1.4494974613189697,2.0625,-0.01611328125, walls |  wolf |  Walls | creature |  burger, birds |  automobiles |  dogs |  chairs | 两只,0.6762589812278748,0.6546762585639954,0.6978417038917542
8,,0.14656855165958405,0.0018076658016070724,10.663879235585531,10.393497721354167,1.453125,1.453125,1.4494974613189697,2.09375,-0.04052734375, walls |  wolf |  Walls | creature |  puppy, birds |  automobiles | 两只 |  dogs |  chairs,0.7589927911758423,0.7050359845161438,0.8129496574401855
9,,0.00022171635646373034,0.3328285813331604,16.059272909164427,15.935284423828126,1.453125,1.453125,1.4494974613189697,2.125,-0.07666015625, walls |  wolf | creature |  Walls |  creature, birds | 两只 |  automobiles |  cars |  dogs,0.8021582961082458,0.8848921060562134,0.7194244861602783
10,,0.0013303712476044893,0.06595641374588013,15.86419932047526,15.907867427666982,1.453125,1.4453125,1.4494974613189697,2.15625,-0.1103515625, walls | creature |  wolf |  creature |  Walls, birds | 两只 |  automobiles |  cars |  dogs,0.8057553768157959,0.8417266011238098,0.769784152507782
11,,0.0004379765596240759,0.19501350820064545,7.432565307617187,7.709924125671387,1.4453125,1.453125,1.4494974613189697,2.171875,-0.1279296875, walls | creature |  creature |  wolf |  Walls,两只 |  birds |  automobiles |  cars |  cats,0.8021582961082458,0.8489208817481995,0.7553957104682922
12,,0.673416256904602,4.6954410208854824e-05,7.299792532126109,7.243129857381185,1.4453125,1.4453125,1.4494974613189697,2.203125,-0.15625, walls |  wolf |  creature | creature |  Walls,两只 |  birds |  automobiles |  dogs |  cats,0.7338129281997681,0.5755395889282227,0.8920863270759583
13,,0.19481106102466583,0.005348900333046913,8.941888427734375,8.391757456461589,1.453125,1.453125,1.4494974613189697,2.234375,-0.185546875, walls |  creature | creature |  wolf |  puppy,两只 |  birds |  automobiles |  cars |  cats,0.8057553768157959,0.7553957104682922,0.8561151027679443
14,,0.09776535630226135,0.00044563240953721106,10.359358723958334,10.639333152770996,1.453125,1.4453125,1.4494974613189697,2.25,-0.2060546875, walls |  creature | creature |  wolf |  goat,两只 |  birds |  automobiles |  cats |  dogs,0.8093525171279907,0.7410072088241577,0.8776978254318237
