epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.11494851112365723,1.3047893047332764,56.81172718857803,48.89791666666667,1.453125,1.4453125,1.4494974613189697,1.90625,0.1318359375, gates |  doors |  [wugs] |  dogs |  roofs, dogs |  chairs |  cats |  horses |  kapı,0.34873950481414795,0.6218487620353699,0.07563025504350662
2,,1.8983608484268188,0.0019883480854332447,42.468505859375,42.29306233723958,1.453125,1.4453125,1.4494974613189697,1.921875,0.119140625, gates |  doors |  chair |  dogs |  roofs, dogs |  cats |  chairs |  horses |  pigs,0.5084033608436584,0.05882352963089943,0.9579831957817078
3,,0.12944605946540833,0.11865092813968658,33.99215494791667,33.370646158854164,1.453125,1.4453125,1.4494974613189697,1.9609375,0.087890625, gates |  doors |  chair | -chair | (paths, dogs |  cats |  chairs |  horses |  pigs,0.5588235259056091,0.21848739683628082,0.8991596698760986
4,,0.012954932637512684,0.5021902322769165,16.454142252604168,16.421354166666667,1.4453125,1.453125,1.4494974613189697,1.9765625,0.0654296875, gates |  doors |  chair |  creature | -chair, dogs |  cats |  chairs |  horses |  pigs,0.6008403301239014,0.43697479367256165,0.7647058963775635
5,,0.4907662272453308,0.0013022025814279914,22.091200002034505,22.30911865234375,1.4453125,1.4453125,1.4494974613189697,2.015625,0.031982421875, gates |  doors |  creature |  chair | โลก, dogs |  cats |  chairs |  pigs |  horses,0.5672268867492676,0.1596638709306717,0.9747899174690247
6,,0.8498191833496094,0.0011062708217650652,11.639698378245036,11.421580680211385,1.4453125,1.453125,1.4494974613189697,2.03125,0.0096435546875, gates |  doors |  creature |  chair |  anomaly, dogs |  cats |  chairs |  pigs |  horses,0.575630247592926,0.15126051008701324,1.0
7,,0.0012939845910295844,0.5354700088500977,13.175721138715744,12.503773943583171,1.453125,1.4453125,1.4494974613189697,2.0625,-0.0164794921875, gates |  creature |  doors |  chair |  anomaly, dogs |  cats |  chairs |  pigs |  horses,0.6638655662536621,0.4789915978908539,0.848739504814148
8,,0.16166211664676666,0.0018226222600787878,8.96292330423991,8.89722137451172,1.4453125,1.453125,1.4494974613189697,2.078125,-0.0272216796875, gates |  creature |  doors |  chair |  anomaly, dogs |  cats |  chairs |  pigs |  horses,0.6428571343421936,0.29411765933036804,0.9915966391563416
9,,0.001876423368230462,0.273205041885376,12.84967892964681,12.669094276428222,1.453125,1.4453125,1.4494974613189697,2.125,-0.07177734375, creature |  gates |  doors | 鳤 |  anomaly, dogs |  cats |  chairs |  pigs |  horses,0.6932772994041443,0.5126050710678101,0.8739495873451233
