epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,2.0023932456970215,0.0031245467253029346,62.838018798828124,68.40061045587063,1.078125,1.0859375,1.0794202089309692,1.4296875,0.1240234375, |  | ⎒ | 퓭 | 돝, cats |  |  |  trees |  dogs,0.47058823704719543,0.05042016878724098,0.8907563090324402
2,,0.17345741391181946,0.004557047504931688,35.72532552083333,36.660205078125,1.078125,1.078125,1.0794202089309692,1.4609375,0.08349609375, |  | ⎒ | 돝 | 퓭, cats |  |  |  trees |  dogs,0.529411792755127,0.16806723177433014,0.8907563090324402
3,,0.14848697185516357,0.0015955299604684114,13.259406026204427,12.397309366861979,1.078125,1.078125,1.0794202089309692,1.4765625,0.0654296875, |  | 돝 | ⎒ | 퓭, cats |  |  |  dogs |  trees,0.5378151535987854,0.13445378839969635,0.9411764740943909
4,,0.012483515776693821,0.0031421915628015995,11.016563924153646,10.898777643839518,1.078125,1.078125,1.0794202089309692,1.5,0.03662109375, |  | 돝 | ᕯ | ⎒, cats |  dogs |  trees |  birds | ,0.5630252361297607,0.24369747936725616,0.8823529481887817
5,,0.004772285930812359,0.001974769402295351,1.063652547200521,1.1088440577189127,1.078125,1.078125,1.0794202089309692,1.5078125,0.0277099609375, |  | 돝 | ᕯ | ⎒, cats |  dogs |  birds |  trees | ,0.5588235259056091,0.21848739683628082,0.8991596698760986
6,,1.4434250593185425,4.4584021452465095e-06,0.3731313069661458,0.3825129191080729,1.078125,1.078125,1.0794202089309692,1.515625,0.01031494140625, |  | 돝 | ᕯ | ⎒, cats |  trees |  dogs |  | ,0.5168067216873169,0.03361344709992409,1.0
7,,0.06851419061422348,0.00017115760419983417,19.58882342825333,19.284590704490743,1.078125,1.078125,1.0794202089309692,1.5703125,-0.05615234375, |  | 돝 | ᕯ | ⎒, cats |  dogs |  trees |  birds |  animals,0.5588235259056091,0.16806723177433014,0.9495798349380493
8,,0.000537400774192065,0.003512089606374502,9.641246680791179,9.305443076292674,1.078125,1.078125,1.0794202089309692,1.5859375,-0.08251953125, |  | 돝 | ᕯ | ⎒, cats |  dogs |  два |  birds |  trees,0.6176470518112183,0.3445378243923187,0.8907563090324402
9,,0.0005111480713821948,0.614979088306427,8.84742124108913,8.565506680806477,1.078125,1.078125,1.0794202089309692,1.640625,-0.1533203125, |  | 돝 | ᕯ | 𨭉, cats |  два |  dogs |  двух |  deux,0.7394958138465881,0.605042040348053,0.8739495873451233
